peT,dnbwindahr,emjhpzzodd,jupomlwule
dOg,vdopavacdl,255,608
-875,DoG,qeqojllhpn,jcyyypzmns
dOG,cat,-0.3885,0.4105
0.246,htqxeshvqt,cat,cat
memdrebtwc,0.3115,cuqifjikhc,DOg
doG,caT,qvusgioobj,227
caT,cAt,0.4515,pdabzutndn
doG,gjtddacimb,0.166,0.0305
DoG,Dog,Cat,-911
snvubysxdy,DOG,DOG,sivaemgxpm
ibasgvbwuf,CAT,-0.2935,-211
caT,cat,mslvlbikha,733
cat,-0.002,-757,DoG
qyyiwvzdzn,0.2985,139,-0.2395
qaqorproiq,CAt,-628,-835
DOG,-633,0.293,178
dOg,jqgaajdcpt,0.435,-503
Cat,DoG,rwdpmaougw,-0.328
caT,0.4335,opnwiuumvu,spvjzrgqpd
caT,rarajrbwze,67,-725
Dog,dOg,cjsormdata,0.258
dOg,0.2315,0.197,-0.4555
dog,808,bhungycfyy,DOG
dOG,eavprjmbvb,-400,431
cAt,896,dog,847
DOg,-208,405,qfkqedxzzk
CaT,jjyeryctho,0.075,dOg
CAT,mxratosqee,lefuakhoyh,0.2585
CaT,bnhuzeyewd,ffwxxrpsyi,0.372
-0.287,-0.058,-0.213,oxrmohcedv
CAt,doG,291,-727
Cat,0.3765,cAt,Dog
doG,51,Cat,-712
doG,-781,727,-409
Cat,0.4255,zcznirryft,440
udodzvgtii,-453,cAt,isjzlnbqwy
CAT,ojqynniqin,dpszfoxglu,221
dOG,361,dpokvwsmfa,0.4435
512,nzhfhprfyz,DoG,-885
efpxlbmsws,qvnsugpyrk,-975,-55
CAt,662,-0.3135,mbdciqaevr
cAt,cjtwadodnc,0.0475,cAT
DoG,-896,0.3135,xsftzyoibl
0.1035,sguklxzxeg,fblrehxxki,-0.16
dOg,xpnnwarifs,qwhjhyrouv,-122
0.1785,frlcdgpkvf,-0.189,0.435
caT,doG,ujubqiqekj,216
DOg,0.056,-0.3875,jeqpkdvthu
cAt,Cat,faxwxdmxkd,vovsyriouq
dOG,vclpyzrcqp,-263,ehwsavevqa
cat,dOG,DOG,caT
dog,-211,pzncybpdjd,-0.3745
DoG,Dog,299,-0.3105
CAT,cat,0.2935,anazjsdrqy
Dog,-448,-983,hdselafzjw
cAT,264,-0.4275,536
DOg,-0.4145,0.412,Dog
dOG,-179,CaT,0.0545
-632,kimzdjwjcy,0.4915,672
ayxjjnoxqh,-352,vnfzljgdqy,-510
DOG,vspacbfnko,93,pfsztptrlg
dOG,-0.4575,93,-0.4535
caT,dOG,-470,-0.3485
552,0.3085,-641,dOg
dog,526,-0.295,-130
tsxkuamhtv,0.4605,cAT,dOG
dOG,928,Cat,dog
cAT,-854,507,468
DOg,377,hkakpacppn,0.3075
nrafozkrbl,-0.415,-0.279,cyhduwmlfr
DOG,811,vplkgcejgl,-0.302
caT,0.369,uzbsjgxned,vgybaiwtqo
cvzmjtdwjv,DoG,0.1795,hkhfgigdoe
doG,69,dOg,-0.3075
dOG,201,-0.1015,0.4755
dog,DoG,-0.0135,0.103
cAT,-52,-0.197,0.441
CaT,0.202,doG,cAT
mytwugljmv,539,113,dOG
doG,280,caT,DOg
dog,141,997,rlpnjncbpg
