pitlpjofjw,ebgnrdnxjj,PET,ayxvjpsybh,rezifazvsb,dkonslxoja
-376,doG,CAT,yzkgaqxzkc,doG,wgsvsygypm
bzpwvornxh,0.234,cAT,0.33,66,jyvnuphrhq
0.4745,houvitbopx,cat,0.198,xvnyeckzew,0.096
0.2545,477,0.429,717,-887,rswntprstk
289,xsjqzluzlj,474,Cat,0.2835,722
-0.1035,cat,Cat,808,-362,-353
-0.332,0.4865,hbzqrnpvqh,oknzigrwra,-0.391,Dog
weavopaqwl,CAT,DOG,21,-480,biilarohei
0.2475,flpstkxlcf,CaT,Cat,rqzhfwhlvd,vrcelndizp
0.112,-598,dOg,btstatxgdq,-0.437,756
612,zwkzwgcajb,DoG,-0.388,-469,yusvfrfhki
0.3965,yqawfxsujw,CaT,vpnxwplyfy,CaT,-0.444
txmwndbgbs,0.0495,cat,lubepdaaae,fxnhcruwha,-610
CAt,-138,147,-0.4745,yyoamveayv,DOG
0.244,-0.1285,DoG,CAT,-279,oufigfzkpa
-460,0.0475,dOG,hpwyislodj,-459,-0.446
-789,324,-555,pgbamfcqiv,-0.4935,0.0295
dOG,0.397,CAt,DOg,nendmtlteh,-0.2965
cat,79,dOg,0.0275,cat,-558
-0.2425,DOg,CAT,-0.3395,gxfkwcmwmr,Cat
gzbiqifzde,CaT,DOg,cAt,CaT,269
cAT,-879,-0.333,466,ufdmfurmsz,dOG
trphjmbivm,Dog,CAt,-144,730,-266
himqozfqkw,-0.3635,-743,977,-357,dOg
-0.047,0.34,-146,dOG,hnfenjhtfz,frphqzlhjy
axaxymowoz,culmizhpqw,caT,0.223,775,mlmlzfneez
0.1445,vemuvtfkao,doG,larsejejsr,caT,kbaexdyegp
CaT,ibhsuzgfku,doG,0.0605,763,-869
0.0815,qsypciwsnv,-699,krdvdeujyz,431,-0.167
txsfwdgkkx,zwepcddyna,-0.008,llpphijfks,-547,0.1725
-0.2885,0.47,CAt,117,-0.2805,ljddrjaafe
832,489,dOG,554,-352,0.4565
cAT,0.426,Dog,doG,bqyptqwyuc,470
0.1385,pohlwaiwal,Cat,-214,uvzdtaeunh,CAT
aprslvkplf,-0.1415,cozeraheyc,0.467,0.243,958
0.191,bcwnnwbubi,njasxozokh,tebeohbbhc,kdjohkqtfv,lmykmphinb
vkwtnmtwqt,-196,-822,cat,zgkclrkmhv,-0.255
qaglltxvwu,usyihjtezk,doG,gfmfprhlqj,-387,fubynfowxm
ufyrwgwflz,0.423,DoG,0.218,dOG,DOg
-161,157,dog,oepkavqazf,-886,288
273,coidttmnka,caT,-0.367,755,wyylofzpmf
0.0015,21,-119,-0.0855,-0.2595,-270
-0.1605,895,gocrxffnqs,-0.119,cAT,-0.005
twjpkdinlt,cat,Cat,384,-29,541
doG,ddeqxnavrf,mbotgsgcik,-543,dog,-920
CAT,dszvqvkzbm,DOg,285,0.136,dOg
DoG,llqndozgxk,0.293,DOg,dOG,muhtexqigy
654,gbztqaldrh,dOg,sdwnztgocf,-520,561
-0.4635,-0.2505,0.479,-0.0925,DoG,bpskajjzvc
doG,dOG,DoG,0.208,-537,ndmgykiuhb
-0.128,CaT,cat,0.2775,0.436,Cat
42,-595,cat,-467,-0.088,DOG
572,981,DOg,yqgehizbgn,798,-916
-778,-302,605,-0.159,CaT,Dog
-69,432,CAt,-0.2825,-0.3405,lmvabvfzux
llsmpfvllv,0.237,cat,wghywnikzw,0.493,CAT
-43,efszsbocpf,bjntqhyjfa,-0.158,unmkqetjoj,574
dOG,eugrrigcgu,cat,0.292,39,0.0275
976,-0.055,doG,-879,-0.21,-662
-980,115,CAT,rtwssitywr,210,0.2835
mfffivvqmv,538,DOG,-769,-854,-970
682,sdkcsmfyyi,DoG,-0.1965,-0.1295,0.4195
cAT,nijtymfhoq,dog,-0.473,DOg,0.015
0.2645,DOG,dOg,468,-602,0.1905
DoG,0.107,Dog,tjnxcrjici,0.197,-0.44
775,ebuftncduc,-555,fbvqkpegof,zdenpxhrkc,DoG
xrqcgdluko,dog,dog,-0.2885,-0.0325,-310
-0.3745,-0.3585,0.3875,obdiydpdoh,0.194,988
-0.267,846,CaT,vwsahhcudi,gepxjwordq,952
742,-826,DoG,455,mlxjdvzcdi,qmlnlsttww
cAT,0.12,doG,DOG,xnpfrxwubz,503
uhddrkzkky,697,0.1345,DOg,CAT,dOg
-309,orkugjigif,jrfnrtoaam,391,0.117,-656
lvrdlbdugd,caT,cat,577,784,cat
322,hzbczsbzxs,74,pfyxdzajag,886,dOg
fopaaszejw,tziisqzowo,cAT,-308,yxlfdxjazt,ywryboqnuv
-30,-0.4475,dOg,ogjulokves,83,-0.4555
985,257,uvyreshwsr,cAt,503,vcercionkt
-565,754,cAt,0.2925,756,968
gmhcbloyah,-687,DOG,0.1,lubeovxfqb,ewtesldvuh
138,jpuyeehnbs,Cat,dtipvwmzuo,-0.0465,dOg
Cat,rfjnbtkdjp,-297,-110,0.2665,dwxritcsot
0.2155,vyhnfvhfqt,caT,vbngkrnqha,avwyurlgra,dOg
0.3655,izxyjburyv,mafkblvnzr,0.0985,144,-212
0.406,uokmkpptha,dOg,597,534,-0.1875
-0.381,-853,CaT,efgahvovya,ltiblalsyf,uuiskiippv
