yynombbpkm,lbtxrvpbpk,wilzwutmjs,PeT,dqziynjjnk,loquzkuias
-0.0595,-0.1565,axfrfzegrh,hrsbkrdwqf,-0.0915,dog
0.218,-0.242,-89,CAT,selpyqdkzr,766
jkoskdghkw,457,-287,340,-0.4055,0.071
-409,dOG,-564,-0.2685,cwmqbvptou,Dog
902,0.207,vhlgwscsqn,-0.361,CAt,-0.1755
DOg,-0.3915,mdqptfxigb,Dog,onzjhkxpcs,-540
-162,648,sbbffoibry,dOG,pzobexnenl,388
orfukitvcu,unzueuoiyh,gbpingtiws,CaT,-0.151,0.0175
-0.2705,Cat,-0.041,DoG,dypgwnrdzv,-0.3885
cuqkjlijhb,-0.4495,459,CAT,0.4325,-0.494
-891,CAT,-0.3915,276,680,0.456
knkncfeplq,0.0755,-0.435,DOG,CAt,299
fadtxfmffb,dOg,ayqjgyznpt,Cat,dOG,-642
0.136,hisenlsavl,ewvhroihui,CAT,839,-0.283
831,334,bonfuhhqgh,dOG,caT,cAt
dOG,737,268,dog,-0.1745,hwrcoxcmfk
dOG,dOG,rlobzgirgd,CAT,-0.295,-0.4445
780,olmodcwbaz,jbgpctjurp,CAT,0.23,faessfwkgv
wpekwobgiu,0.245,CAT,DOG,0.2395,ksgbzicmpn
-0.0125,DoG,626,CAT,-196,cvzfiawrkb
bkejegshxb,qbddgxnlkj,-779,dOG,zxywwvhsjl,DOg
308,DOg,cAT,CAt,jmrvzztmnc,tsellgwahm
doG,cat,bgpfisrjod,Dog,-0.102,mdngewhcas
0.0645,tdvseuepnw,-0.2115,dOg,auksftoesd,-0.148
-105,hicvpiscgu,cAT,dOG,-0.0345,tckajgplpu
-0.0405,kvhxzvglkd,-469,-0.177,0.118,zbplbnooqv
0.4655,agflqlzzhg,pubdakqwhz,ukqmzlrnmo,592,cAt
-0.0045,uymetpcfzt,0.394,doG,-0.1895,-0.1715
-0.4505,-0.4895,doG,DOG,-399,736
-0.0355,caT,cqgybrkmyn,dog,0.289,337
pnuowlqtrj,-0.2955,eaddgjbswh,cat,0.15,cAt
DoG,-138,-24,dOg,dwrkutzzpa,-0.416
936,Cat,pbmacnorqp,CAT,xaocdlrapm,0.4035
202,327,-24,cat,-550,-0.1175
73,465,llompyirra,sxyroskwez,rslrjybbsx,-32
gwrlkkwpxy,cAT,-503,0.3765,0.4605,265
-0.4335,yrnxgstlle,cAt,CaT,395,-694
dOG,uzbbgneyor,-0.209,CAT,sirgqwwpnl,cAT
870,75,673,cat,365,-0.378
cdgashpffj,cAt,nmdlxhdopk,doG,-215,0.416
lypyoyknxv,311,0.2515,-0.0435,745,-0.1485
-176,-0.265,verouueivz,DoG,-0.1905,-782
xttenyison,vclnfezjzc,-245,-638,824,-0.2805
etazfymxgw,qebroankeb,316,-0.384,raesczrzhc,0.043
-561,-242,cAt,CAt,ezfqdrkezl,qrrpdfqibb
627,-0.4355,-0.0715,CAt,xzscslbmkn,cat
426,-0.218,256,CaT,0.281,DOG
