pwjmfkfsiy,hfjgiufhck,pET,diuuztaaax,xltlbczrmm,zqalflejsv,cymvrhqyvk
-289,-231,Cat,0.059,dOg,xjwlemtcov,DOG
920,cat,dOg,sckkrmihev,-28,ibdchuxwrm,-0.0835
-0.3125,501,cAT,-0.045,-267,xhzovawepj,0.029
msxsfxvgpv,170,dOg,0.2295,-0.1005,-0.433,795
ggzkurgokq,0.2875,CAt,Dog,-334,rdfmjravzn,pnxnwqxkeq
cat,doG,tejoiaykay,-671,-0.154,869,-0.424
dOG,chdkzvcalk,CAT,zsjyokydka,ceamyeafoq,Dog,iarentvtyo
931,tswcfvkdel,CAt,-0.4725,cAT,wjtyzlmucv,xjpuupfqwe
dOG,-361,doG,-0.01,-53,-485,wwccjohlkg
-0.3785,CAt,dOg,Dog,cktmyfzvol,953,705
929,drnmhhmzaw,dOG,0.3125,wxxhjcytrh,-0.4115,0.46
-912,DOg,cAT,-205,wotvsgzhxr,0.4825,CaT
rgevmatmxi,-0.201,doG,915,ddwwgpklsf,850,-404
kbwqxymvxh,497,CAt,ucjxfwfkzd,ynacoeyhxu,-433,0.1695
-0.194,shlfyyfnlw,-0.054,-0.457,486,-0.444,516
371,htlqtzofor,dOG,kftdpeelfe,osgorvcicp,-0.2885,tlldyrssvb
cAT,yqvqbvcous,DoG,ggkaoqlywk,-41,-0.3435,0.1815
504,naayugkfxc,Cat,459,949,0.333,-583
bnvtdhqrnl,0.365,DOG,-224,daofwgzxzc,615,0.38
-276,0.2485,-0.03,sbfngdfdcc,0.473,0.157,-877
enrciywaqn,-783,CAT,-0.2445,835,-0.127,viraexipaw
393,CAT,vkfyedgsnj,lrtijjfzqi,-166,caT,wbjgaqrxjm
vyknrvmhxo,hiyistouqo,DoG,-0.105,DOG,946,-546
-0.3955,-0.2005,lkttdiwmec,-0.0795,541,dwmpyujtdx,0.307
dOg,-0.3735,345,3,rkxsifddji,0.4195,-0.093
Cat,ssxlrwlikv,cAT,-885,btcxlabmga,0.0535,wvleryggkh
CAt,0.2105,dOG,-0.4235,tjtrvazgoy,CAT,0.2895
ukiykyvmcw,ocysljjusl,caT,nspspdhmsp,-624,676,dOG
0.1405,-0.4485,cAt,172,-0.173,107,-244
331,-0.033,cAT,mbipcnxrkq,0.3,-0.44,-516
nogksvrdfi,-0.049,695,lvpfpzlywn,nvdrpvzarh,-0.2875,ohotzyqclr
boahqebvtj,-214,cAt,CAt,0.0535,-353,vgooobpoys
palwdkablc,ocdzthiyst,819,-155,0.171,-112,yzisuvemhk
0.4025,xwvtsjjmtg,iondgiyoyh,wwzlnnkenb,-29,hqcguetuvx,shhzijkzyz
0.2195,Cat,dog,vfmsudhfvt,bfiatcbcfg,-343,-0.255
caT,ascwuxzrja,dOg,cAt,762,fxbrpcvfgb,-0.073
-429,0.471,-757,0.425,-258,152,380
-632,CaT,CAT,0.288,0.216,DOG,-0.168
-0.188,-500,-0.4735,rwcxljazor,DOG,262,CaT
lwlfwtokbr,doG,612,ipiuhnytbk,caT,vpoxepnhjv,757
0.032,cxifcpylmv,caT,0.264,qyxszvpgdn,0.403,-799
phfsdeztid,-0.1675,DOg,-0.15,0.118,cat,CAT
pndtwuveen,-0.262,dog,-0.2615,196,-0.4995,-9
0.4275,-0.055,dOg,cAt,62,DoG,opqcniatgk
-0.4285,0.1875,cat,gyebphdezo,dOG,caT,gipnrpiuli
-0.378,zkkumeuqvf,DoG,231,207,0.342,-0.4845
-451,-62,cAT,534,604,bcyjhnxfdq,-0.028
0.0775,pfznadrogb,koaymzzcni,-0.1775,hdwhhjjrnv,-0.119,-368
-0.372,280,DoG,-42,hmiqzesuwv,-0.0765,vukipqekwe
Dog,fqewvpexhp,CAt,-858,CaT,cuxlrmaikd,551
CAt,lpwhmzmsgm,DOG,CAt,caT,-301,wovmfbdfco
yfekwblopu,650,591,cAt,aouwoumbyv,-518,cat
todfwzmgfh,-161,DOG,133,0.4735,-197,470
ciozttexxu,zieblzglok,CaT,caT,-0.435,tcuiauonzt,Cat
qrzmokxjei,800,CAt,rorsyhpgwb,gckmquvtgk,-0.4945,-0.124
311,DoG,DoG,0.2045,hoduczcthu,238,857
caT,sbncixqiau,dOg,Dog,Dog,DoG,-861
0.474,CaT,Cat,382,mffasuuvlt,ofauewfrsv,wckmlfcxcm
-0.0115,twesxnxezy,rldkmiclru,lbjrutlezw,-603,CAT,axsuwreazl
