prjjwyrmsd,otrzplxxys,tixcyqqbvc,peT,cdcgnyoblr,fyxqriljhd
0.1335,-0.1715,962,caT,-0.099,oupwnsjaig
bnqznxkwyq,CAt,-449,-0.2255,negvqxvkpr,ngawsrndet
ittuqejpci,cAt,527,Cat,0.0675,-0.1695
0.0195,376,426,DoG,986,lskzrkzuzd
0.4035,-0.1155,ulhdwqyqtf,dmnhhjhpqd,dOg,sjqncqfiyj
-426,0.2185,0.4775,dOG,977,841
hlzzqgdifi,qlbuprrrdr,756,-0.4325,-0.0365,0.461
dwacyslxcm,445,CAT,dog,jbkrswilog,DOg
orhsdsbaqq,ptfsgpvrap,-0.0755,cAt,0.093,lzmluadwai
dog,0.168,0.1345,cAt,nzxgcnvenz,0.3245
zsazpuizpp,-95,788,-0.121,-0.226,821
aiqxwxjhwq,CaT,-0.0705,cAt,cAt,-787
izeeemhwte,fuzaekmlnu,ptyadqdpyk,orxobzkddd,-0.204,CaT
