fdhwapfkjv,lkgbcqhflp,joaruwzdzx,pet,ttafvsslqk,szyhpmmggk,bncvmkfqfe
-0.142,-0.201,ycyyclxlzq,-290,-0.013,0.0585,-0.253
xqbkikgehb,puqfkqgfex,0.097,CAT,DoG,CAT,CAt
hayluargiu,vglqvgeccx,459,Cat,cAt,-581,CAt
0.1415,cat,lfxcfgdylf,CaT,-0.2875,DoG,xluaeuxyfm
mrzsjjniqt,kailjpjvep,-203,0.3255,674,-0.425,mrprdwxwiy
0.166,DOG,sgcqytgmzx,dog,-0.0095,-0.4565,cAT
-134,-0.484,0.1015,dfgbohpvxj,dog,-0.3135,qvlfsoeywn
0.1335,cat,doG,DOg,cat,735,116
pctyadoyfu,274,-260,cat,jksrjdnvqb,-0.2315,687
0.2785,DOG,CAt,caT,vkttiazpin,cAT,-264
aimtsehmld,-589,0.3435,dOG,hjrnkjhoxa,mmtbbpifog,cgvdzjseav
-0.07,0.244,phoaqmipdy,CAt,xdramxwxgy,-0.173,338
vvbqgxwhio,cAT,xnqvylengb,DoG,CAT,dOg,156
Dog,DOg,-0.0205,cAt,57,838,-0.158
772,0.306,-612,dOg,-647,CaT,662
DOG,-0.296,jannrpmedi,0.2495,jwsygmsjun,dqmbounwnm,-167
0.3525,-0.255,cAT,dOG,-593,-0.2565,DOG
12,-0.3345,-82,CAt,262,365,174
131,dOg,ujvqtscxka,oatygpanfm,ngnosggdqt,-908,-593
487,dOg,0.4445,DOG,237,941,-0.331
meyswnvphv,ivoxvwrpeh,wrdsgpotiw,Cat,Cat,pdfpwgdgog,almzobanun
CAt,887,0.1015,-0.4455,0.195,908,yzvjmrqquo
0.337,0.3885,svcoebfhhq,CaT,0.1755,-566,-0.3665
-911,nrhmdwsedo,azafkxkmrk,cAT,103,-92,0.4335
-0.2945,280,dOg,0.248,0.416,caT,jvdtcmwiia
caT,cat,svupqetkme,DOG,uwkxmjfeqd,-0.039,DOG
0.049,rlwpnvpyoj,0.1535,-0.436,969,0.106,doG
836,-718,678,DoG,Cat,-99,xizbeptkyi
dwtnyptgwv,533,-0.079,-592,0.144,cat,-669
eyxqkwaofy,dOg,lmxwtpmzbb,-0.3515,qeswnepgjq,-709,282
130,-990,0.2625,doG,932,doG,lavubetzoy
CaT,zxzcpwxdti,-546,Cat,0.132,0.329,pcvsortvfx
-932,613,-0.335,cat,cAT,kbzcppetvw,jecmrrljje
DOG,11,rualsqhlbw,CaT,0.4285,-319,0.3445
-0.424,-0.23,evprahqkho,vzbebsddxj,afncdmiheu,0.2495,iqhmknohfv
cqjtrjnivb,dog,504,cAT,0.135,0.2,-0.0685
-214,njskqbpvnj,0.1165,834,164,dOG,0.13
zgngjvrmfn,vrkevwknzp,exckfgctsy,268,0.064,-0.1435,lsrzqfnefd
0.145,ridmsfpwla,bwlynegjfo,CaT,vdkvxynhmv,ccrhzufjkx,vzeglfejop
0.3105,-910,-0.3805,CAt,sdndrlgkpa,gwfzfmsqld,-250
288,262,-0.1185,CAT,cAT,-134,aceuakkzuk
-0.0115,-191,0.3035,hxviosounj,0.3515,dOG,-0.4685
dog,-958,cskkbjjpgr,DOG,dOg,kkobjyhtwa,-937
-968,0.359,-0.2395,doG,CaT,jnqzaxfgtm,-0.425
sdmuzltioh,62,0.0025,Cat,DOg,cftyqjyteo,0.395
-0.185,-970,dOg,DOG,DoG,-204,-0.3555
DoG,0.05,997,CAt,0.1755,155,-670
-0.028,-300,-226,xzccaeeuyz,caT,-666,-489
-0.4365,-792,-0.131,dog,-728,0.3725,0.4205
hrxkrfyizt,-58,sggixpvhdw,dOg,oxesfxnlof,cat,nkqqbrekdj
34,-0.062,hwmtskczwf,dOg,180,Cat,-897
-306,0.219,lseceadpmm,cAt,Cat,dskscneymm,CAt
