fvphkjvftx,oknybwweyr,uxlipnngmk
kjocqazbgk,caT,frcibiyyom
DOg,0.089,49
-556,0.219,-0.253
-0.137,0.446,221
-0.4185,waoqgsctuv,-35
wdzmpqqlze,dog,CAT
lupwetqrxd,325,0.1875
kfvolbewzn,CaT,cAt
nnxszwjrax,ltnskezstn,-0.2635
hfccovzjlk,0.314,ypayunabnu
-0.4695,-95,-0.478
omibkygpde,-0.0285,0.3705
-571,0.228,-71
751,0.24,cfeegyteka
doG,-890,fgrqoxnuzf
0.121,tuzldkigjh,dkdxljgbnx
dOg,-576,jugjvevcin
wrwfeeegtw,-0.1335,cAT
Cat,-0.2895,297
cAT,0.259,-569
dOg,-0.2005,Dog
yocsnmxugw,bwawspnitc,0.411
zkrubioexg,0.418,875
-0.318,-440,DoG
-0.3885,-0.0435,-201
ybvaosqdtj,sbtmjxqehf,-0.11
yrajzidrec,-222,287
0.2385,-0.286,cAT
fvnlqndzvo,-858,0.23
-0.173,lyxbbcocbf,-0.385
0.3875,kxosbpzsej,371
cvsxmpgbsb,-762,qjjybddbov
cidfvbnbti,trkakgqrox,caT
-0.2815,-617,-0.3865
ahyqumizgh,425,-681
ztuipgoqnl,vjtaksgyaa,cAT
-21,-101,wudouxqmnv
ksknyxqtpa,kbnjbcngxj,0.0025
-0.1845,lmnujjujdd,DOg
CaT,-232,fvmayhpvjf
azvvdsmhlu,pfrazajezu,-0.164
-0.2595,-0.0075,755
-0.2035,yogmfaqvwd,450
mmhodmsgnf,-0.4045,yeybkkynqx
jsnjltcayz,DoG,orfkmlptko
xcakljdbrj,kawjoluzrr,lvuncvlqau
0.429,695,-890
-582,699,628
xzaxblawel,gnbigolbuw,dOG
ozhcnnhmeo,0.0425,98
ctiwpdhnmm,eaqdfjwwhs,0.0585
0.306,-908,-199
albtcmfhoo,-621,caT
yftoopqdmz,-0.159,0.382
dog,-0.3095,163
-196,btafajsoio,207
rebhirimfs,-0.2935,0.4815
qsldzsrgeq,0.018,lnvnxwskvt
-37,uqmnllqlir,CAT
CAt,-0.3025,-39
pufpuldprl,qxaibkluew,0.4035
0.3275,DOg,32
krzbbvglkl,txwhkdsohg,-167
-491,-0.1295,aufzebihco
0.3085,-400,hoyvvnrfoc
0.262,-0.053,voyhqkfjle
qjdgpcougv,smspynojwq,879
136,612,-0.404
doG,caT,upieeadgza
207,hcqauajegz,-114
-437,-0.188,cAt
-140,CAT,483
0.3315,yogesxlpjo,-995
-673,0.0495,waolacedku
Cat,gpjnjcgjui,0.0995
uasnqeowlw,-0.2485,606
-686,535,fyxcfumcez
dOG,0.3655,dOg
aixaplazjh,0.2705,dOG
686,CAt,-0.2745
Dog,wwtygumqku,0.0625
dctvtikmfo,cAT,584
