nkphganwcw,zjihzlklqd,ffwbsrnsyd,vfatmqsjyr,mupksjtaeu
0.3895,-80,-572,knsqxbueml,251
cat,-923,0.279,ghfsptfklg,0.3195
zbbmzarhdk,705,0.3415,-0.464,659
-996,125,0.353,-0.3425,-0.23
-0.003,-0.283,332,xzdbjkqakx,xtqimnmcru
0.203,vbzgbejwow,0.161,jihxfnftdi,-712
0.0075,-945,eotvfeqrvt,-0.3925,0.2585
-0.3025,420,-274,859,xlnohxxviu
0.324,0.128,-0.1155,-936,vdaxidgesl
-515,DOG,CaT,khzikgavaf,wdmwmoodwe
-37,DoG,-110,188,ijkeffurrl
uvitqnfony,dczqxvjvob,-262,181,-0.2275
-443,dog,-65,CaT,dOg
-0.0975,-0.17,-167,DoG,-985
-0.174,-0.3455,cganyrfpif,692,ievtygbipg
0.055,Cat,-12,0.39,-0.136
408,-0.162,-0.035,gixcivxpkp,0.371
727,fprxwfwrck,caT,0.4205,DOg
-450,Dog,CAt,-0.409,DOg
-458,juvvtwxkmk,qpnoslqsvc,546,cat
431,-0.368,-0.1365,0.033,0.0295
ktjsnbmgmx,-198,caT,CaT,0.4075
-0.1015,-283,-0.491,0.147,dOG
0.032,DOG,cemsjqfqag,0.427,-695
phpcjzfaxw,0.344,arlevdnjdu,vuzsbybzbh,-368
-631,xcipkqrtul,jvnkgpggkz,138,953
muxljewovm,unmdmptdux,jjbygxcyed,hwtruqoipv,wgpmgcecaz
366,-359,389,-906,CAt
-730,-315,ardljqsjgj,0.384,dog
907,0.373,gydykvcjpy,-0.272,jggeswviwq
705,zxshgpnmlh,0.277,0.443,520
0.0615,DOg,-0.4525,604,-224
cat,Cat,777,kqtehrjllg,0.4
orsuoflblx,0.106,0.0085,-0.438,bzqgfcupql
0.0805,-189,vuhcafqxer,eocscbytqk,-269
DOg,0.169,-192,-0.3195,vyhwzulphh
ifgegwidvr,17,vtmybmvcgy,-943,22
718,0.4955,dOg,ybhzlvhigo,wvktwnkapy
mbzbewbxfr,sgiynayhsq,183,auwqlwjcvv,895
doG,Dog,0.0705,bpfclkjqqt,73
cxaapcjmhw,demudnmlqi,-431,-0.1045,519
-0.02,692,-708,305,437
caT,0.358,625,0.39,CAT
870,-31,CaT,0.1675,khebmngsku
cat,-23,0.332,ybsbdfumxz,seidsrftqo
