kjpkkoefbw,wxfdcqjchc,uypdavgjzk,vwjznkuenx
Cat,918,0.4345,cvmxdthwif
0.022,0.0515,-829,hfacpjtmxg
-379,dtioshgcza,-873,ihtuzbzcum
Cat,CAT,-65,doG
100,zvwxekyggp,upkspiszfz,lswsfilyzw
cat,qzkasgaods,0.129,kghshofkek
770,snqozidcsm,CaT,0.0305
635,-0.0825,-755,0.0085
-254,-0.1695,-0.282,-12
CAT,0.224,DoG,0.036
DOG,qhxijunzwc,tqnkvqwmbo,741
zazxtvlozr,-0.1615,234,oxphkvvlbb
0.418,ziwpfldfrl,-0.01,627
vtspuuqdnd,-261,-623,CAt
-474,doG,-31,-0.0705
350,-0.3715,0.361,864
rbztgixpnr,0.2885,0.16,-0.288
999,fkglaxpkcq,0.211,-0.0145
-0.4405,0.0585,-0.332,vkhljhhomy
-744,-362,451,bnkjyeungl
-0.012,0.4655,-0.258,0.3995
151,-568,794,-238
-0.2235,517,luotrurapl,cat
0.486,0.14,ssqkacuqhf,-424
269,-0.1385,Cat,Cat
47,135,-487,833
dOg,rmajojorgj,dog,-0.216
-0.235,0.3265,rtcfspqwgt,zacadfdgiu
DoG,0.4135,DOg,-980
qqrjjkmxcw,pcoiyjwtiw,bnlgvwxknz,-0.4015
-0.2105,iozssgmzpm,-0.0195,-227
ggjjifzzzc,187,-0.171,290
qhmndhmhzb,0.21,-321,-0.1915
rdhutbhiqt,trrjrbcofn,-0.1675,-0.283
dOg,-745,ngflmyqecj,0.03
qhmdufluwi,CAT,0.2325,0.025
-0.2935,-0.114,DoG,dOg
-59,CAt,doG,nofgsfslqu
laaeorhmmb,602,0.0675,CAT
ierevaeqos,CAt,-643,660
-920,0.179,429,-338
CAt,pgxbdyscpe,idcxwmwrmw,-0.1445
-0.3775,cat,-547,0.224
-0.4875,-0.4765,Cat,-862
uofqzhfzna,-0.35,-647,qtdmsuqogt
hsatcacbzi,-0.3755,-624,0.4495
tyvbjfotua,127,-850,-0.395
-0.1025,577,dOg,-0.3165
doG,-493,0.2865,-0.0515
bhwukgjktl,bodbogyslj,DoG,-0.2175
0.2,dpcxgvatjy,lwifoebxnc,-384
517,-0.029,0.11,-0.185
702,37,-666,626
gxidbebyjc,vvaswibjdn,DoG,0.029
nsuxxvdblu,pqoaxodbqf,ezmmuwdcru,caT
0.3915,nlhmijpmrp,irnyjqcrpg,qsvvtposkk
Cat,hbiisbdidp,CaT,-764
CAT,-0.374,yvfewrbpbo,0.033
-447,818,-0.2785,Cat
684,lyshdagluw,0.446,ofhbikyczv
540,dog,0.3,CAt
-144,tlejrwbjti,lnvcjlchbq,DOG
142,kdpytommqv,rdcusfephs,otujjpnfbd
0.332,-770,622,dog
DOG,-565,nphuusiiyv,0.4665
-0.2865,-811,emznxwlkop,482
Dog,779,tfyezqsbea,unpwobjbhj
-336,0.411,tbyvxblunl,bcbpivmwnb
0.446,lcbyueznzi,0.0495,0.2505
