ugmzcmgnch,jmscasfzlj,jkaecspgwo,tqvmishbfo,tdbezeatim,vubmrhhues,tnyxawyele
tiicommksn,mtsvdrfmcj,-0.384,0.4675,-0.3905,-0.3555,Dog
25,iepomsuinr,721,0.1035,cAT,syeonmatkb,-0.3595
0.3745,374,0.2995,-0.2595,407,-278,zwbrbzolty
954,tuaeundcmi,412,jfcoxepuey,0.247,0.3095,Cat
-967,0.0415,pdawlhcxoj,-0.2325,0.494,irzuoxxrpz,33
0.2355,doG,myyxmunzii,ryulzaueoe,-956,dOG,-619
333,Dog,cat,bddtwehkav,mhrndtbbny,0.1105,xtxxawklzn
-0.494,dOG,Cat,-612,ugajqncscf,doG,-666
-0.2155,-272,DOg,-0.042,678,zpzqzgfgll,CAt
0.128,cAT,xsqrrzzmsq,CAT,yyqbqephil,-0.1625,551
327,bmipbncfnx,-411,676,ikhhuphlyt,caT,0.4535
-0.1835,-0.192,-46,-276,pdrqnnpqrt,282,xkdqcrpayg
-603,-0.3685,-664,yrrhhhfine,-0.144,doG,CAT
725,-485,-25,-0.138,-0.3415,0.349,wewjfvnqdv
cAt,DOg,-360,bmxbsnztmf,oegamsfsqb,DoG,-215
0.409,-0.0845,-0.25,0.3325,595,0.137,-0.406
-727,cualvlefet,aphhwxalxg,0.1585,0.486,-0.416,fcjygwfrdn
DOG,caT,-0.277,0.2385,920,0.3275,doG
0.2805,hdwhyqxulj,0.239,-0.333,hvujdwdjgu,-0.262,580
-278,-0.1145,thrttgjrjp,qdparxjkxh,fxbtisbccj,iafivbkhex,-202
zncffnjpig,0.383,xrvrxdoewx,0.2235,0.137,0.4005,-489
502,ezbljimprm,0.155,caT,-0.0135,0.3995,-214
cAt,263,-55,fjcytidolp,fjbnonqiux,DOG,501
pecujzuplq,cAt,806,oikjfbbhqd,580,-78,DoG
-126,0.1625,-0.3985,0.161,-890,-0.015,-0.156
-0.1145,0.4605,-179,854,pjottkdbyg,667,-0.089
469,-708,dOg,-129,-806,Cat,xqosyqpfiy
-0.366,-0.232,0.239,-0.4605,hhcemkthve,0.404,-0.3925
381,-967,dstogubawe,0.1955,caT,zbehomtshj,42
0.411,xhrceavujk,quliptjgzs,0.205,-81,55,734
-0.1725,0.111,CAT,605,actjhhvbnd,-0.032,-636
DoG,0.265,920,-76,uoybcoxpkk,151,mpqzjznztz
-0.3565,0.102,573,0.136,-990,wyujferhhs,-0.293
0.3945,xsusfymbcc,3,qvppihkdpx,rexdbvfpvb,-283,-0.352
sulkvhxhps,726,koaitcjnru,CAt,0.0685,CAt,-512
0.334,953,-128,-0.4665,830,zxgqtvcgth,549
