zgkdepgctt,pEt,ugwiunigae,vadwyiuvwn,zlqtuivwmm,wuuajqhuiq,eckujoeczr
joqldvygii,cAt,mxjncpydpp,izrdfnmquj,cAt,doG,DOG
grxkdnarji,DOG,hhmvkzskoa,0.05,107,-330,mgnmqdnjhy
0.302,dog,-842,wvnqjluzfe,-967,373,-264
0.363,cat,-0.1535,nbvwfzrkpo,alreadfbaj,wnffvnvkrc,578
wcawuxouod,dOg,aenkhprwis,-0.361,vfszthziek,fbhrgbszja,82
omcbeaaluh,Dog,145,iizcxibvvu,0.401,546,-0.2065
rvsgubcyuz,-171,yzujjmdyqt,pcpgigmeld,rzkjfhcvkx,-335,0.368
348,CAT,duvprsprbt,dOG,CAT,coksedzeqx,CAT
-0.16,0.396,-0.146,11,-0.4135,drhuazsrph,Cat
anisrovptv,lstipymjze,19,nahxrwrupt,migkkqcapi,0.219,isafbuepyk
-0.193,nuefhtbysa,ixqwddbmcr,zxpfbztvsw,vyglinggti,0.1365,ctttuqqmdh
fcjytdwdon,CAT,-114,-704,vwrmobfsns,CAT,smeyoxlxky
0.319,-0.242,77,0.0465,trqeheqpqn,521,Cat
cdefgdgzvc,DoG,gxyfeudaiv,uyldplbqgb,doG,lqijxdxuvc,-907
-944,470,cAt,Cat,-0.4445,696,mvqmumwcfj
cAt,cAt,701,-684,-975,0.386,xwnjwuvrrb
wyshyetnoe,dOg,-0.0865,-145,pzgnwordes,0.2685,-541
cAT,dOG,-0.12,795,97,-0.3075,yxwhxtyill
CaT,CaT,-701,0.1895,iytmtsnddl,cAT,676
-387,914,-0.4715,Dog,-0.025,245,DOG
dOg,caT,0.0465,355,dOG,cAt,0.102
hfwuskpssh,DoG,632,cAt,0.3735,Cat,kvvcxpsdjr
-205,caT,0.285,CAT,-0.015,etqdqvpstf,worihehlom
891,cAT,ylnaaoxdje,dmzclhvplk,hbqdkrrxms,fidqgbwjtj,0.1305
hbhfhgfacl,dOG,qeczxnnqui,-450,822,430,sdbomcaabq
0.4085,pcixovqvxz,cAT,-0.304,docaukdvro,850,953
-805,dOG,0.141,0.3615,980,-195,333
gxtjuuesqk,cAt,rcrubejpxt,610,ogfntoidvz,-219,kzlscreuju
DoG,-0.2595,0.2365,zmyaerltku,80,CaT,dog
200,cAT,cat,-0.3545,hwapmbhger,-837,-0.3975
-0.4095,Dog,-0.384,0.0675,kewszcbrrf,-0.141,795
-0.1695,Cat,-0.0665,cAT,-981,Dog,qnukcuftkc
audytfjyzd,CaT,zmmtvdjfpu,0.499,302,-497,htxdynqecb
DoG,CaT,-742,0.399,doG,caT,0.3945
875,DOG,-0.419,0.2915,-418,dog,udrkqgbmtx
jpapheqgtw,caT,-0.205,0.054,nsxxozbgkg,-322,-572
872,0.143,-811,rhgngclrwq,cAt,tvmojsefho,0.0635
DoG,dog,DoG,-0.382,280,0.0365,vmxoirvpjd
hosxvymvzd,cAt,612,371,kmbjokbxft,dOG,rcjiftwkpw
0.4605,-0.4015,lttixqdnhr,-0.31,nivdnemniz,caT,-0.2815
hgschavbje,DOg,-57,CaT,0.158,xrrwsldmhb,-51
wklzkkqhqx,0.362,hpnzlifwis,-0.113,0.147,mgwllowznu,-716
-0.053,cAt,yaaytpcdyk,fifuxnjlbb,-0.065,tgboixrcmy,-0.1795
-0.157,DoG,-146,0.001,337,0.1895,-514
rfpwtqcttd,259,-0.493,437,0.0485,vxclqcvyul,cat
Cat,cat,0.3805,-0.2895,xjkvgavyxi,944,tljfrykpkh
cat,486,dOg,730,DOG,-0.1645,Cat
-0.094,464,DoG,-0.1325,rpummpyvth,cfltxfcmxa,oaghamuyzz
-0.461,cat,cetaeooogt,0.0405,0.0985,-0.0365,0.4305
-869,cat,-0.4325,ptyjroathr,cgxkyohrfi,atbqpzvekx,-0.4575
0.1615,0.204,-0.1935,mqoarlyico,DOG,-0.3615,690
bwdlhrbtuw,dOG,cfwxhhyexx,rkvpzslovl,teuydiocxj,-590,qqcfbednzr
Dog,cAt,514,-447,woxcakoork,cat,cAT
851,716,0.0655,edsaywoute,-263,-560,-824
zfgwcgtjdw,uvxmlvocmr,cat,-990,CAt,wqthstpnfp,1000
svtzekjema,mryzphaulo,-0.4825,774,543,rxglvkazxm,skzgfwgajg
Cat,doG,976,CAt,lwdxrjfkau,0.21,0.06
lkukkortqe,cAt,-563,-0.1455,ucxgcxiovg,-395,0.081
evlpmknifq,dOG,0.1335,263,0.0935,gqwyscxgtg,kvkuvsizfb
-0.403,doG,141,340,bdmoamrwat,-0.412,ukwflmpxqd
fageqhqanu,Dog,-0.034,-765,fxomugamac,DOG,0.369
Dog,DoG,vmlxvtehbf,rxrxttgrzm,-825,0.3855,0.169
alpfdrkzls,zddswelurc,DOG,caT,0.121,0.3475,Cat
dog,mckovgjsry,abhfhumjzd,0.098,bzgzdyvryz,72,437
0.001,-0.1465,oynvopfvux,guidtrzwtw,-0.2535,-331,-144
-926,DoG,806,fmwknqfuhg,873,CAT,qdvrthhcov
390,caT,mnblxdibxe,CAT,qacwgkikhw,-0.2335,jbxgcpnsbv
398,-0.407,cAt,srwtiokjyq,ahlsrhlgdi,109,Dog
wklhfhqzrh,dOG,-0.044,0.4165,-0.0195,553,cuuxskgixi
-0.46,CAt,321,dgnqivzmjo,alqhvqwpge,knrcqsxtml,cAT
644,cAt,Cat,zuqlvngvpp,bayxmemqxu,37,Cat
-0.1315,-267,737,-509,-652,148,609
Dog,dbitmxragr,pmyuoifmct,dog,619,DoG,rtsbjkagsn
-561,dog,nhnrfwcypk,DoG,DOG,rerpwmwmtg,-0.2835
0.3425,-305,qemxndxpom,mzpysliubm,vclafhxukf,-0.2435,0.4285
jvpbdrsxdi,Dog,933,CaT,eopuhlztbk,916,fclmfcsbda
wbzpwrbtjc,Cat,dtjreasnkg,-0.3985,vogqedmhqx,cAt,222
lvgcstresf,747,-180,-425,-0.188,137,cat
665,0.5,dOG,0.2085,ldxcwlmllm,987,-957
442,0.2775,386,387,caT,0.274,Cat
0.0825,caT,-505,cwddmjkyri,aaayckvpbq,0.248,-876
