gsuzzwbyvq,lwmbpqsnif,yafidajpsp,lffesyuayx
-0.306,ftyxofmvgz,dog,rlfqcxcznd
743,0.118,sgbvzqdaol,-0.1065
0.2315,-0.1215,sgavmwymun,961
-884,cAt,cqlsuddbvl,-0.384
cAT,-587,dctsjiyrjd,wptpjbdqeb
DoG,CaT,gujforbvuf,-0.459
fprfumoypk,-668,tibjmezuxs,0.0845
-362,acuvofeuls,Cat,dog
-0.0515,wvejnkdllv,dOG,-0.454
qskpibidso,wkvferdacy,0.1605,-901
-897,dog,-117,ujnrosexbs
-384,0.067,-420,-923
-0.3195,-623,-429,-898
0.442,CAt,-0.0505,-510
0.327,364,-692,0.2835
yjhtngiote,0.49,quxufjqhnp,cAT
vhknvtcpyg,0.0335,aesfxpphnc,hgojajjnbv
dOg,dakpxvygkv,369,0.198
-752,-193,-229,ktaekpdbvs
-0.4635,caT,CaT,0.0615
-326,cAt,384,766
429,238,dOG,iotdmucjqd
qrmfcdovmz,rvnwlmxxvh,ehmpvxcfpq,CAt
-0.3195,0.382,uniapokbux,0.162
Cat,-0.4545,0.2985,cAt
-494,ychhsnmuuz,0.1705,-0.275
dOg,DOg,caT,drbjnzvcfq
xkqescmrmv,-284,-280,-0.2905
okilmmzzee,-591,squvzbmjgp,DOg
CAT,DOg,0.019,762
CaT,reyluwysel,-0.103,0.222
DOg,0.2325,0.1015,-0.1145
-60,-0.2965,917,cat
617,0.377,0.077,widwiubhqt
dOg,xfheveioeg,814,-944
-647,CaT,-321,DOg
-993,caT,-766,415
kmkgpwqsda,0.0265,DOG,-232
0.0245,0.2725,-682,-560
Dog,-0.407,caT,dog
xsojvbepkx,-0.0465,93,-0.0365
ebmqovlmig,cat,-0.2805,CAt
0.3985,0.0415,-16,0.017
-0.2305,vrizxuxond,jeceshyrtk,0.37
cat,244,yanalaplxc,CAt
fzbnplxbzy,-587,0.061,ukqpvoxdzo
dog,glsahafggx,CAt,-0.3775
dOG,868,0.334,glhtmgmyhs
cAt,-0.134,248,-0.23
0.2545,572,cat,dog
drdldnlnab,-467,-0.461,0.11
-139,56,-0.0535,-248
-255,396,0.3005,37
-879,-0.396,-916,-210
vdetrehnnw,DOG,doG,dOg
gbyoirsvhq,-0.1195,821,-0.3595
kuxlenabhv,ttsrbjspoj,dhszjcelsx,CAT
87,0.2575,ajteajeymp,-64
tlzefbqpdf,-930,0.4065,457
-125,859,ocxjhjwiwu,jzewyjibri
337,rihjycnhzm,exelivusyi,CAT
jclmxaakel,907,rjhyozvwuo,doG
0.0095,doG,ffhigeowrz,-0.3415
xzfgromwqp,0.3725,854,DoG
-280,mclvuuhfws,982,452
jkehqeghal,359,587,wkmnhvuhnz
0.377,-427,292,umyksckynt
CAt,372,0.3775,mjbihnypbr
0.4295,0.159,-343,-0.176
0.4085,-694,pwmemtewmi,0.255
CAT,DoG,296,mzczjbpbcc
175,0.1045,yadoxlcqnn,pgalxjytlv
caT,lhtjgtccif,dOG,-0.4595
0.2135,Cat,Dog,-0.3855
0.1275,nqsercrlnu,226,0.263
aqipgvpqam,0.385,-0.329,0.458
dog,0.323,-171,tliehkaktt
0.152,grmpmfyevi,945,caT
774,-0.2075,htkqktzrhq,-220
-0.3885,0.079,zivtnvripx,cAT
0.4805,bsburygpmi,sptwgzmksa,0.2105
qjhczmemqz,-0.408,973,-0.0075
0.1875,dog,keepmvjbqh,-314
-0.497,DOg,juhqphbpiu,ztfycnadqw
cAT,-0.2385,-0.328,femakhhipy
169,liuxkgysfu,515,-426
0.3805,-67,uqfiqsdwqd,-0.2675
Dog,-248,-0.225,doG
-0.4035,-835,-227,CAT
671,duxensbdxs,DOg,dOg
666,wvtnuhrngw,-530,DOg
0.3865,-911,CAT,dOG
kkrwfbsgfy,-212,dOG,cat
