PEt,erwjbuettm,hbfzojvxai,lcjmnrviav,kpihyjkeil,qwhdhbrrax,cnfmqnzwvc
DOg,-0.2985,-576,-0.4465,jwthbjoxeu,bedhfaedlg,DOG
0.2275,-0.057,cAT,-0.447,-0.145,145,-177
cat,0.025,xjcxfhvdsg,0.412,-756,0.0175,bsicvquljc
dog,-745,-0.1025,0.4175,ihpuwrllha,837,dOG
CAt,zclfggptaz,0.201,0.2365,zfimzyfvxe,0.25,-154
Cat,oylpggpkcb,DOG,0.385,307,0.348,0.1435
CAT,-0.307,0.1885,CAt,-404,782,575
DOG,141,yqlbiuumop,dog,iwyargpxzf,gxdewcnojs,0.218
DOG,473,-0.0475,-519,823,DOg,afdrqzogum
-903,-0.434,Dog,pywxklpipg,cnshjvtbrf,cAt,0.108
cAT,dog,DOg,vofvcfnhcu,cAt,-0.1755,0.277
dOg,xyuahjluxm,doG,717,0.071,-966,0.429
mnqbxnhlzr,lrmhbgxjwo,cat,-338,diaqjiacxv,0.226,wugxquiewo
uvesnfkyyi,203,-0.091,-0.2525,cAT,-0.463,0.3385
0.4965,0.4055,mbdxfxtqsd,-0.0245,dOG,Cat,0.483
dOG,cAt,-0.458,dog,-356,126,wckronarlu
DoG,wakzwgodss,jphyieowzi,dmwpgakxpq,-412,clhkxjrgjm,yfefpbmcdc
-0.2625,0.177,-0.1905,0.1955,955,0.047,ouiskeilla
0.122,lixbhbxpdh,cat,284,-725,-0.014,qjbzvlrxyw
inazgswjxn,xcavrszysr,mfnxcrirlz,DoG,cAT,jmwqrrpmmm,0.3165
112,bfxwddsqoi,dOg,0.2085,0.3185,-546,0.49
DoG,fdqfunofvm,DoG,DOG,-0.257,667,CAT
uzyqguacwl,692,0.4435,Dog,lbwlyhnwxf,-0.1465,-0.337
cAT,dOG,qwdoycjnfl,dog,lawrursyfr,CAT,DoG
CAt,-398,-0.085,wrzqmffhsv,-0.325,-565,dOg
Cat,176,xwzutrghui,-0.449,fxpznvcgoi,-673,-0.3415
doG,cat,scixnsroob,220,-0.345,tukiazfavv,298
DOG,-712,0.4975,tbzcxsfxxe,dOg,rtrhjeadnt,hwxmigwhsy
rvzxzypvfb,doG,-922,883,-218,CaT,ykrebumofh
dOG,ymwvnfkaqx,teyjbqxzhv,375,tfeskdrjbw,upvmqzxvgt,-0.3715
