jzkdloetzi,ycklqklyby,vutcqqaqho,cfuutevodv,catjpbgxst,spkwpgdntc
DoG,885,dog,Dog,-934,DOG
CAT,cybotoaqka,mohixvzzfb,CaT,0.2195,ohmjcpascl
-0.3275,0.167,xxnyznsjnl,cat,884,vegypdtdem
-0.378,phpureaxyi,-0.2815,-0.1715,-0.2155,-0.4525
zgjtiehhcx,-0.498,caT,0.0635,154,cat
jyyfucqnpt,CAT,CAt,-338,ibolyjuzop,0.1025
-793,-133,-0.3935,284,CAt,lvrgqqlmqn
-0.012,seqcribpgm,uzchmhmmlw,294,-410,zyisqfnfjr
-0.054,qkioytfwpu,66,242,0.3785,-0.439
-0.3725,ezkhpakmib,shhqgxrplk,717,367,Cat
-0.0965,624,-0.3975,dOg,DOG,rbpjgpargi
0.1075,CAT,Dog,udlkemwsjn,-0.027,rikfgiawmc
-798,0.4715,691,-545,gryxgnjlzv,hrtzramaid
228,rxejnaoapc,0.4455,lkphejxfas,edqlpsqzon,CAt
280,-5,-4,dOG,uzgvjcmswg,dovxepzolz
808,254,-0.123,600,353,-873
-0.187,0.3525,-0.452,0.031,0.2115,cat
fpzhvvhgds,wbwnsgvibt,-675,caT,uzvunptvmt,579
otsljnxhla,CAT,bkviogzgkp,caT,0.325,orgbarcpaz
cat,-0.008,-0.2005,rxpzgnecpz,jcufdsvqad,20
0.205,CaT,-0.2205,rszwzwmsrn,DoG,-0.0315
0.3205,rxafugnujg,0.028,cnonuvogwq,-825,588
tfbpjmzfce,-0.1475,-0.033,-211,0.0285,doG
dog,0.484,-309,CaT,njekxlzkab,sudveqxvgj
647,ndjwwhjzqx,-0.1515,tqmfheninf,-0.2445,0.0295
hkrrzwlzbk,845,-0.3355,-958,0.353,DOg
-16,-0.482,dog,0.2655,0.435,129
