hphqkpbklf,jgltiwlble,ddopqfqaet,oqecfqsbat,nphecdgwkh,pzhtauyklt
644,dog,bqzcbxneob,-657,0.1065,0.075
-718,655,0.242,-638,-599,ujenbtasgw
nnvpwlwsfb,0.2765,-0.3585,-0.312,-380,-0.0865
-148,876,-924,yktbqklsnd,-246,onyqdzhmbt
-0.4395,376,0.2105,0.3125,cAt,uvslmwcdwk
caT,-0.127,dog,-0.0285,bdbpbudeql,cat
-0.2845,CAt,-43,259,-0.419,947
577,0.107,-0.2015,zfmffjbdfw,dOG,cat
-0.2015,dOg,dwaxvtukei,0.0655,dog,vbpfyruffj
CAT,651,498,kpmlkyyhjp,smurkjoqbb,-79
389,oeerqppynq,-964,yijtknirkp,dqcfnwgqex,vibbugebij
CaT,-0.2855,cAt,iwzoxuwoxy,gopshkhyxe,623
-276,10,vmifbgmvuu,-0.369,Dog,-147
egaxezbtpe,doG,553,DoG,350,cAt
-690,pubzkosabk,voboavnvkw,-0.2365,-0.0465,294
-0.1075,0.2335,rjvtpajitp,vnqoljcytu,-0.2395,idubbujrtc
0.1895,rxfoxdtlhy,DOG,bvfutxihzx,194,-0.0545
xxvqryqwgz,-0.1415,0.0145,718,689,cat
-0.114,Cat,ohegqoszmg,DOg,cAT,cyyqnqycuj
-462,CAt,0.0885,0.215,mavkzissfm,tqcmhzyvke
707,964,0.208,-0.344,250,qefdjtrhxe
-314,nnoepyyjpz,sxtnqeolim,-0.057,dOg,-0.0735
18,-0.322,382,124,ozghzeobad,-0.497
aipmibrkra,-900,0.0585,nffttdxmee,0.2375,aetrxtzodq
-666,qfgbgdimzn,-0.1245,-0.2715,DOg,-347
xquhduesug,wxvnplcfwt,-0.009,cacgsxpbot,mcjroymenv,-0.246
