adrgndeyrs,lqcgwhtptc,kwlrjnmbvg,Pet,eemrkphzli
-827,slollezlcv,0.4325,CaT,tpiztmgehc
0.396,DOg,287,DOg,DOg
0.187,tamfsdspqz,0.467,dOG,66
-229,0.4065,kdeyurzguq,-0.2925,0.1875
mgdemwlqwm,zmkjtchekm,-0.261,576,0.025
-327,xytbwybfki,dog,caT,299
maeoalvzcd,qqwflachxi,339,-0.1935,nojogyduew
cat,dOG,930,CAT,0.4085
-0.392,qkithhbrga,lnffcoolje,nnxwgiuzea,cat
-0.2375,dog,pihiqbolnj,efajwqfnqk,-711
183,0.291,zacozgzbjo,DOg,0.42
0.456,0.2235,cat,0.342,9
hkhbwnwwsy,-0.1165,-0.067,0.1385,408
559,-865,-188,dOG,0.441
388,CAT,-0.0755,cat,-0.2035
-496,dOg,CAt,CaT,-664
0.3885,rayscdadlh,lynbrwffqy,dog,drxodwtikj
smlyqszycr,-0.4595,0.099,0.3455,-0.052
-0.04,230,0.4085,CaT,-501
kbohgdrsur,0.262,DoG,caT,-0.2625
wnsgujbyky,0.467,tmrqixfyjx,CaT,0.1115
-397,-563,Cat,884,bkjlrjcqrc
mcuqglqror,0.3965,yjitoltzaa,dOg,0.188
0.489,237,-220,-0.385,0.14
uymndortfp,210,-492,DoG,374
-0.4925,hlfoilclec,rjhrcfkbft,cat,-180
gbczqlcwwv,dsvkipfhrt,kcgchwdxhk,Cat,wjlafzasqg
xfsvrqoysu,-0.357,0.4355,qevdqobbgz,751
dyiiywxqmo,xrhqtlgjvp,DOG,Cat,838
717,rmvfzaexmf,860,doG,-0.107
-185,0.4075,-0.4595,CaT,kjuzimbihz
-1000,nglvaklmko,-29,DOg,-0.0735
cAt,rbzhiutrmf,160,cAt,-0.14
xlzzwyoqua,0.2945,-0.1055,-0.08,DoG
rvlzekucaw,vodpwpbpus,-0.4615,CAT,DOG
0.172,-0.491,veqjrgdvck,CAT,0.221
-452,banuyomoep,CAt,Cat,-326
DoG,0.273,0.45,55,998
0.422,716,577,opxphpcwip,pkwuhxgztj
