hpfbrjlsox,lfchmsakbh,mxpwncuuqe,xiuvlqoksb
rsevdykiwv,caT,cAT,tlvfqifqnu
bgucmulotb,jvclkbrjee,dtmhgpsiba,gipgiztdjz
0.1635,-0.076,0.3295,0.0395
0.464,-806,-289,-0.2275
0.1205,Dog,zrirdxkkup,-0.1245
klbysidlkp,720,0.084,mrnqkcugbq
odsaltspos,-0.4325,0.233,321
DOG,lflpfgdypb,CAt,-406
DOG,17,-0.286,-0.3275
ruiuidjmwf,-809,qdvnatfubq,0.3705
cwcwuzpomx,-0.218,oxrqhophoh,0.2375
947,jjegmyjaiv,0.017,dqylvdmmsk
-0.424,-742,CAt,cAT
768,ygdkxctxvr,-0.3845,doG
278,924,58,thffnkjxcs
-459,0.0945,0.141,lhnexkivtj
0.4865,dOG,0.305,-0.021
jyctclxply,DoG,bcavzvqzpa,lpirbggedb
0.18,0.492,qcuyqvquad,51
CAt,oniaeqjnau,iqjxyipirf,819
0.13,awvdmiatig,-0.3995,evqhriohjd
sdzywmlyrf,mteugipunk,0.496,-0.3775
-0.388,dOG,fxahsgknjr,ruhsviryjb
jhrunoozah,-72,0.4455,aafbmeurcb
qztybxfgns,qtwxlgwfwx,593,ukzqgnpphn
-560,lqkpckvadp,dbetfufzfr,-343
-0.388,Dog,0.407,0.123
-0.1605,267,-992,0.035
0.41,-78,CAt,0.318
0.2005,0.2565,mckfjpuenv,ejjbmqmzol
