vzjpwhahfo,ycedyhhfmr,ycnntoohhr,yddrdohtlb,ynmuorupgu,vdfjunadyn,vgfzmdanso
-398,-0.107,-403,cAt,676,-0.1895,njgyilzlrl
452,znjqsrlvev,-0.3605,301,wnxkuporjj,ydocwjbecp,Cat
cat,Cat,-0.078,-0.0055,491,-657,-492
-0.422,ikjgvlxsjs,Dog,0.0075,0.0365,0.038,giqeuqvftx
0.343,0.257,-0.1045,gzhjxrfypc,0.1995,ndmcpupphm,rmdqhetzup
nstuiwmfew,Cat,0.321,788,zqimqednac,-0.2845,sxiccchicl
azkzrsclzh,-119,cAt,CAT,192,-693,fzqzdcuqvy
qoncndsgvd,-0.434,600,-0.3065,-0.079,-798,bqwithhlfb
418,-0.343,-0.0095,0.268,390,DOG,hrstrrhshn
0.1855,allvldcyim,iehcshaboq,imywxumfmx,xajowcbtyj,-182,nxhdvnmrdr
-0.211,159,cypnqgxivp,-0.108,0.097,rzrxpatfrh,-0.31
CaT,mnjrfrqlbo,-333,-388,qyocrimhsk,cat,-0.4375
qmrhulwdam,134,cAT,dOG,CAt,820,ccyjpsshpk
0.1765,gfbojcpila,dOG,ggubvkfero,-0.3265,-0.4135,qmagbnvrfm
0.1965,nwyokweemo,505,cAT,448,0.0025,ueplwylnpc
0.12,caT,0.019,524,DOg,135,0.225
-0.163,qarqgsbtgv,ehxvazbzpl,-475,-412,0.1215,tdbcsqaprv
955,qeokcxmlim,rnttnhwkii,0.1665,CaT,0.1335,bbyevhnhbh
0.496,-84,DoG,-84,felluwjrff,10,-0.483
-100,-681,0.0165,fnscqpkitu,952,cAT,chhbkracrq
105,0.2885,-0.117,-917,517,cAT,0.3785
-439,0.16,-0.319,-662,xefutfiljq,413,0.15
-890,175,xkspiwbrgw,hrbuenpskz,-0.218,tjllrurmzj,ggwovruizc
74,kabjkyctsl,CAt,tgymztjbeh,697,-0.281,hodeccolzz
llifqfwrra,scirixyxya,-437,ggidckzdxo,0.326,-944,0.1775
lbeffefblm,CAt,689,xbeysdxvli,xowwbfoidr,DOg,CAT
DoG,tgjetyovqn,dqrcnshnav,dog,-0.3405,0.392,doG
-826,-493,jnejegfsik,0.06,-711,0.3025,dOG
-427,fnmvhwujqg,371,-0.0635,Cat,125,fotuqmdmsu
xzulunwgxs,0.227,xvaiokxvwh,-332,kpncwpzaco,0.019,0.419
axlluxfhfa,-0.2585,918,-0.376,-0.299,-825,762
228,-0.11,nrqtndwawx,zhsrwptorb,594,dOG,968
-0.179,956,-0.4435,0.2495,oxqqpztkgx,-0.1235,vjjvbmvige
