wwqvkvykfy,nmghlrzoei,dufmaubscz,kciuhpiefy,zzkmtphxdh,nekrkceokw,jnbjdwozcs
-574,-0.148,834,DOg,-0.304,-62,217
Dog,CaT,-441,883,pwcokuytwj,-32,-0.444
-0.1965,-0.2135,440,-55,Cat,-548,0.0745
-0.3565,uobupboxvn,-0.111,-857,-0.246,dOg,Dog
nhjrenqzof,frfxjuxkdm,caT,rmpkrwsctp,-146,caT,-0.1505
pkpsdjtgua,-0.12,-0.2005,0.0775,0.4975,0.353,0.3315
sqfmnlbykd,-376,-0.0095,969,-751,0.4535,CAT
0.0355,0.3705,-0.103,dOg,kbyjdtnrds,-487,0.033
dtsnmwnhdz,rmumrcetzw,caT,aqszogwdym,-999,0.226,Dog
110,-0.4545,-0.4185,-0.309,686,dOg,-0.4365
dOg,Dog,Cat,lxyjorfpxm,dOg,0.0245,-729
-0.111,218,CAt,ixxmzccezm,doG,caT,fwjdzhffrn
nfoiftpodm,kzvyvgwhuk,dog,-0.236,-0.406,lgbgwrwlqu,qqlwkdrgfx
xuiylvkqmi,-0.054,CAt,walagjrhgs,-0.01,wkcnheqbst,Dog
iidzknuqsw,Dog,-0.155,cekpumrira,-431,-0.1025,ecwjucwwlc
dog,0.2035,0.481,caT,116,-0.1255,-587
-771,dOG,-0.429,cat,-0.215,tteyrufjsx,caT
-771,hakgajncyu,-663,dOG,mrxwdewwax,0.076,qqufsqnxzj
0.0255,ghpaspzilu,viduboundc,DOG,0.2655,CaT,225
cAt,vbuiakhgpv,gbkrhciwtg,-426,0.0965,dOG,zvydplrggf
biinvnolyt,-864,0.4955,0.3585,-102,-0.3835,rgkabwcyuo
-0.4835,563,-0.2365,gclvgueule,dOG,43,-0.008
cAt,cat,ftfuzjezoz,qadgdicnan,pvaidfvvgl,cAt,544
0.266,-685,0.403,yuxuzayfjk,DOg,xbcnwrpbra,dOg
CaT,-42,764,dog,0.4985,-0.2875,cat
-278,dog,umngywjdsk,801,-0.1695,CAt,-0.3665
xkpfbsjjoj,CAT,ausezeblsc,hbpecpjogg,cAt,DoG,993
DOg,248,cAT,DoG,-0.2675,-66,0.1155
-220,-0.003,-198,-320,-138,gxholshpvo,851
dpkjscjcud,DoG,pfwfluzgbg,wzgwswjelx,32,DOg,pqmngbwnxh
-0.37,wrcuzndyyt,zijfeljzjl,119,793,0.0525,edquipnozl
-250,-0.1255,395,dOG,-0.451,ngafaovqxy,zzuqfhnwoy
dog,wsgusztpgm,dog,rqyvxwlrhv,ofzcdygthh,-221,trtuyejudz
tcfiiqnxci,syozfjipac,cqfzxpifyw,DOg,-0.3575,0.311,nkkjpfhlsw
Cat,-736,cAt,ltqpluwhmx,cnrrqatbxz,437,mjjbevvuro
81,nahzjyvtai,ruzzdxjhtu,cAT,CAt,281,anyziwyyua
dwlujxgavl,-0.469,CaT,442,CAT,0.1345,-0.157
CaT,wolyemtqqh,735,-0.0685,0.0935,926,0.1625
DOG,CaT,342,qkktjmkbef,eqtokffqhq,-0.0005,-0.259
tqemijaspa,dxeemxstwm,DOg,yaeosllbql,-0.1315,-776,840
-823,cAt,khsnnnqljn,473,-0.013,sfjdpvswza,0.044
-672,-488,-0.224,umuprsnmmv,-667,549,223
olmhcnespb,149,DOG,Dog,sldpalvxce,0.2495,lixkvvuiol
715,wqmtxfjgtg,-0.2915,eihiuxehuj,0.199,-604,jabcqxocra
-0.1915,948,kqkvzthwwy,-0.2935,722,evlqmggkbn,mbctctjvwn
0.2745,0.3825,0.078,0.164,0.499,-0.266,0.462
0.337,0.1645,-0.051,-0.4655,542,cAT,DoG
0.3505,-913,CAT,592,-0.2565,764,250
-231,-0.321,tpgdqcdynx,0.3345,0.495,iyxnilaxwv,DOg
-12,rtwehiwacp,DoG,-671,738,DOg,Cat
-0.2655,-526,flkudkhslk,dihyvzwwvr,194,0.352,0.481
715,-0.2885,0.0265,Dog,-87,852,ivfgrfqclc
pxgeykqptj,-190,gwrvqdwmbv,0.0145,hvcwjmilmi,quujiupitq,cAt
974,dog,-378,-0.319,580,-451,-0.32
-258,caT,0.0965,0.364,doG,sgavlbumxc,-0.3095
0.3135,0.4015,DOg,-902,-0.1305,skhkfpsomc,doG
cdoeoyvuzo,-832,0.144,caT,0.2615,brkvcvvwet,0.3385
cAT,181,-0.2355,0.1865,eqfrofonox,0.3095,gxqlzpkbuf
0.4665,0.4825,cldviwaawb,dOg,tjhupkzilz,xlxzrbmors,0.0025
-0.269,-0.236,zjibuleote,caT,caT,0.393,zlcfwgmuhm
wzeirvpdad,dOG,305,-0.0525,lqxdcgekcp,CaT,DOg
vpexgmrmos,hefjxhdfgu,vmzwbyhwxa,omdnmvcdeb,gyalipvmru,-0.2655,ugjvpolyhs
-0.0515,-0.4165,rdqluzyken,fhsslpoekf,-361,0.361,yjukqxwtop
blltbzuugg,mhvvkhlfev,omxyaexfoh,-0.124,-687,0.2085,-646
-0.219,jwgyuzmfrt,kwgojsqpuf,47,chafqufjix,oybivyzvyb,-0.224
ycethonlxh,-0.3055,-779,mtwaduiimv,-516,0.3765,-810
