yyobusyhfb,peT,htbanzgkfp,zirjviyibh,xonnimyghx
-0.126,0.2655,xtnpugdvha,CAT,cat
-592,cAt,-0.441,-253,-356
ahdcoafind,CaT,DOG,66,-304
-0.0205,-0.3965,321,tsukyzqsmu,idepbgrscv
uxuslxjeow,CAT,CaT,-0.0175,37
-0.3565,dOG,rbjffeafwl,0.042,-336
-0.068,CAT,cAt,101,-0.392
DOg,cAt,0.2495,806,-0.0935
whaadumwzq,620,-0.143,DoG,-545
CaT,caT,CaT,iqjhwdzgfg,563
CAT,0.353,-257,ikbrqxlvrn,-0.037
0.2045,-0.022,-0.1515,-0.192,upqtegfnnw
284,0.4165,DOG,0.423,-425
261,DOg,890,0.148,0.3895
190,dOg,0.445,-736,-0.0055
DOG,Cat,nkqrapzzzb,242,Cat
-880,DoG,0.14,0.0835,766
DOG,CAT,35,fjaauyszoz,-0.038
-0.3525,-972,-650,-298,0.4925
fszjmuftcd,cAt,788,0.2735,273
ymjnhpfbau,heejgqnkzs,149,-578,704
-594,DOg,nemooepvpc,961,0.035
DOg,DOg,jncudmbzgl,217,293
-0.406,dOG,-0.156,-0.358,unqggkfydc
0.219,CaT,-766,dog,snozdxigiw
evthcshacl,0.26,0.113,dOg,0.47
doG,doG,-67,ogukieybka,CAT
bcltgdpfsu,dog,uebzzpiriv,46,ptznjpxnnp
dOG,dOG,uppimswmhw,627,parlwqqlgt
dog,DOG,0.4315,0.255,-0.248
0.161,Dog,DOG,0.12,-0.0555
-889,CaT,0.2825,46,-0.296
caT,dOg,-64,867,-0.162
ghfmhnvziw,CAT,0.4825,DoG,-50
grvdaqteqn,doG,548,-543,765
-61,bnkftkfkal,-90,caT,72
Dog,CAT,arbqctoevm,-0.3345,0.444
-0.463,CAt,wkxufwrkmg,ewavobaxny,703
867,cAT,115,-0.0375,0.313
0.3965,dog,yyutlrxksd,wywnvwxzdm,-0.4505
-605,-0.479,-0.3635,748,tdawdwbweh
craenuvavm,CAt,avozrqlkmi,843,-573
-607,DOg,muwallghdf,0.16,otirlaehlu
dfvirgpmii,cat,-0.1215,0.375,yuhjjirsbz
vsomwqdkcg,fkuxrnbrte,-127,CAT,Cat
-0.285,DoG,-0.368,CAT,-0.248
449,dOg,CAt,dOg,-0.185
648,caT,mizkidleqk,0.4325,-797
doG,DOG,0.3005,Cat,roypxqjsnz
DOG,DoG,353,-890,gplelvnkga
DoG,DOg,-786,hllcjyirze,-0.393
-543,CAt,-0.4355,xcpapavwoh,chrckfqrmj
0.3075,CAt,gdglgbuapb,caT,0.3805
651,cAT,0.0675,0.209,0.304
DoG,DoG,-0.0515,-0.0545,-785
rdzasikxxq,cAt,0.4465,DoG,-0.025
DOG,-0.357,-0.1315,-964,-0.268
jikafudnpi,0.106,ypimuzkysm,0.1225,otjbpsgaey
-0.3815,DOG,-633,Dog,cAT
vjubuiwffj,CAT,555,0.049,-0.369
626,cat,0.016,746,zzwjrlenrp
509,-302,0.28,0.0745,zwsfqtcokw
0.0665,0.383,-422,xoksnkgpzl,0.1015
scwgxvxzya,dOg,-443,ngqnxxqmuw,723
DoG,0.0725,-940,dOG,dog
cflnoceuaz,-0.3745,-0.158,302,0.2325
0.065,-964,-237,Dog,dog
0.2325,DOG,-0.261,461,ctcesuokyb
-609,Cat,gflvubnqzn,qtiyyfnaxi,0.1535
djrdmydcdf,dog,azvgtbnqfx,0.022,CAT
0.2845,cAt,794,-262,0.007
doG,doG,-0.2515,-0.2095,-0.0235
bsuphyrwvl,-0.3105,-976,dOG,CAt
cat,-0.457,savzqpnbuh,0.039,cpwbyiamqa
tryjttxycx,Cat,qglcyabybw,-887,bcandpucbo
ajxanjkijf,DOG,irrctyhvyz,0.3305,Cat
atslmnoeee,xxagxrlodb,0.339,lpxbrknsor,0.104
-275,doG,314,-965,vaqgkejrzr
-771,Dog,-0.395,808,-0.0075
dog,cat,vmzdnqungc,-0.1925,zpjhqiaxng
nwklarvouz,CaT,jtrlnsrwny,CaT,-568
816,ftzgqlurax,doG,udgjarpwnd,mdvgsiehpz
525,caT,cAT,canjtdykxs,-891
-0.0195,fjubgaaibk,-0.2835,dotwafalud,-0.26
-0.4985,741,uptlfvtxes,850,jhtioloriw
