ondkfbvpvd,oqlnktdpuy,aytjdaefva,rurvugvvuc,msotriqxqu
963,-346,-91,0.081,0.453
-0.453,jokscabqja,DOG,jwbnlrrxmp,DOg
-309,-266,-646,49,Cat
dog,-0.143,-667,806,-762
cAT,0.375,978,22,DOg
qvqgwabmqz,mdaynpzixz,uooztmkoqf,DoG,-870
tylzwsacbz,-0.09,qpejsqxtso,jyfbyasimv,lqyvsjwmkv
cat,-371,ejaaccjnae,-754,vbthlsprcs
ufgmqfhuws,-896,yciheqgkdy,0.0765,574
ckojxghlfe,-947,0.056,-0.4315,yfrnbngbev
0.3645,hiowggrpyd,gepwgdeiko,637,zrghgukeov
-0.154,obocogxzwf,dog,xmcnkwilzh,0.158
0.4915,rwbixutjfp,-0.2135,-0.446,koenxqcssv
otxmrveavh,wexrmfxprz,420,-0.2935,fdnnxkwnqp
-868,0.2465,cat,doG,DoG
fuzgzzqptl,ncmkodsahd,0.498,637,0.218
jsvlujmqxh,-0.078,-193,-0.084,106
583,-0.226,DOG,-191,-371
-223,-0.4605,-0.4245,0.0,DOG
0.115,xgvizmbyii,CaT,274,yvekeacnap
hbyfznznea,cAt,-0.3635,0.286,gszjbdqgbm
0.2555,-0.1605,0.267,-807,hazwhomgns
403,-308,67,-0.095,cAT
886,0.3705,-0.3685,caT,ebhcpdulaf
DOG,0.329,tqxwpohsgu,218,bbxaygyfrq
-0.3505,cat,70,77,uunmfstfsc
0.4395,sccnxyqjuq,dOG,380,eeiaglqica
-0.404,ifgwnyfsxj,654,cnolrvaiho,-439
321,-182,hslqvbpagn,0,deikaodrol
tsvratdwcr,trasxpxciz,dOg,qmwmwtzrif,-365
-0.104,-963,qunnnlofuz,346,dOg
axldxvktty,cggmlngedg,417,0.36,-0.154
281,118,CAt,661,-0.4125
guuqhhdnki,-0.1925,0.352,-748,dOG
DoG,dvmwtdvbmg,531,0.252,0.4625
sgauofbaln,-0.3795,-0.085,0.491,-622
-0.044,0.006,-0.403,0.139,167
250,rkfhvhnrgr,-0.133,splyehmyvk,CAt
0.4635,CAT,-195,645,qecmfdhaxu
wxwxfzksvo,-0.2675,uaghexztmt,daqdqfctxc,860
380,-513,paeiaypcvy,-0.353,whqqqcvrsv
0.2985,mbhzrbaecq,tgphvjczlf,Dog,731
zhfiltcydg,hahetshzyz,cAT,-383,bixtfnaqda
