tuxeaupgho,qubjkfwdnz,aqmobhptde,uquvgihnki,lmureeuqsx
-636,extjiultmg,0.3065,DoG,moijotuath
DOG,dog,zpzcguxbel,hzrflwdspu,cAT
532,erkmtbasqs,tyntweupgc,cAt,cAT
-0.2945,-906,-915,CaT,xnscclcrva
caT,cAT,-34,14,dOG
-0.4955,ykeafmrfsa,204,uybqvckzpq,Dog
uavfmbrfzg,doG,xpxonibtda,cktgikdqrt,-0.4185
0.2035,sbedvxysmk,1,Cat,gcfxvcdhfs
cejfnwedzm,uueaovhgge,0.1855,-0.296,cat
CaT,afposgnzmh,483,Dog,jpnzbrudcl
khthcfhpsv,-234,-0.3625,gzgnrtvrwy,irrbzxvhcv
-784,yvbukvcuso,918,knnknfldgi,-663
0.4735,psuvxgncfx,-0.246,DOg,DOg
-0.3975,-0.258,-0.0775,0.0905,cAt
-493,-0.4745,-491,0.078,149
-0.346,191,tlhgxjxbbs,-0.0005,575
0.2035,doG,0.0755,-0.2745,967
fufqtetjui,CaT,CaT,ucjkteeycq,0.109
CaT,hlfigvwecl,dOG,jgfkgobypi,gmpoeeqqfe
0.307,-0.2525,elvtutjxiy,-0.203,-0.13
pzrwelbvxo,fvxijgdyaa,706,veqfqmvltd,mvtgexyqhi
0.0435,DoG,-0.317,cAt,-0.381
-599,imlztrggcq,172,-0.0205,-387
0.2895,-509,CAT,kkrvszanwn,-521
253,snsmaorgdo,-0.1725,0.039,-622
zeslpvfsxh,0.094,rbqxykodro,-0.488,-962
cjrovnftkl,qqiwlebrig,crlhxluoza,-687,-533
-0.413,Dog,cat,dOG,-0.2055
-108,DOG,556,0.4965,yurvmdxbij
0.0995,-34,-0.295,80,fqwbodbolj
614,Dog,vkhdjvoios,gglpzizqtx,998
182,-147,cAT,-0.0395,603
qgororuiey,0.0525,cAT,0.0525,fshdzqqjwd
90,vfjlexnmrq,645,-72,cpeidwlewh
-0.3355,CaT,CAT,zeuwsfvzeg,doG
-901,svfrclfssi,dOg,-121,935
cqnzuoprij,-729,zvwfwotkgo,-0.2955,0.046
842,DOG,412,ydvpeitstb,113
auxbxxelum,278,DOg,-0.1835,-0.3345
-747,0.313,0.3665,CAt,0.234
0.234,936,-133,afwxfxkfcc,-0.412
hwqoipqqdk,377,307,aggkyyrbec,585
-180,853,gjiidyzdec,doG,0.1605
-551,-781,cAt,-654,0.1845
-0.135,75,bgblnlejtx,CaT,zjdouuxnoq
15,DoG,dog,424,-768
533,-529,-491,271,877
-566,17,ugzwzjdpei,Cat,DoG
-0.125,-0.0195,doG,doG,caT
ouqweaonzj,-0.327,dyhidnlhmy,-913,454
gdllmamusp,-0.293,cAt,0.407,dOG
0.3975,zhpulqlijp,554,wvxalvllmn,fcefixmmqg
68,htqsozgjul,0.1925,710,zvjanptqkh
dnzduqttkp,hlhuxvbbza,cAt,-174,0.1595
cat,xfnsvnyvei,-159,0.209,-0.3685
13,-0.2415,qukenzubze,-0.255,0.4885
