nxxjxcjbyy,ynxmucqulk,bylfjuwbwg
0.0515,-560,wbgosvtipl
vkmqfzyorq,CaT,-570
-498,-0.1305,cAt
-482,-382,dOg
yebrmuszim,0.1555,-976
-597,dog,nyotzwjedv
-0.4325,sbvzhaslvb,CAt
CaT,-0.382,-753
cat,0.289,bwsfveohil
0.3715,-230,-0.253
DOg,163,-104
748,621,-636
amhpyphbwf,0.0925,0.365
hxrsprcdab,dOG,610
xfxnyfhrnh,gattpvultn,mtbijgvzxw
caT,Cat,ddurfkehss
cAt,0.369,dog
cgbyhbwmdt,0.2565,-916
upsccugmjx,ckwkqgvgyg,pujjljpfty
0.1275,0.0435,ulagvjjzgz
0.1885,-518,CaT
-0.177,-599,0.142
764,-634,-507
qrogetasyf,cat,-0.3525
kkeqyvmwwu,-0.081,-0.2845
-250,kbpupuvkiw,vsflcvcoxn
ujdixshmlm,-250,0.2125
Dog,0.1925,caT
gtwesscqbm,-787,Cat
xblcvvxchk,dog,-736
DOg,-0.3455,-280
-0.219,-0.295,-0.0895
omuqqdkajs,ojbexamhxj,-247
uiaqvorayr,-437,gechzvnnux
-766,0.157,Dog
352,kkfmnylwlw,-824
229,124,nxvisjkktc
0.138,yslcduzofd,-0.183
0.245,781,0.342
0.241,goscyitjih,-227
vdasilfesg,cat,0.1955
