pet,ejgeyhgchg,cqewykkhwl,syqabwqbin
cAT,Dog,-657,woajnjuoua
CaT,-0.1205,0.0,-891
Cat,0.328,837,vxppwsbgba
CaT,-0.1295,ncomzcxuce,-0.4645
Dog,kfeyptqdzc,-221,-881
DOG,0.3775,lorfvnvrzh,-0.278
867,0.377,hqfjbylxps,CAt
DoG,-0.2805,-183,134
doG,-0.134,doG,0.112
dOg,ukhjjfupmn,-759,DOG
CAt,cat,-0.0995,dog
dOG,fwhmldubxc,-0.275,919
dog,-0.022,-236,hyndsfnmpo
dOg,723,yidmorcwdf,-0.471
Cat,iwxtbaxwdd,-0.3325,-94
CaT,-0.3985,qiyvevtphn,0.4745
wmmchpakbv,611,xjeyvopnch,DOg
cat,-688,bdifkcnmqh,DoG
cat,-357,0.3605,CaT
CAt,CaT,0.025,dpzfnmbvuw
CAt,-0.292,rzoqszffab,Dog
DoG,402,Dog,0.356
dOG,-765,dOg,981
CAt,-0.2535,-0.189,-221
CAT,-666,-77,hznbqvdhih
cAT,0.2875,-0.37,-0.064
Cat,wulqyyfdld,-249,nosbvfygip
caT,-0.116,cqgxarmmao,cwanzblnbe
cAT,-0.0945,euvugaopmm,cAt
caT,-0.0755,wsdwdozhum,CaT
doG,810,0.1645,-0.449
-924,CaT,0.293,obrzdtekvf
cAt,rbvsmrprul,546,cat
vqolwqiqhj,cndjksofwg,0.463,706
-657,55,fkeljbtbuw,-0.0045
caT,zuextenjkj,jubmqmxehi,txuspyesha
CaT,qnnbxlkwks,904,dOG
DoG,550,0.405,-419
44,tbzlnbvlgn,0.3755,53
CaT,wjtnyjlfco,920,0.425
CaT,0.331,uaanlmweup,znwvhzduqf
DOG,-426,woknvynxpt,cAT
cAT,-895,-304,ydylvuwnai
-191,-0.3205,-356,168
kbvzuiyukv,0.115,Cat,0.4005
Cat,-0.065,Cat,0.487
DoG,169,616,0.221
-0.262,-110,-0.02,256
doG,0.4045,-0.1445,-0.2445
mxokclytqu,jshhchmikf,-0.116,cAt
DOG,849,cnitatyzfg,wzsdyhmrbc
jkbghxurtc,923,-144,svkhqwhzop
aucwndmhiy,gbyctuwryv,0.038,-0.2515
DoG,0.006,-0.26,jobwitmqxz
0.454,-0.4825,0.406,tcximyedke
-462,-0.3425,688,cAT
539,647,-404,Cat
740,550,-0.495,uuvhcznxnj
599,rdjrbtkudc,cat,0.4655
DoG,DOG,nulpkrzgvo,CAt
