kqwmvmewkv,carcpngyws,jyjjywhwdg,PeT,xxuzbxsbcf
-0.177,tspqfhhfpu,-0.001,cat,-0.13
doG,725,421,caT,wkzxgsexlw
CaT,CaT,0.108,-0.1245,-670
imeuluttnw,sinbpjzpja,dog,476,cAT
caT,485,-492,Dog,142
975,0.449,-0.0395,tsqmwjgxbk,ofjuttqyht
DoG,cAt,gfyyqakihl,CaT,360
qmzqmzqsoi,55,CAT,dOg,-0.2125
-885,arrossiifq,-0.325,-399,-0.481
-0.4395,shirfjgfvk,CAT,doG,raywiozbrm
tmhhwuxlor,squjqxuhne,492,-728,0.025
-0.4,jgkwllkzqd,0.3675,dog,cAT
lygksrucvl,682,-530,caT,gpvqxsqixo
qmstmbvtll,dOg,DoG,0.434,0.3345
38,-51,Cat,dOg,cAt
-0.297,416,0.378,CaT,DOG
cAT,0.0755,nbarqaxaxr,CAt,0.49
0.0065,0.346,CAT,-0.077,-925
qrnbuepzzb,-851,0.058,DOG,0.3095
0.187,0.486,986,cAT,0.2925
-745,hassbjifjx,ujsaupiywy,0.3985,aqespnzefu
0.0655,doG,waenxezuxi,DOg,cAt
zbdetuqmfw,-621,cAt,DOG,-0.239
0.424,998,dog,Cat,doG
831,0.022,velqafazqv,doG,0.0875
-0.03,nuebwzcohu,dog,-605,oehuvvbvmg
0.0645,vnazsemvvg,-46,-473,0.094
-0.0775,caT,360,DOg,-468
CAt,0.001,caT,CAT,-0.2885
-0.139,ibdzdmpwdn,cAt,caT,87
273,-0.4415,0.328,cAT,0.168
-0.1395,588,jqknogxdfd,DoG,0.239
0.282,xoypkbwqbd,gqxrcougjz,wdimrwxerr,vkbogzamgk
464,563,889,DOg,Cat
DOG,yuzpjzdkuy,-418,CAT,0.163
ubjovpfupm,974,0.1135,cAT,32
-0.1835,-0.4295,ozpaholupy,kecklkomca,DoG
-0.3555,0.4415,808,CAt,-0.2545
0.057,dOg,634,CAT,783
cAt,788,0.1835,DOG,hvjmanhhxe
162,CaT,CaT,doG,764
-572,-829,dOg,qgfhwedkie,ztjcrhzevn
0.127,0.3715,zaoyrkbxut,-529,0.2045
bduvqbfkys,0.256,DoG,CAt,doG
cAt,-0.397,dOG,396,CAT
-0.1845,srfoppjvww,CAt,dOg,CaT
jliyoymcvu,oazbslinoo,412,doG,0.443
CaT,DoG,338,CAt,dOg
-0.4645,lxnsiivasg,-0.336,Cat,doG
lvmuurejyk,26,DOG,dOg,167
-0.202,-0.126,hsdizssonj,cat,Cat
bkejnbycnf,862,wuglmyncpw,cat,763
-541,ccbkeadnee,pjduxunjoj,cAt,-587
acvsmivrdr,drksgfuyqq,-0.2545,CAt,cAt
leclgrsizp,-0.2855,-0.3985,DOg,0.3935
umdhcdtghe,-0.3655,ozienlxsnx,-536,0.267
DOg,pmknqynqcw,0.0285,CAT,doG
532,0.362,-0.0605,DOg,DOG
zfaqvqulwq,-0.084,ustvthqlmf,doG,0.3935
-396,0.4515,-0.424,cat,gycekqqzfm
-201,-0.0045,-487,Cat,95
-457,safcqswakj,-0.463,doG,mpxgnbvnaq
-597,dOG,869,361,-532
vyyukdebei,-58,0.3755,0.125,dkfqptyrla
iycqxuelqv,0.2445,mdapepjegh,dog,doG
owubdzpkrl,-0.1055,464,dog,0.0065
171,-94,-0.2705,CAt,dOG
CAT,kourwzirsj,-0.3145,DOg,67
yaoqzhweoo,lvumjefcbj,hzrepkfcax,vexzgbmtxq,dgqekdvjyd
0.212,gbbtijqpiu,xxrczgnupz,CAT,-0.1045
ffgtnkpodw,0.4325,0.04,DOG,-359
77,CAt,lqjzvopmwn,-0.246,0.2575
ehefzjvycq,cAT,ekgztaaofs,cAt,fmbopyjhxm
