wfpxzxjkbz,oyacekfqkz,gsvemjqqho,acrfjzlbtz,awbvnjkpwb
CAT,fyvyudttqe,0.2475,-0.475,CAT
-0.35,dOg,cAt,460,glsggzwfmi
995,403,265,CAT,22
728,djqjtjocqz,256,933,811
xrexdxtdsz,xiutsbahlu,-0.2785,Dog,huwimjlzoq
0.468,oowjrukrdn,hhrunzlapm,yqoqxrsdxw,0.358
654,-0.3035,DOg,DOG,ifefayrwae
-857,277,0.4475,989,ypphfmwtmr
pxyjjzfhht,530,CaT,vvxzklbuxz,899
158,-0.4625,334,mnymwtgcdw,dog
-0.4985,okgwabmdiy,pzqbrcnpug,-0.157,23
0.4895,cAT,101,0.4325,-150
0.464,0.2675,-0.2635,-818,-142
-0.433,ybvqgensws,usyxsfnqvu,-0.4195,CAT
naykfqiqzi,wyrzxnhlwn,54,doG,eebvixisau
hesckxveyf,0.128,dOg,dgbiogxvxq,0.076
545,-0.1925,0.206,-0.21,-0.3205
yxrnhjxowv,112,468,cAt,cAT
zuvoyhyssb,ormsazoztd,DOG,0.173,mhjhnswvoi
152,cksgxsvafy,fpcqmtgocr,0.1255,-963
384,673,itxscpxqjo,-0.1645,-0.367
719,oxbsiuamlh,-0.184,uampblyonh,rhygzwdcjw
nkdittvnce,745,-0.2675,CAt,497
207,dOg,chdbgqxcnm,-0.4265,-0.3285
-568,-752,kggvopqexb,DOg,gurcreyfhq
caT,jhvipdmeee,gcyvxflezk,0.087,0.0345
762,DOG,-0.3965,hpxwxmeeak,-0.1945
0.4635,cat,wcwijrhfgz,-0.4985,0.3635
-0.276,dOG,-991,opnvjoqwzf,-975
0.1765,-647,zsxhjcadcw,279,riqhxridgi
caT,0.066,811,dypqnngzuz,-729
-0.3485,pkzqxfhfzf,-0.269,udlpedordd,doG
