ztvnxljzkw,rreonjbexz,rzpobdqusm,samtjblula,zpuwavujlp,pET
szvawibjee,0.3165,-0.3405,-0.457,kgfuwvnsjm,CaT
-811,0.3555,0.3165,Dog,Dog,CaT
75,mjhchlqpot,kwtvftfuqa,654,nkendsfbpk,cAt
-0.0135,529,0.4245,0.308,cAt,cAT
DoG,0.191,CAt,0.388,sumzbvdufr,DoG
qrmtsqymwj,-0.2135,-477,-527,0.2375,DOG
rqtnytwkux,lbsyvppjrk,112,-0.1555,0.3455,vqpogspsyk
0.032,DoG,CAt,onibjkrfcn,152,ooipcncqpj
CaT,jayhbhvits,hwednpzcrm,DOg,Cat,Cat
dog,-0.315,272,430,ruoqylnbbz,Dog
DoG,-0.1395,874,-0.104,-0.138,933
vlosvoqqev,-123,esxioxgdtu,afzxxbutql,ukeeqivgip,0.4495
huiyuykzsi,-942,doG,-431,-75,cAT
0.4995,0.25,cAt,cat,0.0825,-53
CAT,272,-0.127,-0.3855,gyivoxwyzu,ioualxwxgv
bssuyxwwmr,-378,CaT,eveqrwvymq,-894,cat
-307,fqrusxpjgc,0.0445,DOg,CaT,cat
-0.0215,-318,dprpffikze,-0.18,DOg,DoG
0.377,-981,0.2515,DOg,-0.3265,cat
0.3855,dOg,-987,uwjhexfhca,-0.334,CaT
124,ohtiopwlcp,zockitdcaj,lynoeyudob,ooczrncray,tdkqbkftkx
CAt,wmcgxvzyzo,0.1475,0.347,ieqkxldwxf,dOg
-0.42,-193,0.0025,mwojvyzeqy,dOG,0.3635
0.0105,0.486,0.428,0.0805,mlylidffoy,dOg
dog,0.462,669,dog,834,-0.375
-829,-0.4345,-0.1205,-0.3,CaT,0.3405
DoG,emugaplubj,-899,ckrreneigv,743,-38
pzpcztruty,720,381,yzyeltdqgl,963,urqzqvwlap
-0.494,0.268,caT,0.3025,-0.426,DOG
CAt,CaT,-141,-89,paegchklqt,caT
581,doG,DOg,-539,-779,CAt
-18,CAt,dOG,92,-182,DOG
uaympvfjgu,777,-0.242,248,-0.2745,DOG
pafzshcpxp,areamwpolh,umdjxxnexx,811,-889,caT
evmnbmqsgf,dOG,sqlgligdru,oncgteytlf,DoG,caT
-0.4605,0.3495,-222,dog,hitrycomas,-262
413,xwcemivcoj,doG,385,-529,DOg
-833,-110,-140,caT,-136,Cat
amalhmltxl,-920,-0.021,-697,0.255,doG
jmwtlcluak,-0.2585,CaT,dOg,ezkilohvru,0.4305
0.397,bkwyjibpqg,jxexgzjzqa,172,coxxupqxga,cAt
-0.2885,-0.244,-847,abxyriczlh,gxrudycdxo,cat
915,-0.2525,ujjpegtcoh,afqjofdihi,bsgljivybq,0.406
doG,-495,doG,onfperljly,avzoqhinyw,-0.397
CaT,0.32,ncojvppezc,0.482,mgokaeqvuo,Dog
wkrsvwyses,cAT,732,0.4905,270,cAt
