uemdydoywv,cuotxocfzv,ikhcibjuaq,ashswsuzgn,yydiswyusk,krbyjstyni
607,90,-0.399,-377,0.286,0.2805
fyvhaypglt,cqfenibgag,sqxicmmhkn,-34,hxrvkgxdyq,-0.003
cAt,deoriwtufl,-173,0.12,ciaipmgggr,cat
0.4045,-65,ydvvuicfyn,-724,86,txsfpeieht
15,hlocmuzhxv,146,-0.3525,-533,rqsmujvhwv
-0.032,0.496,bxfpjjsvfz,0.3935,DOG,kdgpnflklh
ijhuxqzyfz,0.3015,tleqgxmogh,-13,-609,910
0.0245,rnnaqscuwd,-0.4635,0.471,-906,zsakctzgsp
-497,576,cyggobalke,862,617,cqvhgoqshs
bpzasafeyj,0.177,Dog,-537,-0.0515,-0.2845
ccmfilrscd,0.093,doG,DOG,-121,kdvaqqzljd
-0.324,161,0.498,0.4515,0.3665,djxoctldok
