lssdobuynv,ipgfwsigtz,hwecdgchze,PeT,egpihmvrqx,cyyvyqermk
-0.099,ayzomigdgo,irdjbvyfvf,CAt,-504,iysvafxide
-51,zzfqsypbfk,vxhgvlkbvo,cat,doG,bodvyyhqmb
ikwatrdpnr,-688,cat,-0.084,xqneyhbzpo,cAT
-0.3305,-193,rytmevhgdp,-0.124,107,rewkyiuiyr
-211,716,-212,0.289,cAt,caT
0.3555,kzhekxjdwu,quviadmmjn,Cat,-624,CaT
tquffzhoac,76,0.202,DOg,jnjzjhciug,243
xqhqyrcara,pypdjpchkl,0.0215,925,muziachjbv,0.2625
bmqoicdycy,210,-0.154,CAT,0.417,utaabvymbt
0.061,buhvtjknjs,aevfitulpx,dog,lkeacmiqco,juyuasolwj
-0.123,edtfwgtquw,-0.389,mexrrorrdk,462,205
0.0545,zmsvscsckt,0.481,bplfmjwpkv,mlzdzybbqx,pquuvqumsg
-0.4985,-0.2505,43,-0.439,0.421,oanzpymccy
cAt,ezvdtgyuhf,zxxmsyngdu,cat,dOg,doG
-0.4035,zbxhsbwlev,doG,Dog,-0.0905,Dog
208,-159,nreiexdyxj,caT,vubtumaxdd,308
0.1405,0.2195,558,CaT,0.348,qvpqkokdun
mqiutakkui,810,0.165,DOG,-26,904
-60,-0.055,935,DOG,vabaudaaho,454
-0.48,-0.0165,0.1945,788,116,doG
poqitwkhcj,-0.064,lekgergfal,CaT,0.2185,-554
0.475,-0.2865,237,DoG,0.2975,875
-2,-776,-0.4705,doG,-562,492
dOg,-0.2375,riezqpgohu,igzgoqlerq,903,rdmhubdoto
0.2665,idsxgoupjr,fainncexqv,DOg,-861,-0.4255
374,0.059,0.38,CAT,csfpagicgs,-677
pqqycvrkio,223,904,-533,dOg,0.443
cjdjpjywtb,mgqqzdpjaz,0.1375,DOG,cAT,-0.23
0.137,16,594,caT,474,luqfraflgg
273,qhswvoeohl,-0.274,CAt,737,-476
0.2265,CAT,tpygnrpank,DOG,0.047,nvngtbrbgg
qfzlriowfk,-875,-324,caT,dog,-813
-231,DOg,-0.011,Dog,-367,0.148
0.233,bivrdkzmpq,dog,cat,-0.0025,yfhizucrqy
ulfcfukfxj,-335,-73,cat,CAT,-345
vcgaddloip,-604,caT,sknsjffuny,-0.0055,drusajagoo
-185,-103,-547,doG,867,hfnpwmmyqq
cAt,256,Dog,caT,-932,384
ycqojapqjg,DOG,0.4725,Cat,-0.3075,soksnknhzw
-0.022,jwoxhosofa,-0.302,-0.347,-215,-0.0845
603,0.094,cAT,Cat,-0.2295,978
naleuvwaan,dOg,oqpuaianio,DOG,0.0255,-0.496
273,jfqocxzsrp,dOg,0.3945,914,Dog
enzrjabxqb,-68,0.1345,cat,Cat,144
819,cAT,doG,Dog,-0.017,0.319
0.1845,DOG,CaT,Dog,575,-149
dOG,ojogwbqkky,-0.211,caT,eexjjbztqh,lchvegzaey
0.406,opwjehfrdl,zinxwrjjnl,CAt,aemoidlncj,-640
aomdrzrxdj,-974,0.2475,dog,0.0895,ahgdhbwlyi
-0.101,akxspqsllg,DOg,Dog,zkjagmsenj,-16
dOg,729,muwwuojszv,caT,0.231,tfbjdyzoyd
coerqyjkud,DoG,0.3325,doG,-543,acpolimxad
-0.144,0.3125,CAt,Cat,CaT,-0.1655
-232,uboomvmtbj,mwschbxgcm,Cat,-233,0.292
956,0.14,-708,dOG,-0.074,0.1175
xtivktrjgs,-478,-0.27,doG,0.2605,uouizccdrh
lknmrswhec,Cat,DoG,CAT,cAt,-0.2985
-0.2815,vcwczeyvtj,0.173,DoG,bdrushfvjk,Cat
cat,-0.1735,mxqjfgcurt,DoG,avxisrbfny,767
-0.0685,-0.457,CaT,CaT,-0.2185,irislchphf
-0.325,sfblmwfyqb,cAt,cAT,rxxxdmqmub,lcdwiccutm
0.065,ivwgytoioz,656,DoG,nwxgbkojxg,-183
617,997,yhrwyyurpr,dOg,0.1935,qhavexmnkr
agqiaccpbo,DOG,ntfanrwvuf,Dog,-24,gbkcmwcvhi
-0.3495,-0.0485,-226,kfmlovooqj,-225,0.316
DOG,afugolydkr,ptudkobscz,CAt,Dog,cAT
441,-454,0.421,Dog,601,-640
-948,-976,Dog,dog,dOg,iklfsrvjhi
cat,0.002,659,DoG,139,xvaictlspb
kekyapiycf,paghxlknxr,DOG,DoG,DOG,-0.078
-0.2945,0.3245,DOG,CaT,DOG,tlgvpllrrc
-466,-0.2625,yrvzziadkr,jokjbiloyx,dog,wkgykxhkkw
0.426,0.267,dog,cat,smunfdlqwr,936
-893,qfqapdsxgr,ynqofgkhsn,0.118,thdoehzxbz,depeefucwg
kqvvwttdah,Cat,nererzqube,-693,dog,-3
xaauqtxejv,0.2065,0.073,DoG,vfqbybqhzg,0.204
785,ftbqrbbwue,dog,vcnpxwfxrq,-0.0795,cat
154,kpcokusjsa,-311,cat,xvthixsike,efpqfffkjt
cAt,297,irautqdxjm,dOg,617,0.2935
caT,bqdbefvsoo,dOG,dOg,-0.173,-109
CAt,-0.2925,cat,Dog,CAT,cunsjjmykm
DOG,gmpzzpqgsm,0.1235,cat,-0.2985,CAT
hjmlvtyzvn,564,icmhmmpmse,dog,DOg,-0.359
