PeT,ldzrpvgtgz,qgwxafqzux,ejyessmeuq
dOG,0.225,jxwevvhutl,-107
DOg,0.46,0.289,DoG
DOg,-130,172,978
dOg,ujvydcthgm,0.4125,lgeqdicqth
jrdarqqwrx,0.1475,0.145,-0.044
982,dlyepbecjt,jdiilaooga,0.4
cAt,dog,-97,vfclywqmno
mythgxaoyt,-0.012,ndhbfzytea,DOG
-0.288,873,zmfsfqhiro,715
-305,dog,-564,-0.026
dOg,CaT,leemcbshjc,0.0895
-358,fynwdiktgk,872,dbomobqqpn
dog,0.0655,frlxzlepht,-0.369
cAT,locmmnbays,0.4185,qvyaanbzid
cat,0.497,-0.033,igkgtesuuu
Dog,0.465,lndtrdbzco,-826
DoG,CaT,-628,474
cAt,-0.2075,-859,izcfjayjtz
cAt,137,kpwchlafim,kegxtnbiwz
dOg,48,-50,-0.0065
0.2355,-29,-0.441,ndjafgqlwy
-0.1925,-0.4845,-0.426,cAt
CAT,-916,cat,0.443
