ckejnnezwd,akcdouujls,csuldtpxth,Pet,rhrlcdowio,blxhjvncdb
dog,doG,dOg,DoG,hnxgloyhdk,1
qnevfvrodd,bmirbuslhn,-0.417,Dog,-610,cfuiwbsppt
whkfmwbult,0.4125,-0.198,dog,0.3685,798
-0.153,-0.1265,iwjpaeides,CAT,0.42,0.202
139,-608,167,Cat,0.286,-720
CAT,gciuqblywn,nslabyvlee,dOG,787,58
-289,exztrbyldp,yujcchsuld,0.3535,Dog,Dog
Dog,-0.3105,0.206,caT,DOg,-986
dlppcsbvoo,-0.058,bmgmozxgpo,olgznmqwaq,0.0,-322
214,-256,-511,CAt,0.018,-440
677,vyugmmedxc,-209,DOg,-0.2305,CAt
DoG,0.101,ieyruohklb,yicbrxnknx,-0.25,0.406
625,-0.4395,zxddtgmhqh,0.0855,0.0135,-0.054
DoG,-0.452,cat,CaT,0.22,-726
3,ooggomhlho,CAT,DOg,-151,jzylphnmed
0.423,0.169,tqvhyrtymq,CaT,CAT,ugfnwyhqvg
jeyihosmvf,540,-76,66,yxuaqoscgs,-0.366
-0.0915,0.17,wddnbforkd,0.371,jhofyrjvyg,csjavgnika
-526,86,dOG,CaT,304,-0.42
-0.298,dog,-0.2725,CaT,0.418,ihwrrffrmn
-0.307,kwtstaeqav,-0.0785,-0.106,0.406,-545
hkorlueuob,0.0625,-0.1515,DOG,0.2285,0.0715
Dog,0.2585,-0.2085,cAt,-994,994
CAt,jvgfxbkjqs,DoG,CAT,CAT,wbumtfpfcr
nkmyuhqbpk,0.2815,lxtgbvsasr,-0.052,baywwzkfhb,182
-0.1605,rmuuqxekhw,dOG,CAT,ffgkwuzjwl,399
0.2235,puolicjmio,-15,Dog,-0.2605,-103
dog,-0.464,0.032,CaT,DOG,CAt
chxaifdcmi,-0.003,-0.285,CAt,DoG,-0.3465
729,578,-502,cat,mknwiuwwtq,caT
igavdwzbud,kyqqjibaxc,-88,dog,269,666
0.1945,vgkhgccxui,wxjkpyjqvu,cAT,pcbjawkgvz,mojotnbbag
-427,doG,DOg,dOg,cevkjfckpg,-64
DOG,0.334,egqzhenspj,DOG,nvvqhofmej,-0.367
0.0045,CAT,micvzuzrpl,CAT,rohcokxutd,0.267
DoG,-39,-463,DOg,0.221,-0.1215
xgrrwgyecw,-287,astebdoxnw,xuorlzkiul,CaT,-826
351,CAT,mayeadfgou,dog,ophpaqdmff,vtqddcvmew
-843,-40,msoddyvlgj,Cat,0.103,cAT
atmlynjlqn,-0.03,580,CaT,-257,pkcotydypi
0.409,0.0505,ieghwoeiif,CaT,zaticwhzgy,-629
naefjhfyrr,234,703,DOg,-346,717
-0.2255,-997,jcwkdbmybk,CAt,0.1295,twtutztwkw
-0.2965,oqyldoljgc,-91,Cat,amzbihpqou,CaT
Cat,-573,-0.2345,cAT,-114,emuhgfeycu
dOg,0.3415,DOG,CAt,urjfbgomui,cAt
-0.0145,xqjmpnwnzw,DOG,Dog,0.48,-0.15
0.4475,0.303,0.349,ayqllzfabr,-0.007,-568
prijlzjqjz,0.2625,0.115,Dog,nlfzvvcacx,nclungeymo
0.1515,DOg,qplrvumkjg,caT,-330,DOG
0.307,0.261,CAT,CAt,0.0175,0.2215
cAT,-0.0165,-997,Cat,CAt,-712
nuhbxtgsom,DoG,0.254,-0.1265,0.355,-0.369
DOg,yrzsdllhgt,-484,0.2805,0.1455,wissmumybs
-0.458,-249,cat,caT,360,120
-0.301,728,0.2065,doG,ietuahpmsb,-0.499
617,Dog,qafjoauixv,DoG,nhgctkaxns,805
cqwennovjs,941,kkxekvatff,Dog,sojncqalod,louvmfimua
mmuzhjorjc,-0.081,owuccmujuf,cat,-650,-0.075
radpirylnz,caT,689,232,-0.0865,0.0275
wiwkibxbuf,-66,caT,CAt,-717,0.034
lafaytgroo,DOG,124,ngdbmrxlgq,jtxnqdsgvc,DoG
-0.457,cAt,-448,CAT,0.3095,0.2885
yvzfmjwwhv,-291,46,CAt,dbyottlnwu,-180
988,0.166,jahlxqqhww,caT,0.481,doG
qbyuysctgk,-460,lkriblpszf,cat,Cat,-0.454
888,327,ctmqqdrvqo,cAt,0.059,ehymwdsvwd
assdugrufm,ascgycemmg,-113,240,skkussllhg,-778
rvuyjpgwrw,epnbfiycew,811,doG,sibdhejmcq,DOG
-707,-0.3395,-0.0075,caT,yduwlgrrhz,pttojvbeyy
jxdkkmwvun,648,caT,Dog,DOg,908
-0.3565,rvwcbfmvpc,dog,doG,-154,cAt
0.2535,-298,-0.444,DoG,qkecaawaxn,mvnlunkdix
DoG,jyimabbtyj,493,dOg,DoG,-0.0505
dog,dOG,-0.47,797,-0.476,916
-366,-5,619,dOG,cat,Cat
0.3255,-0.237,-0.159,Dog,uaznzzavxa,-628
CaT,iqpujmesdi,178,awrperqsfc,sjdmphnrvy,Cat
60,uabehtamou,-0.0445,0.4115,-95,doG
nwwkqafczq,253,-840,dOg,0.406,CAT
786,864,lnsazitgmk,dOG,0.074,qdmtltdphq
-0.1485,-0.1125,cAT,DoG,rpnfajazdz,-472
-0.0315,-326,819,631,0.419,367
xtmubdjaem,hmvbroqvjt,0.355,CaT,0.402,0.293
ynrthvcukw,408,-235,caT,iauqpwukpz,vgufanbftj
-774,0.07,sraegmxkqc,wnwbtrflpu,939,-0.2475
0.1125,960,oohifqoyqw,-711,510,81
fefmuucmll,0.1285,-263,DoG,79,-379
CaT,0.477,epuqnhnwlw,DoG,DoG,-275
963,kiyxubdkbx,-0.459,cAT,505,533
0.38,qqbuqkbdzq,-0.0845,22,-0.277,lgdhgmaxzc
