hxsbeawrwt,vyiaauhtjj,veklelyloh
0.2485,pgroaqsbxo,dmpbhiehzn
-0.404,-362,-0.271
blvnxqwdhe,xdaafzpcak,-469
dog,-0.1585,lyxkwyxtfc
-0.345,-0.0845,bgvecpmfiu
-283,0.3045,0.199
vzgtqwftpq,0.0615,0.467
skfhfezwek,CAt,349
0.465,CaT,0.3475
fptgrnptrd,bebwhlhlrb,-870
-0.2815,dxymhvvrfq,dOG
ajqhauwwha,Dog,fcmejhwpoe
dOG,dOg,DOg
wunmegfaqa,dog,-497
uxjkvtybcu,palrwhqtji,oxbuxqxgiy
-392,oonosxmlsz,lqhbighgyo
gzsbgktrga,jssbfdrvsq,-0.0125
-824,doG,Cat
-0.21,0.3185,832
cat,0.4735,rfkzuwaxzu
-357,129,dog
-520,rsdhznifbv,jsiaserxqe
700,917,dOG
0.2825,-44,-0.271
877,CaT,-0.491
-418,CAT,472
-298,DOg,vpghzsttbb
-235,caT,567
zzxhlsnmlq,dOG,0.0155
yngfntdgll,-534,upzzflbcrn
Cat,0.308,26
0.0425,CAT,CAT
-940,oofcglialo,xuxmojnzdi
zvcbpyxvdo,-788,85
0.1375,-807,-0.2635
-0.0425,cAT,-61
248,unmuigykws,dog
-0.4845,50,doG
-35,-0.458,tqwyubhljb
-0.244,-275,jefrcrngxn
-325,txfccdxmlc,46
-984,dOg,lucbbjgspy
doG,tgvqufmfhn,pifofmpgqk
kjnittikfv,0.2995,710
wkafgennri,872,Dog
-357,CAt,-477
-0.212,0.1445,cAt
480,-0.446,-0.1
Dog,CaT,0.3495
-0.205,573,14
-794,-980,-0.3525
CAT,-0.309,833
-0.429,0.3275,0.154
779,wlxrudhavs,-0.0285
qcfjhzimra,896,83
cat,oshxbkiqbr,-0.4435
cAt,sjuqzkbxho,DOG
-0.015,drgrfqfetq,ovrdvvgefl
wdxoxvknob,alqwxouvkw,-748
0.4295,ttvbyqnqpg,0.4665
rfxbpxvovu,kjmulejfbn,ojhqepxtov
bursaxuhdv,dog,-0.092
-0.3535,156,pqtkcvfekz
232,-0.194,-137
DoG,-0.0015,dkjgpgyqxw
-872,-171,-0.1825
bjhkzkgoxu,0.075,CaT
294,hommdgzplw,dOg
-0.0455,920,-480
-0.4345,CaT,dOg
-0.4205,wgidocfvnj,0.326
