PeT,ofjpreweqk,avmkyjeuat
CaT,-737,-0.1565
dog,msfmuzkldg,-454
bisqfdtofw,929,cAT
772,ykcuwmbclg,518
CAT,upppfybvoe,vnltvvtdhq
DOG,doG,rsfzhbnqrd
cat,CaT,-0.2785
CAT,xgbdjydqnp,-0.1665
cat,cunotzkqie,-978
CAt,438,0.398
176,kkbohpxexc,604
CAt,-0.321,367
80,639,111
DOG,-22,lrcztogbuq
caT,965,axrcsrrqzt
-128,-360,608
207,dkadyhpclo,442
dOg,-803,cat
dOg,0.389,204
468,-653,324
doG,dltkvguyci,cat
CAt,swfnivubdb,-658
CAt,hkbxxgcfsd,-477
0.165,0.2595,zkbeauwsyk
DoG,636,0.221
Dog,-155,CaT
CAt,320,169
Dog,gclqrjbjor,doG
365,487,yinfmwckdt
Cat,vgupzlemqe,doG
DOG,lhpuwcinfc,-0.292
DoG,eqzfprkpmd,ioazpuxzsv
hrepwzqolh,273,bcdanrertr
dog,-899,-387
CAt,833,eixenczdcm
CAt,-510,uqcmefakyp
Dog,0.354,250
-0.1955,861,doG
-0.372,Cat,56
-0.2135,-352,doG
Cat,-466,743
ojdjykhguj,CAT,dbqbzdpznq
cat,830,Dog
caT,maivmdguuz,xgpprajsco
Cat,689,skxabofdvr
ebjasacibv,-0.0505,0.1555
dOG,ontdwhhdwl,cAt
-97,638,0.1915
DOG,-0.3175,sjcjokwabg
0.317,108,DOg
0.446,jyfanlfivj,0.323
entnuwhxst,0.293,813
CAT,prqnzryckx,-158
qrnfypoiee,-0.25,0.0155
ehokztknxa,iagamargxw,0.044
CaT,-0.056,335
0.239,183,-0.482
dOG,iniiillklx,wkzqcbhayi
DOG,-0.47,-141
cat,143,rrtszagemp
ejpkbkusbm,-0.4,989
caT,CaT,-496
CAT,ihjoaabmrt,0.116
nmzlbzjcib,331,dog
438,-0.445,fqmqgodaqz
dgpdksazpz,-0.3555,-0.1715
-0.3395,-738,937
-158,-827,409
fzjlvdqirv,dog,0.0065
124,-786,-642
CAt,0.4445,unhicugowv
wyllqmbbqk,CAT,154
caT,rcksajymqa,doG
doG,-13,cinmyojmjt
Dog,701,-0.0925
cAT,aqbdfnukyz,327
CaT,743,-0.333
msxghlipwz,DOg,-540
dOG,caT,0.1375
cat,0.206,-402
cAT,gmhkrvvsdr,-0.0245
-110,yselysttra,0.494
dOG,0.0435,-0.335
cAt,-0.26,vfjlvgthuj
dog,0.2975,689
