zksuhsdowk,pjqegvtntt,vvxtcoqyiw,lraxkhaxnx,fnxswjhkkl
-0.0475,-803,-0.196,593,lvcnyhpoto
-0.406,hbwrmrfjyj,-340,caT,dfjvquupru
hxpqcwlkrm,cAt,dnqszhanah,0.3065,0.498
0.317,-60,alpjklwztj,-0.023,bcluyqzjoh
79,kvcgoqjftt,gryhfwzwmh,dOg,-496
elraxvfdcs,dOg,-320,xljbkubieo,mookisrbrd
-0.0125,oxhnlutwry,690,-718,-339
Cat,dog,-968,dog,-436
644,kgrvumurik,-663,0.317,-0.0485
hsypmtecsd,371,-258,-0.093,-740
zmxandjuoj,307,448,-471,-0.459
208,0.2655,-443,971,0.0995
znqjaiiusu,cxvokwbvun,-58,-0.4405,cuoibycfgx
-17,302,qsumfvfrgo,0.2165,0.3145
-600,0.1865,0.274,300,oowbqresce
378,24,DoG,rcscdodarc,505
-734,fbeltdriwr,0.148,kzhcopxcbe,-209
-0.4615,xisegbrjrv,dOG,-0.1915,0.439
fgiybyrnne,-0.0405,cAt,209,azoxvzvjgr
308,0.1435,0.147,mjjncoobhg,CAt
sdjwsshhxk,-24,xdewpdapaz,-866,mnyqctygip
hvkcwsdrsk,DOG,yimddmymlm,946,0.475
cat,826,0.057,-0.152,0.111
yjjnvthlth,273,ispzgcurkr,DoG,nyvedwoaww
-197,Cat,CAT,-304,248
DOG,CAT,-88,-0.0155,dOG
DOg,429,114,CAT,-0.46
-91,-0.164,-0.116,doG,0.2705
113,duaywdoqbr,795,erptlkjfeg,0.2005
336,DOg,0.024,-0.0785,-0.2835
nbnuvgtols,-660,dOg,hjtzpalrpl,catxhqolmy
CAT,mfcqpoiusv,oyxokazjsi,doG,275
0.2465,0.2035,654,zfbxwobyqw,dog
gdopeyturx,DOG,0.1915,-929,wcdmhbquof
-0.3795,cxuwpjakrh,-848,uknobgpsgy,0.334
eqjcypbirn,disjcrzbcl,0.029,0.461,0.0125
tafrzjdiue,-0.068,-0.244,59,zrledgbqlo
-279,CAt,eggcpiojzg,ydjpxeaxzq,Dog
-0.036,dOg,CaT,887,-689
ojgikmvgrw,-0.1775,kfzngvkvyw,doG,doG
-0.2555,786,-523,-68,Cat
DoG,yhvbnldyld,480,78,rhgcpfoost
dOg,830,0.107,939,0.062
93,-976,-0.244,0.105,gotauyucgn
rlntxmzwwp,-187,DoG,0.4745,qupqipiayi
-854,Dog,cAt,0.094,-821
-0.224,hhsxqtjgeh,Dog,0.484,713
CaT,hyjwzhpycf,0.3655,Dog,-930
abnuvuptcv,-0.3875,-946,Dog,-0.1005
-0.347,162,dOg,0.018,mectaofgzm
-665,hbodlblfgq,DOG,596,0.079
kpfhglsjkn,mscemspiym,levjjohobc,236,CAt
0.211,cat,dyqtogwquw,doG,-0.199
0.4415,-119,cAT,774,0.1235
0.1905,-642,DOG,-0.2315,idmrebhphh
-650,Cat,-210,-998,creoazqbnr
-728,mcylbnzhhi,-0.4995,90,dOG
flzgutfdbd,586,cAt,nnngzqbjjr,-628
dOG,993,204,cAT,doG
434,0.1715,0.3505,0.027,0.274
-0.349,cat,0.423,0.408,0
0.143,crigilyvgw,-404,0.1895,clikryfqjs
