PET,rgwksoeeht,qlzfymrgtg,kuwvrijehc,rxpykkdltn,fnnvwqwzai,jacwavakkj
CAT,0.3205,634,kprpwhhrwq,ltkdsvsobw,-852,0.125
dog,-414,esknhuhiai,heunzfjcbg,sfxpqrmzaj,-821,vjpxofftnf
dOG,-0.3035,648,eyyunxeeki,-22,nasjonwawj,-640
Cat,pxjxgsjaac,jafkzrhhka,195,0.1555,hdneqbtige,-0.491
-0.2345,-502,-0.3925,0.136,-0.4175,0.4465,-0.118
dOG,0.401,cAt,-0.2715,423,-403,Dog
cat,pqcsztubun,0.451,359,ipfebtkebv,0.347,vwpwfhvpld
zonruvbetc,-0.4585,edvjmasvfq,faeeeoyxfv,kudpvhvstl,-219,65
caT,zmhhujaful,-0.2245,-515,dOg,-0.19,-0.1045
-0.0645,-0.0745,CaT,wqvzfawrjh,-376,0.399,210
cAT,0.403,-0.2095,DoG,0.258,-0.229,118
tgahiailia,xkkgnbbaif,261,DoG,0.494,vwcaazmrcp,-90
doG,Cat,0.295,-0.1855,-0.468,zftjfyarzu,biifcjcrii
cAT,rnougatmeo,cAT,-0.32,cAt,602,-0.3155
268,0.088,CAt,-440,517,-392,eqjweabxeh
Dog,yojxbywxki,-0.168,0.128,kupyowzzie,jqgqfbbpld,0.4945
582,274,DOG,DOG,dOG,-523,zmcpgsqdzy
CAt,nrnxcbukcr,bwrshpvsrf,-679,0.171,0.416,0.485
dOg,707,loueszihdy,0.297,dOG,dOG,DOG
cat,-0.3695,59,doG,530,aiobwfpmer,0.118
DoG,217,dksyxucvkg,700,bohryzfwiw,-917,ncfpysurpg
dOg,rogaziqonv,fcrkzcwnig,0.215,726,-324,ikjbmsmylb
505,dOg,jjfafzgzbd,CaT,274,455,qmxzrlzbcc
CaT,0.317,-0.185,-0.0955,130,cAt,0.377
dOg,-0.0025,-524,-337,ggspfuwjvv,-0.1855,0.0405
dOG,973,fitqborunb,-0.3305,167,-0.158,wtkfiddrjq
cat,-0.3375,qdyfihxitf,-0.3925,127,-239,0.0365
doG,0.2285,ujjcqombra,qxsqvcwbpo,446,dog,CaT
caT,541,yceateznxy,embjntsspq,-271,0.281,0.0535
cAt,doG,465,0.2415,-330,upsjczzayu,-74
Cat,-0.351,252,-276,gupaurnlov,oxzgkormog,DOG
cAt,-489,-461,-914,-0.35,CAT,sfkbwnvflx
527,lyqcwuodsk,Cat,286,dOG,dog,gdxcglwdox
dog,ldyplqxgdi,-88,ezekiuvmut,0.1225,-995,569
DOg,0.1185,-204,414,604,234,kkvnovskrf
cAt,CAT,0.303,-608,CAT,fjimdvyzkn,aaukofrlyh
DOg,drbzfamcae,0.367,0.1315,tqexnvankj,axghzsalyx,0.033
dtkorjcbve,CaT,DOg,cAT,-338,cAT,0.2075
-0.444,-0.3385,fdvtiyodfw,-0.2825,0.462,-686,0.067
cAt,-0.362,0.18,kzgiwcejlh,898,yjosthamik,rqrfcqtksg
-0.3115,xnkhagpeny,641,vsrnlojzdq,lmslgehtuf,-0.184,cat
-0.3235,-0.437,64,619,910,hyyuympnot,ppbmgzbzdo
cat,caT,etmzmtkzlm,-213,-195,-646,DOg
cvywsddidn,dvcofnjcxj,zyuqyuyxcr,tbztqzeubh,0.3625,Cat,0.0125
DOG,Dog,dOg,-0.1505,659,0.181,Dog
caT,-513,txxnwlzqle,-769,DOg,dog,tujrgrtjmx
DOG,-0.2445,-389,-0.4215,Cat,sfhzvmwmct,CAt
caT,-754,-436,-948,-585,cat,16
zyyqazmxnp,320,0.3255,jhaityobiv,hqmymprrdn,-0.172,63
DOG,CAt,dog,-0.405,174,bnwjlzifrs,276
Cat,DOG,muruowagev,-0.3715,-974,autwxmzkmi,-0.045
DOg,612,uscrjohivj,zyzpvvuhzr,-882,-949,-239
CaT,-225,0.103,0.19,qsiquaodxw,-22,118
DOG,ddfginxqgs,-336,popjhxrycd,-0.491,860,lfjzdggguz
dOG,-422,-0.09,vbjwtqivlv,-0.442,982,699
Dog,143,CaT,299,nmuxcizvsx,913,Cat
DOg,gdijlqtrra,dupfbkoewp,0.013,-485,ocfnmvjbce,569
caT,-316,0.325,-659,mycfbfnunc,0.477,-94
-313,-0.1795,caT,0.376,ugmnhfxwag,izgqoceyrg,czullsjlqu
0.2465,CaT,0.265,zxfsgtruzq,DOG,noitzmxxht,-0.1165
DOg,0.1165,cAT,ykmulofjpx,rieqsouujy,-0.456,jtwdejhpta
CAt,fsppfkgibn,0.1225,-872,-614,CAT,0.0765
DOG,dudmuitaor,-300,827,0.193,ytpaihcpot,ubpyqtkfxs
doG,-261,-977,mzxeafajrk,kllkdfzstc,-0.4155,6
cat,-297,neeqxvxlkb,-308,747,-633,Dog
765,-0.1025,ykqjorxxus,dOg,0.33,-740,-0.032
CAT,0.362,156,-0.49,-322,0.452,Dog
