glcfcsijgw,peT,uqqboyxgnt,gthirxedxn
Cat,lkqjxkndgc,-814,0.2745
449,Cat,-0.005,CaT
DOg,Cat,juqlbvfzse,iqcwvthgfg
DOG,Dog,doG,-0.163
-688,-387,893,cAT
clzfwbzwld,CAT,-716,0.4195
krakskzgvf,598,186,96
dmwufbpbry,CAT,qjnlvaotgu,DOG
dog,caT,-0.47,0.297
627,DOg,0.0525,0.0545
-0.4305,senqkthqrs,-617,caT
ucvvnhkgat,tthxbqmasc,0.1455,364
7,cjrefftdys,528,cAT
doG,cAT,-0.215,CAT
dOg,cAt,rmxcmsxcmd,yaxdayrgls
-0.028,-0.0385,cat,-368
dog,cAT,vxgptlqwdz,uipynucutb
DoG,0.009,-203,cprylilbpa
dOg,DOG,cat,cAT
Cat,577,-57,0.1965
dOG,bhrrclezko,0.4735,-0.4175
dOg,Cat,-0.4135,tshkyenztz
635,dOG,-0.0105,sgfqsurzzh
336,zpkjpllkla,-351,0.1685
-52,Dog,dog,-0.1195
vbspjjfazk,58,fswzeerrof,jgzbizhyoe
0.059,cAt,-0.2525,qoekyrdreb
878,cAT,0.177,0.3125
-758,DOG,-0.0655,caT
cagpjrtpyc,-0.098,snmfcqkbhj,57
-869,cAT,xbtsutjtcw,rgrpkiiiaf
jeuwzjyrqp,209,10,-0.016
-0.1575,dOG,khtojaaiiy,-0.268
gnmtoajaki,CAT,mggurqedgb,cAT
wmsbqflpyr,cAt,-818,-0.426
-0.164,doG,Cat,-213
uoeolkdjez,DOg,umqjoszwxf,qstgpnqatw
0.294,DoG,-0.3845,-0.0425
isaysjmluj,Dog,-115,0.4815
dog,CAT,euplaxksjv,jmjawxqsdb
-0.396,0.356,-0.1105,CAT
847,-0.1385,961,tcphgknywy
-168,cAT,fpqmdwiqob,680
msbydaorst,dOG,-0.2715,nrnfqjwoaz
-0.16,dOg,0.2315,zwciodlopn
0.1765,CAt,-0.373,-0.1055
0.483,219,936,naidbpcywl
vdxlqgcspd,DoG,-0.055,Dog
-785,doG,612,0.1395
-0.2165,DoG,nhbshqiwiq,-309
577,Dog,-0.069,0.033
-561,DOG,-24,ofjbhsbpjh
0.183,-0.202,-8,DOg
-953,DOG,nctuzkmolb,prkivxayjl
dOg,0.442,caT,qdaqwlxwvc
dOG,doG,351,-0.411
wybcwfuxfr,CAt,-0.3465,0.308
ogdbjfonfg,gdwuqiuhjv,ojfojrnfzi,Cat
0.379,108,bhpzqlhfhh,cAT
dOG,Cat,0.449,59
-993,Dog,owfszevdvh,0.462
wfxqftbplp,Cat,voffxpnndx,caT
-847,CAT,cbkcmhnmuh,ovtojwhqdm
DOG,gzogyknysz,cat,313
devfsozlbl,cat,freahlnhpx,lmsjomkslw
rgozfzapin,dOG,eeofltgeob,0.271
182,-325,709,bdrjaxxbpd
taeffbncge,CAt,auumwqacdw,-141
-817,caT,-360,wxkttsblab
530,DOg,nmycyxwwyy,-0.1285
lhpmctwqfs,0.1565,DoG,-0.3815
-0.4205,-114,-520,uukbwovjsz
-0.0395,DoG,-247,bkujwrmors
-0.2075,caT,-0.055,-452
DOg,dOg,0.317,CAT
uchatieekh,DoG,bovebzhogn,-0.0505
-0.109,0.1105,apcdzhaexd,DOG
hemnsvytup,doG,0.016,dOG
-0.4675,590,-43,-0.075
-0.0735,-0.343,grddbidgoj,pfidecuyiw
-247,DOG,doG,-949
cAT,CaT,538,bvntcqgkqq
0.402,dog,189,debdytkpxv
453,CAT,CaT,139
cat,-0.079,ixopwubncs,cAt
769,DOG,Dog,dOG
