ozujecwcnl,gawgnitxpt,qdmyyqonvw,tapofuslfa,fyvztdsgjz,vbmrjmyqll,nqcuhibkai
fvxhbcszja,dOg,doG,Cat,ikfehzbbun,-567,jvswfplblm
toknqttwnk,-0.3545,588,0.146,-0.196,hcsgucavls,-992
mnkwdyivrx,wmcnorwsew,143,cAT,0.3905,333,0.3095
aihmjqpnsr,hjqchrxtoz,0.0215,-196,-0.089,0.2225,tvokpsmbwl
gybxpznojy,0.105,0.271,ykmcigyutq,0.0285,jrxhqwdmlg,-326
920,dOG,0.2645,-648,632,ozlhnahcdz,87
CAt,-0.1285,572,-0.071,CAt,dOg,rdhsuxmlze
qzmfvbijml,cat,-739,CAt,efoilwjofq,-0.0685,ntflypvynp
ktvhnqecpy,0.1805,cat,640,dapmuwrmed,671,Dog
-0.485,-0.1915,-0.0345,-29,mlnejhmlgm,0.1575,-0.278
-245,cAt,0.418,-610,cAt,0.024,yggdsydnzw
-609,0.4035,Dog,-359,647,cAT,jnbbinwndu
0.21,0.483,-404,-106,hiomqjdujq,0.439,fvqlzporwq
pyrsqukjus,606,0.063,-0.3175,-435,-75,304
-494,doG,cAT,cAt,-802,777,-0.3585
caT,-406,dOG,0.1355,DOg,ygrhnliavt,jnivurjcbv
oqcszitbdy,-776,omdmlbqrld,DOg,-817,642,dog
wsygbayqww,970,-624,yzngolxxrf,-847,-0.367,64
-289,ilvleabftd,eordmonjfr,jkmlnmwbcg,400,0.2125,Dog
-0.1165,ssoicdhuvu,0.0775,-64,-765,Cat,-0.1655
-24,wensnxthdt,144,-443,vwizedadar,dmivkeaolq,0.4805
ktfkkvhqnn,0.3815,-900,DoG,0.4335,wqtcuapnxp,xjzsukhikc
322,0.4125,zuixjqdwgg,287,dog,0.2685,-3
DoG,0.3435,hunmwvewvh,tqaenysysu,617,-324,Dog
-0.0695,647,302,bbflzvsfed,fucmvfqhya,fhqmjrosfw,-0.0975
DoG,0.182,nfzcbljkde,cAt,-789,cat,delsiqgtae
0.349,-0.0705,wvaqzrtstc,CAT,-0.0385,-0.3255,caT
Dog,0.223,-0.059,405,CaT,411,smfwqhmaad
-235,xpyphypceo,-257,176,Dog,thwwunqwpm,lfhvxzkwth
doG,-0.477,gcwhzltgfe,prstxcryee,0.214,-0.4125,caT
zjppovfnmq,zwknqlacrl,Cat,zavdgoobqw,bdloasurjl,-0.2115,cat
CAT,141,numhvmacus,607,skpactovtz,-0.461,-165
-0.459,0.1515,cAT,147,cat,hnohtogllv,585
-456,-845,0.3825,328,0.118,0.224,jynpuylqyh
-753,Dog,-0.3075,qiysrqcomg,azwulkdrjl,szmnfecxsl,vedwozudfi
0.366,916,jedmebxctg,dqimkmfjha,0.407,-0.4875,zqriregerl
vmvcrospqo,cAT,896,nxmfenhblk,0.1685,cat,DOg
DOG,xhdbhquqhg,-0.4935,-120,-357,18,juoxjpnzmx
qeiefnmpup,-670,-163,Dog,-0.44,csegmitlub,-0.132
0.174,-0.392,0.1765,moqhnjyjug,751,mvfsqjwyms,0.1915
-214,faknjdnmxt,799,axupuaullf,-522,-659,882
-175,-0.141,0.3065,-705,Dog,-100,DoG
-804,0.1705,jdjfctbeqt,jalqvmumes,-0.3645,nlqcipsgao,xwlgqfqeip
hyyxomqjzn,CaT,-0.3075,DoG,Cat,89,CAT
-0.092,778,0.4025,caT,0.323,-811,doG
ogxtsclkyu,mvjeplvlzo,983,DOG,plabgftjao,648,dOg
Cat,0.41,0.0915,CaT,-759,doG,920
dmjecqrfhu,433,hlvwuyepwn,787,-0.341,-0.322,0.4625
-120,0.4725,257,-664,0.289,0.3205,CAT
dcqfudzvxo,rezikohhdk,959,-0.0905,-0.2095,-210,dOg
zgrhxwozmq,-412,970,huxcththwl,CaT,vdkikunacw,942
pkmokvoaln,-572,Cat,vfwxdpzdvr,cAT,-0.24,-0.4025
qkppkhttau,298,517,khxkivpqtz,cAt,-593,-679
cat,0.397,wjcrcjenqq,DOg,wgqsyzawml,137,0.15
Cat,avfvyjynux,lkytenxgjn,0.421,-921,dog,0.2925
cat,358,jezljdhibd,505,-0.1485,-160,jhxjavkyfg
DoG,-226,dog,-0.4975,Cat,0.0965,472
-0.4885,mcatcaeepu,DOG,dOG,0.387,0.4225,yaobgkvvsa
hxvjpdkdww,134,doG,-0.276,539,caT,wzzkitmkji
cctclmwlwd,wrpgbbcxnz,Dog,-412,kgzuwfchoe,926,-184
dkpewjtgme,697,ewamviipyb,0.101,fofhzetgwa,962,gykdcqrmvj
-0.443,-0.1295,-632,-0.1075,-0.202,ejbuznmxjc,84
-568,-0.2435,spubkbhych,-332,-0.417,cewwxpvdxn,xomcmholay
-925,0.2155,-485,ygdjcvcngf,myvvntjvcn,-0.2575,vztkazfrtr
emkiicmsck,-885,-324,329,dOg,-0.253,0.219
lgcqjhisei,idblsoyxdm,ggtpkdefjn,xtgogynmod,750,-0.4655,cnnwgdgqss
-926,576,-679,966,wdiqogrian,-358,0.0515
vwnfcwyzvk,hsdmwoingk,zamirndjdg,0.2505,-0.0345,dOg,0.1905
-0.364,caT,lmnxrlazol,nxkkmlhnsf,246,0.1775,caT
0.4425,dibmjlffqx,wsneitybhv,CaT,324,-85,iczneznubw
zkmjlarnml,0.19,420,0.19,0.0755,-734,qhaobnftgo
DOG,-0.1645,0.2625,-229,0.193,jewoiacngj,ehsfnhxxgk
sexzpvrghl,hakytehpcu,-286,272,-0.1255,0.1825,rkfjxjdntg
wxordntecr,-788,xbjlilesng,0.455,0.3045,cpjznxcbhl,0.171
-0.132,-483,doG,0.253,399,-573,isgnrulbuy
trnwaitchg,cpbnwefsfu,862,dOG,afmumhvvxq,nngaiaobgk,439
0.485,Cat,woohdzweyb,791,-0.462,-757,famkrsjhkx
