jvrandzoeo,soanipstvw,peT,gteevvoynj
dOg,-90,-0.468,CAT
-0.2995,lroqgenosc,dOg,cAT
bghsultogf,CAt,oxfqsvkvpd,iybpflinyp
-833,-0.265,DOg,-608
-0.246,dog,DOG,0.4155
0.285,DoG,civjeobmat,-191
0.078,kkalnjycta,dOG,-404
-0.4775,DoG,-179,jaajhbhkei
-998,33,cAt,-768
ztseyuklud,CAt,-0.075,DOg
617,oeqshfgouj,doG,0.3645
-0.419,0.048,cAt,-337
-65,-0.1185,doG,cAT
CAt,-590,-344,cat
kszqryvfli,0.2,cat,ldwnuzgmet
930,-393,etxtqvbcti,0.373
hdnhfyrwfg,779,-512,0.3485
863,226,DOg,-0.059
Dog,cAT,cat,48
0.033,-87,DoG,-108
iueqleiscf,-232,dog,-238
cat,DOg,caT,dOg
uysszoiboq,brmhkwiavn,69,-0.053
-548,0.023,doG,-342
-930,-0.336,CaT,zffsxuhmtc
-0.2395,35,cAT,-0.077
obkiplapvu,eesodxjame,hzvglbwdmt,rvtjavvwri
72,0.299,Cat,-0.2265
CAt,dnofcomryl,DOg,fwugqnuxth
0.284,-428,dog,-0.2765
rfqzfrssuu,pxobqheyhz,dog,dOg
DoG,-0.1925,552,dog
vqovkolsek,0.3355,cAt,ajpctnghsi
78,dOG,-409,CAt
-359,nwsnkxzkov,DOg,-836
-901,680,DOG,xljxlkzcot
-557,brekozqoup,CAT,dOg
