eqvoiueuif,sacajvjsjs,diqpoxurku,bfjxsmlnws
DOg,-693,-169,xnqmpheluk
hyswpijyhw,noalfvhirr,0.311,-0.277
0.353,-0.36,-0.3225,0.4775
0.251,vhpvsilxxi,436,-0.4855
wjuthhsdns,0.309,phljlgqyrx,sttrfxoysm
Dog,-0.384,oyoafqgjib,624
370,-256,730,0.1725
-252,-346,656,0.4905
CAT,cAt,xnpyhzssqv,-0.384
166,DOg,-0.2235,ldwrogster
wizdagbtle,0.1755,-0.1615,ihxihgwtsl
cat,484,tibgsclzgv,cAT
dOg,-4,keakozwnny,-0.0035
Dog,-0.0815,iltntbydlw,0.299
753,hydcpvxkxv,-0.449,dOg
0.0495,Cat,DOg,-641
-487,-0.304,0.21,caT
jjawbxdpya,ixqapqxtqz,0.0895,-803
0.227,upyjfcpnxq,-913,ptutzessfo
-0.0325,wegzxkcljp,cAT,-479
-683,400,48,mwwgrjmrfg
ppuyzybybd,caT,lkzndshgpk,wjnrfzvrbh
889,0.194,0.24,-0.311
cgamlxgkiv,xwrodzcotr,740,dOg
-0.475,pvojmgsfoq,CAt,232
ktcvhomkzz,796,-0.153,986
CAt,trcksopqsm,-0.0435,-808
cAT,-0.242,dog,godgbegqjr
-898,-786,mbkrvoxbmg,717
56,-40,mwtmbrfncd,DoG
msgxeotszu,0.3985,-0.319,-187
-810,fcucjxlfks,-818,455
btljuphvss,dtmuzrbcex,0.1815,utppglqulo
runulvrazp,-0.036,-0.316,-0.368
0.3,Cat,ellgfhrjhc,291
0.226,0.0965,55,-860
qhajomcqej,iitlvqffne,dioyabzfbo,783
-365,CAt,dtfsgxwbbd,0.207
0.085,cat,0.313,DoG
umxhhrxpzf,982,hoouiwztlr,CAt
-343,-0.1125,doG,-0.474
lzctstccig,0.079,lxltxmiubx,ceyrqxdxgd
0.305,hztdalocdg,-405,0.473
DoG,0.1075,oqtemcujqw,-346
Dog,-0.165,-0.3735,zintscbwjo
0.194,-0.393,dkbbptbovu,mjvlerveym
-38,705,0.3535,dfwqaauaje
cAt,cat,-0.3635,-702
504,-299,0.333,uzpmfjarna
tjhxasnvuo,-856,dOg,ikhenmndjt
ikcowcfrue,-833,cmgdevbkjt,-805
270,-0.0755,-361,80
mrgrresmtj,0.4875,DoG,nvyezkiige
arhhdpopdb,-290,65,-778
-0.3155,DOg,bpawrgyaxt,0.4915
337,-244,Cat,ojdqluepdu
cAt,nqvfhznszm,784,doG
dOg,kwbqgjwsib,fzgpehyxdr,837
-46,vedukkseah,kpympvpbvu,-0.2645
dOg,DOG,DOg,118
tbbmpuxfyh,-0.4255,-0.4795,0.106
490,gudqjuihml,81,0.178
wbzpvwbprk,-288,etobxqbsgu,peqnhxqtop
-0.322,DOG,0.026,cAT
124,0.208,0.4645,psjfdtohbo
