wdboonjrio,Pet,upmvknyhai,wmhjtvqsvo,nzaegvtdgs
-0.3165,dOG,0.22,-188,-0.048
-0.033,Cat,cat,15,-585
-981,dOG,522,0.0055,-0.101
aoedyhnfpa,-725,121,-757,DOg
kksudnzpoi,CaT,-0.3,brhauovdjy,warmzzkutb
kvlyyqrita,cAt,0.08,DOG,0.2695
zopekizrtl,caT,-560,uccnpolbtd,-0.303
-0.366,caT,-533,-64,-0.386
0.4285,CAT,dog,ehhdwnpgqk,-469
-0.0005,Dog,igxssteazd,-586,wutrdpsyab
caT,dog,cat,CAt,lfbatlelai
ursdasjbza,dOg,CaT,0.4335,ziyxbgmlug
deunvfkypg,cAt,doG,dOg,0.09
wpzksbypde,DOG,0.4485,uuewakcvmn,956
CAt,176,DOg,0.219,-0.437
-366,cAt,0.1895,-856,-0.424
0.3335,cAT,-35,0.204,-140
-317,doG,ijernygsbg,vjvwsvuypx,0.364
0.066,dog,319,cat,551
Cat,doG,-634,jkxkeulhzd,866
-713,CaT,gdgafisqci,doG,-442
qhekxszudy,DoG,-142,dOg,0.195
-887,Cat,0.4765,-153,316
0.1045,-569,182,jfwrgdvlka,DOg
500,DOg,649,pzznpeekgt,dOg
gqtxmpjvkn,CaT,wcrzqrxsyg,0.4715,xwtivnzjvv
DOG,Cat,-101,-0.231,367
doG,xmvoiubmyo,0.172,zkzjxrttpq,jpktlafxvv
dog,doG,-0.456,0.0615,rjxrvybwis
tsztlxkcnc,CAt,806,-0.468,pgpwjwutvz
317,CaT,-0.484,855,pkfzxhewyt
caT,Cat,995,0.153,CAT
kylgckzqxq,dOG,0.0175,DOG,DOg
-522,zqwvmbmnjz,807,CAT,DOg
rpxvmecbwd,DOG,-0.2935,CAT,-530
493,dOg,0.4345,680,-164
Dog,CAt,-204,-699,0.3885
-583,doG,0.457,-0.204,xtvskbyfbs
qixmubsvum,dog,-0.463,410,-784
-0.2125,0.307,-647,0.23,-239
245,CAT,-372,-706,-0.156
-625,cat,xlvnzglkeg,DOg,-0.0465
qvqsnhmjie,-0.031,-0.1405,bdwwdaooxp,0.181
