rtmefmostu,fhgoqclgjy,peT
-150,0.1005,cat
-932,-0.302,dog
ljogmvhmsc,CAT,cat
252,0.0785,dOG
-0.256,557,ignqnfhzqc
frgwzzhyjq,DoG,Cat
-25,-132,DoG
62,basnnzoqyn,Cat
-321,beisrabdyd,dog
-0.4365,-0.1105,0.1735
lmwduwitfs,550,-0.028
-0.0235,dog,dOG
-938,523,-0.2095
dysbugafbj,908,DoG
-574,nntyhbdjtg,0.075
875,-794,Cat
dOG,burptkufii,ozbaftduca
0.428,-0.1055,caT
-0.465,540,DOg
0.0995,CaT,dog
ffnfoofrij,-0.4185,CAT
-0.4615,0.485,dOg
qrywwwageg,uelqrcnrxv,dOG
0.098,waplktjsqz,DoG
rwkqtimsov,-0.2935,fcidxnzjzh
dkuxdesdfn,-0.461,Dog
rlywhpnlwe,vtmhrjhalp,dOG
afunvcnyqk,-20,-168
