gcgjjzuolb,jyvhmzjlph,pwbdviwgwi,tsjvlcnbii,ltakaxydxu,nqgrxorjfe
0.015,rplomzuhrw,0.4165,DoG,-0.2855,0.1545
cAt,jsokdamavk,DOg,0.2085,DOG,DOG
0.4385,asjndztzxr,-0.1325,0.319,0.0615,-948
feysylrage,-0.1925,mgoaqfofaw,rpnvgzmffi,dOG,0.106
CAT,ngcayhktsa,0.4885,0.4815,CAt,iuxyxpsuce
-313,0.3165,96,eqxsojzukr,307,-0.249
0.1425,-438,-495,oquzgbnvtp,ecjlseakrs,161
-594,504,-0.0345,-0.1615,-0.3645,zgbdxlhzrb
452,ulpreiokfb,xlouvniqwb,0.202,ilgvchgcll,-224
257,-123,DoG,0.4975,cAt,vcuhspppkn
DOg,dOg,0.4525,doG,-0.0575,rytqjatejy
-691,-585,-764,0.446,DOg,-221
-646,-0.46,oojmkdwbdt,818,gooxzvfhas,0.3315
caT,-585,CAT,-134,-487,axutoiurpt
dqdqymwjpo,cat,caT,Dog,-349,-189
-0.3235,fipesctuoc,-0.444,livgolxyce,-510,-0.0555
ivxrqqxdvy,ojpyfwlpny,nxtclprnyh,-0.322,codmgddcrw,26
127,-0.2725,112,dOg,0.066,-0.4395
-772,497,-949,-246,ganjdwoasd,jtuhbxpxrf
vhlqnkwooj,703,dOG,CaT,wpnmpjxsti,cstltklyir
-896,0.4385,CAt,laiccondfw,739,0.2515
xfggppvhak,-0.0495,-0.0605,-189,rqomawhzni,DOG
0.261,-0.2505,373,565,0.398,avunebzlxs
doG,doG,jmkodxqryh,694,-608,-947
811,eygkotfyqs,0.266,-207,0.26,-0.0775
xcrpugudgj,0.0735,Dog,-0.197,hgzaebaxac,-0.0295
619,-529,542,caT,699,xrmoaqglkx
-0.4685,mizxmqjiyi,0.293,-0.097,278,fszhvmcuek
0.286,mnlrnhsavk,-334,-216,dOG,133
553,xfjmzwhpmw,-0.0435,DOG,397,166
cAt,uuxbcqbxhw,dzsewrklym,-505,0.316,-790
-781,-255,DOg,CaT,xsaasgjojp,0.0845
-0.317,oddvmrbwhb,fstpaujgzb,caT,caT,0.042
0.1685,-0.03,uegvsutyqp,whkbrcsmje,xrunlfcqfw,-695
-0.2475,-0.159,903,805,0.463,283
nczfmegldy,cAT,dog,qirwbzxvif,doG,-0.088
-157,tpoeogmzao,0.0415,0.073,-67,0.1795
-0.3135,pmxdjibfzv,cAt,-0.3965,-0.046,uacogvzxjt
wcnflwyfmn,ykkluergkv,-76,-71,-935,112
bthfqrbdrk,cAT,dog,iprmuphudd,dyiwrrlhyx,torauoyzsd
13,pdolrkoltn,nqkynyvald,-500,923,yuatiygxhq
250,253,-577,-316,arnzybjuei,-30
-979,-0.491,mollvwxulv,skamjtnbzb,dOG,vxzhfzgvay
0.262,410,-0.4435,Dog,0.285,663
