enbakxdvvo,pyskpfkjkf,zjcjtpoymk,Pet
urzgzkhquq,-0.086,0.165,cAt
-0.3375,foiuibkorw,lkihabphwm,stiroppicc
-293,-31,-850,cAt
chjwjrwyad,758,-241,cAt
0.102,dOG,-356,DOG
CAT,wgctlogdnl,-764,-0.079
Cat,jzkrvkonbe,0.366,cat
bvayrocbmu,Dog,-279,flmhpvbwpg
cAT,-835,-855,dog
657,0.1895,nlftgzjuzc,dog
gsdfajmmvm,DoG,DoG,cat
cat,wjcngytllw,482,119
-300,-207,237,cat
CaT,xrdfpxpvac,CaT,CAt
hpogozlpmn,597,dOG,CaT
0.227,-0.1585,-0.382,-0.0615
39,guxubzydru,-0.111,CAT
-0.049,0.1175,-0.188,cAT
hqsrgwfpzy,-1,Cat,caT
436,-570,-0.493,cAT
syodvpnqac,309,mnmkwkmegy,caT
ybswxgrftl,CAT,lpipitwomi,DOG
egeozdxvqr,DOG,-0.379,cAt
mrtsnovhtm,uicdupklyr,zxepfoyree,Dog
-966,oygmvmbucp,0.1705,Dog
dog,cAt,-459,CAt
CAT,pwglwzhfjo,0.3435,-0.1315
vfnlhwbcdu,-0.4825,skxezudtdq,-0.241
0.0545,tjdujttvxu,0.2535,0.4915
0.1505,-0.308,0.195,caT
0.36,0.4075,6,CaT
-717,cAt,CAT,oivrvobzlf
-655,755,DOg,Cat
DOG,benxexlixw,CAt,-0.241
sqqcmoyrya,kcaulfjdda,caT,Dog
doG,151,-737,Dog
clnumhwyjy,519,0.2145,cAt
cAt,cAt,0.345,dOG
saipjkstfz,0.044,DOg,DOG
-0.1945,wjfklneeqx,-915,0.4485
0.172,0.204,jwulxfzfyh,Dog
yqtdolcnlk,0.0255,mzlztnygle,0.462
dOg,0.1885,269,CAT
-0.4615,40,yfwavofqjx,dog
0.4585,vyxzjdajhv,zqqzcpmieo,DOg
-138,nkknzfatpj,wfqaesiutw,-977
0.436,hwkvqvmliv,wizgnoauio,Dog
-0.1495,0.4195,0.389,0.22
-424,-420,-0.3485,doG
fsxkggaisx,895,0.179,cat
-573,0.182,0.4865,dOg
-244,doG,0.0065,caT
xwphouejrj,-610,bwbrgztsfj,20
0.493,cat,DOg,0.3575
0.3255,kzyiumqnur,693,cAT
CAt,cAT,0.469,Cat
328,41,cat,cAt
-747,doG,-0.2975,caT
0.2835,0.107,123,dOG
oxpkqcfndx,CaT,628,Dog
roeipwuydf,0.4745,anhbbjfusk,cAt
0.397,gtihdsbugk,0.221,0.0485
0.224,opzhcmzfbv,nzztymcgdu,-0.2785
yobddryada,dvalimkted,-492,CaT
doG,DOG,555,CAT
DOG,vwhlsjqdta,177,CaT
dxzjjjghfk,pybowsdgzb,748,cAt
jazxidbhwb,dOG,60,dOg
-0.421,fpqnmbhodn,868,dOg
dOg,771,363,Cat
745,-0.0145,0.452,-564
-22,rbrggnuwca,-345,Cat
-145,puwhrifiuo,doG,704
mayijuvxqn,Dog,caT,dOg
215,fbziafxkwo,mgwkmhvhbp,Dog
-860,xsuekodwum,jlahocucyr,DOG
-165,vdccwgoxmi,flbnieztrt,CaT
-367,wpsxswtnqu,rrhowygnfw,dog
DoG,291,CAT,emzgpnmhns
