rbzkhecfvf,nqvjovwdyg,voqnrjfrvj,tgxrjaxjhq,trqhxjtygu
0.264,572,0.027,mexxakalgm,ipoajktuep
828,0.2925,vhucmhdrqz,slbffvwdub,-0.2695
365,-0.435,-639,-228,25
jlfxdhmbmu,nbgnqgpxkp,dOg,0.4485,-259
-0.319,dOG,czhqphbhdw,919,0.3855
-390,caT,vrqusetobt,CAt,-0.4215
caT,-586,190,dog,-719
-39,rclxpuugrm,576,0.1885,808
CaT,tvpbmjthql,dOg,Dog,-205
-50,diebkmfsdl,-509,cAT,-832
mtmmehgnnq,ospjjxiamg,qumfisgjnt,qfcnrxuhhx,xozdabvmvk
twpnvzldjt,-0.071,-532,-0.037,doG
-0.2955,-843,gxfxoxqpsk,dofajolhto,dog
dOg,48,0.255,-802,0.228
-334,cat,734,-655,-0.268
0.43,-0.172,Cat,-0.33,cat
gwtwaubdyu,0.1415,doG,CAt,-331
isljkdgklr,-743,-501,-900,lnvwoofxct
dgdsnrdcxx,-0.4665,dsdtniplry,29,542
xcjmruaqie,301,DOG,0.1915,840
eocjsgjoff,0.42,-708,0.112,347
-0.3825,-914,tlxgznpnop,CaT,Cat
pwqtxbnvry,187,-489,-0.3865,gfmukjhumr
Cat,doG,0.1565,symdbfolkn,jvdjioanrn
swrjrxctzt,-0.479,0.139,0.382,-0.301
819,tftdgdhdho,dog,898,cAT
DoG,-546,wbdsprednv,-966,0.376
725,0.306,-828,-165,-0.296
538,-794,bduxcpgiso,-885,52
dOG,-395,ejorgsvdkz,0.0955,dOg
-991,0.292,-699,0.363,-0.0555
doG,DoG,0.475,DOG,zjpdzpfnwi
Cat,-271,0.3465,264,0.1735
-0.2735,0.224,foyzuwfkby,dOG,jhgsdvlvrh
-0.2015,cyuocpthcu,-608,hrfuvkjdzd,0.266
-631,CaT,cAt,-0.325,0.1635
0.4915,963,265,CAt,jrjwcyvpew
-0.0485,0.4325,-915,-0.0985,-0.3645
ecjsewqzyc,qjweqvigjt,cesxqrmtkx,-0.382,jcoiipmuhc
-0.3095,217,-913,236,0.4375
-0.149,dog,-636,dOG,0.004
0.167,190,hatruupiiu,tsdgrvlome,DOG
-527,0.327,qckbogipld,-0.1215,-0.2335
tsmboaqbmi,kgfdsytcwu,277,ecrwxitxms,-42
dgwxvkpkfg,-0.487,-0.148,-0.1885,-629
-75,0.062,cAT,-0.348,wjxviocvzt
0.2495,mggcmbkxuf,936,0.079,0.39
851,pdenftyfza,-0.1625,877,qvlheuynbt
796,dOG,-0.3275,419,oapigvbyiq
579,cAt,811,jrebhiylvy,0.4815
sadvzukyac,791,-0.3105,uqrgmwmyry,-0.5
0.498,-0.1035,735,-240,-472
0.3305,-0.096,-476,DOG,-430
-0.164,-647,ezkikjfklp,qvcayfceaf,-918
dog,peqbphjsdl,kjcdsvdlnd,ksbewgefdb,0.224
DoG,hjryymwwrz,-0.199,-0.142,0.055
lgqrmzhunu,0.0655,cat,wjzumijdwe,DOG
0.244,nqwnbtvqmf,DOg,eafdvcgopr,-842
dOG,CaT,-353,-697,nczkogicxs
-693,731,0.4225,0.269,caT
gkyigblpxx,ulfylcjpjh,xoyhyxivym,vupjksuabm,CAt
cljwqskrkm,dOG,gartusdmvm,dOG,355
0.3485,-0.208,-521,Cat,-0.363
0.205,qjpxlqvruh,-0.1965,-0.0075,llgpkeguip
anavzyfqda,0.47,vqncyfwyie,cAT,dOG
Cat,0.039,cimzxzqobl,mfzqmyyjkt,0.1945
DOg,qoulxdmzmp,axcfakjwyv,0.2905,-0.167
502,hnwrsiknxz,0.25,-0.306,pqpsvgxgdx
-549,-0.056,-0.364,-0.3325,CAT
-0.2595,-0.3455,Dog,digdqotiwx,whuemmeief
335,-187,ksiorqjeln,-0.035,Cat
-238,-887,jztybbgwrh,zqccgxozun,422
xffamymygb,475,cAt,ddixtdxzoh,vcysiboqvk
-0.434,0.3065,dOG,-0.4605,564
nhquckofrd,DoG,kgjdifqdtn,CAT,-0.3125
-0.055,esqljnpzic,0.2855,-0.2725,953
0.0765,0.4145,-411,pwudubgwoh,DOG
-557,ccwldmyfzi,-0.423,398,0.061
caT,-0.2575,dcyedgqpqa,cnfckfusvm,cAT
dOg,yknnqhnpse,-231,0.409,cAT
fumdfiuaft,0.147,Dog,-0.251,gcssthravf
hoglpizmtp,CaT,dOg,-0.039,-0.04
-0.037,-0.4615,214,ekusmjwhiv,DOg
452,wkwwpnjhvc,-174,872,yfxuhncdnl
cAT,DOg,619,zoqwxyhcha,-0.2105
363,cqqdewxixb,-0.0825,143,dog
CAt,zfhwgiulkz,-889,grnpuxchcc,681
dOG,904,ixdhgmmtfd,0.168,-0.193
995,kwtmjfouuy,179,Cat,221
-433,DOG,-0.135,-973,cAt
0.029,880,-629,-376,pszejdvdjl
knxwajqwbp,cat,-456,-0.2565,687
