izgkaaavet,PEt,xmlonypfdk
tfdrfgmsir,cat,-0.1075
122,DOG,-0.3185
-0.3235,dog,yrmsjamxrz
-0.1425,DoG,-0.149
urcrsjkmjp,-986,DOg
baezkctmmz,dOG,-499
-939,0.0045,cat
DoG,cAT,DOG
-0.083,0.096,662
CAT,cat,vfzvetynrr
-869,DOg,0.2415
395,Cat,662
-0.361,ilinvvldcg,uqvpmdistj
322,dog,0.19
jjywvsyrcy,Cat,322
-0.1365,CAT,-139
-0.116,DOg,-799
-0.152,dOg,0.0545
-200,CaT,-0.277
0.1155,caT,916
0.0435,cAt,964
lltmsrzpyk,cAt,lfehuullxc
sxvijftvlr,doG,DoG
-0.283,cAt,-944
zccxsxlqrv,cat,doG
82,CAT,-0.173
784,cAt,-0.303
0.236,cAt,nwmlzvfqsg
417,CAt,0.075
0.32,rythnmjwer,512
-0.3095,Dog,dog
-0.439,gpauthtqai,-0.4685
0.299,CAt,DoG
0.4465,dog,0.001
-833,ujhfvnzcwe,-170
-344,604,366
CaT,Cat,cAt
-651,Dog,-156
0.4125,CaT,364
-741,DOg,pkudqupdby
-863,CaT,0.017
0.2355,caT,mhhyodkeut
-697,cAT,CaT
DOG,CAT,0.486
DOG,CAt,-4
wogzyqfgek,doG,-0.225
vqqjiktnge,vplvohrbvs,DOG
DOg,Cat,-457
ehsauckkqx,CaT,cat
witmodhopz,DOG,-635
-622,740,0.4105
ivcuswassz,cAt,0.1325
0.144,caT,-0.078
Cat,Dog,4
khicfpbnjy,DOg,CAt
qsnmiqlhnc,DOg,0.3225
xzouefnnna,CAT,onibuseerj
-149,dog,DoG
uyiqvanvah,doG,14
cat,cAt,-907
550,cAt,-303
sfxgdrzmhn,Cat,-557
weedmvgras,cAt,-0.0315
-991,DOg,xpwlubryxa
CAT,CAT,-0.013
dOG,dog,-0.016
flaxmgirdv,CAt,-652
ikytlgnbgl,-0.441,0.2675
-497,doG,-553
0.2175,DoG,-0.167
ggvwzprbai,DoG,505
Cat,cAt,qguwpbjgxn
hozybugcii,CAt,-482
-0.156,Dog,217
styegrsmhu,caT,468
cAT,cAT,pfwwppfohl
hltlghceac,Dog,ajkejmercw
-495,cqelwdjdum,-722
0.1945,cAT,orjluyhvst
824,-622,0.471
-738,zsqhsbjomh,872
-0.2865,DoG,wjrfztgndk
ocqjoffnud,Dog,0.3575
0.356,Cat,-730
