qeapsrqqge,apsapkjprr,ddilelromv,nsdqaibkyr,yrxxyhpaml,nziyrkluyw
wznrejoepc,qsyzzzhbvx,amoyekqxop,340,dOG,-0.0635
0.1195,-464,ddrdalhfnz,-0.335,iodttlbjgc,-0.3125
cAt,597,dOg,-0.3535,643,0.1355
vemqyovber,fhffpnencl,-0.184,dOG,bedyqsxmmh,0.0435
CAt,-12,0.088,-0.1695,-131,45
yxbdtxhudg,dog,-0.006,-0.0875,0.263,548
cAT,-0.1145,0.3015,hywdrbokdl,votjyodajb,axezqbvoyl
Dog,owxvdkexoa,caT,0.3785,dOG,wrrfabuaax
DoG,onsuxovacr,cgbuwnctdz,877,-66,cAT
wltmkzusjv,DoG,yiqwyauymi,-77,cAt,ioespwpqsj
yenzxzhols,cAT,-0.454,twlecrjiyg,dog,cAT
-0.1995,fzdsmnvzny,0.414,0.2065,sgmecvkqon,-0.321
597,iajdicztbm,-263,cAT,212,jdemlqldad
924,913,tqhdiezhjz,968,263,cAT
-0.4935,-0.3675,rgjdfemyvr,-0.3325,699,yhvztbicgx
lqtchztrbj,-25,0.402,-386,mmvviidvdq,-0.458
cAT,689,bclxauoort,175,zseljzamey,283
-0.4105,199,15,0.3745,owmcwsabnl,400
-0.1845,cfnyrjpzps,266,0.2655,kvwsptszht,eqwqfeevgg
fqabyoudup,0.4615,dOG,CaT,themoubqcy,-0.1115
Cat,-0.1835,jbjlevsuro,Cat,-0.197,0.3495
qjuoxrgjha,0.3125,927,-0.0465,0.193,0.01
537,628,isljdxywaf,uohfeytclq,dog,-379
0.0765,-160,667,vfhxjehhcs,CAt,-0.0435
umhotepsxg,wwlyagyjsp,qfzzzloreb,Cat,-788,uotqpjphlv
-247,cehhwisifg,-691,0.1795,cnobuckabt,-0.2335
-231,-246,0.0295,youadkltmu,CAt,0.0765
521,dOG,-153,120,0.463,hedxatonxa
lyvhbxuihe,zgvezpcsnu,dOG,rpwxgdvuns,0.249,-0.2905
0.306,cAT,DOG,-34,0.121,-0.162
0.382,0.431,693,cAt,caT,mtgbhruqjr
-650,doG,kiihizkxov,dtqatwcnth,dOg,CAt
-0.064,0.018,-0.419,-0.486,0.177,DOg
0.247,988,-0.4915,CaT,0.2515,-0.157
487,-0.017,msnukfcnya,-893,-678,qvocrjpodd
qunneuqgvf,-0.2825,ajoqumttxk,350,-732,-0.1745
Dog,-0.153,-204,-0.396,-805,-62
CaT,asqpvzgjzi,-0.1445,Cat,0.353,-796
ubwapctety,CAt,-802,heznbggttd,0.4315,360
tnrgwjscip,-0.009,595,CAT,-0.034,tqivvaigvi
jckldzgdlh,0.306,mrbzxjhfgd,0.387,CAT,0.464
qngwcrqfkl,0.322,asgwbzhjxq,wejvafxxvl,-0.106,0.0275
gxetpgboni,-0.1785,-0.366,ymgzgtjicq,CAT,-0.221
breruuxzun,tqaagnhccg,-0.252,ebpkbqpyfb,rmrmhewxew,-0.1675
905,CaT,68,143,-0.172,-217
-0.2535,fetjktzqnp,0.061,nrbbskhpxi,dog,zvpyyifqdd
lrqfwppkhi,ckdtdmrzhw,-810,732,jaipqalpby,0.0215
95,0.039,jmbwxkcbfx,-657,0.1885,640
qjvvdqazgq,0.298,0.1555,thgombflbp,dog,caT
amokoghvev,-22,-0.1495,0.117,ibusivdizg,0.226
0.0885,-106,CaT,0.079,744,573
vblpdaehra,800,hnatglfoib,0.435,-0.1305,-0.04
227,velibjsdkn,-240,-0.135,dOg,tncojirwbz
bikefxmkfu,0.226,Cat,-0.154,0.2175,Cat
0.3725,178,0.0365,276,CaT,hszyrvoopl
-96,-929,-179,drneczmfvf,-0.17,ngtdryxoma
aciklmykfs,-0.4575,DoG,0.169,caT,0.0505
irxqptxavb,lpcpajzfww,dOG,frzcqzoqtf,-0.0815,hqfhpgvpyj
CaT,feunlwrcod,-186,doG,405,CAT
DOG,-341,CaT,-456,0.376,zlkoworqxy
10,-0.215,-0.023,CAt,cAT,-389
0.202,-416,-633,amfvioesbw,wlgckygmvu,-0.165
588,-175,-0.1765,-0.4855,vssmdmstwu,363
qzabkxouun,-548,-753,-0.09,szkbfsnpzc,-806
tohmkmbmlz,-257,axcbeavgpf,iuluoesnvm,0.3075,doG
-572,-842,-209,fquvommtju,628,-0.4155
dOg,113,gljlctwgmh,vlqvtofdao,354,ckanoqekau
