bowigtdqgj,qhrwewfczu,sicfqkgcfr
0.278,-409,CaT
611,jdmnldnone,rhmdjzvcyw
-0.138,-387,946
-812,dOG,gzftukfoof
fxqtsjtlrg,-0.004,mtflviakdr
dOG,0.059,462
zecrhdnrfn,xnblpcqwad,0.037
-754,DOg,DOg
dOg,906,-955
-393,jgrmnwcqrq,-732
zmxslgotwj,gewxmwpsag,-571
-507,744,ztnihecoud
-722,-0.3365,554
-0.2825,mpjafwitde,ukoarvphal
-0.037,909,-0.128
-0.111,caT,mddmdyxuob
oebxelbuyc,679,CAT
-0.0325,-984,-915
cAT,eiuhiwnhvd,-828
133,degxshwhli,Cat
0.2825,dOG,oidcqqymay
jvchfsmhzj,tujxqfiaau,-0.2585
cojwgsctmk,caT,-554
-763,ikfaboxvcx,lrncviijdv
0.2225,0.378,-540
946,-0.112,zvwedpqogn
-0.3115,625,sndaiwfmge
pqysilccxk,287,ozledxyjag
0.192,lsxchtykzl,gdujodbkyj
ldfahztovz,-100,loxagmrhrj
dOg,ckytcdnzgf,-0.221
jiqhhgypyo,-0.327,yvpgxrgbjd
pvrcjskmdg,0.04,660
ylprfprqdy,rzywmdylac,ocfeadnhig
491,-0.374,DOG
CAT,cAT,tlydaegsbw
889,755,mtteyeialp
wvinewkxry,gkfxxfxnjk,mtdylujqdv
0.286,dog,-449
0.0075,-0.404,ouhlrehfmq
510,-0.144,yzbdjvvwro
dOG,hguciadofw,492
faitlppgua,xnxygamdlb,CAT
-55,bpfswzrhho,-0.2765
0.163,DoG,hpssaenoub
zgnkuxdfly,hmddyrmjkk,qytkbmlkhb
-0.398,Cat,0.1525
