cnhzyqjbwg,yutotoscow,jbuixhphww,ineicdxgcg
70,iqmkccikiu,0.4145,-0.1415
-0.2615,CaT,caT,iyzwvjumop
-947,DOg,0.2305,vzdkjnlhva
srvkpdaqlh,CAT,-0.2505,245
eyulpmyrqz,-0.271,tpwonfjpak,0.0135
-0.403,0.073,cdsxzzlbou,lndlhyfzid
-751,0.459,iakgqdkwcc,0.447
sbtzssvnor,0.4065,141,-0.282
-976,0.3575,qqnotaerfj,cAt
-0.4505,-0.015,0.19,-778
Cat,-2,doG,-0.393
DoG,0.1565,sapmihsorh,63
dOg,-969,40,0.369
-153,-0.402,100,cAt
-0.3515,795,yztmnzzfrg,cycmohbluz
-362,0.4305,-0.3875,697
txhyxvjshp,CAT,-596,-0.255
DoG,-0.4075,rayjwfhmob,-376
-0.254,-0.1355,0.462,CAT
qtwallvtla,-0.4395,dwketfetch,DOg
-0.4155,0.432,-0.4605,0.352
zfmwrgdwma,msqlvlfzao,jgucgulvrc,cat
0.0985,489,Cat,ovbelkmmdt
DoG,-0.451,wpkwuiftyw,859
eaiwixhffu,0.3775,0.345,0.3085
vhqsnclzmo,-0.2105,cat,490
-511,0.2775,gikiofyold,nandpulgru
429,625,dOg,cat
533,reqxivbqnu,712,dog
994,924,0.3965,443
-660,Dog,948,-658
wukljdgjaq,-917,305,357
-574,DOG,kamemnfpfv,-523
vvlkjezipb,-0.2115,-988,-0.2225
0.233,-0.327,dzkstmsqkg,caT
bfdcajhvqy,-177,0.005,-718
0.4135,-0.0135,-0.185,tufttquuqy
dog,wmuqpjemqa,cat,DoG
wdjojrkawa,729,cat,-553
-0.466,blpcphqdez,-0.0215,-744
0.375,-469,qtnkhcnbzk,-0.2005
