dddruzjeeb,uxlaropjwj,ephautbvdr
-384,-80,0.4305
doG,100,-0.241
uewwmiybez,-0.129,CAT
-325,-0.132,0.1485
-552,DoG,lfuapadsbl
-0.0815,-142,kjrforxoxt
hthotgvkhi,andqiupngi,DOG
-0.407,caT,cat
hqrvdottnh,313,-0.444
-0.431,nypmgyipnl,-938
Dog,vcstdeyvky,0.1735
mlppdttotn,-0.165,291
pjqvfkapwh,nefmrrcfmw,pkjhuujrib
-186,-0.258,jtebjcublj
-684,lyycyuziyl,-441
dOg,0.1085,etyfqeuhgs
DOg,-0.34,0.2485
184,-0.2855,CAT
vzbczaqdpf,-647,tdexmsmscu
lbnmexsxry,iklizqxmao,-40
455,cvuedieryn,nkgbcsecez
bjhjbsgfkk,wtjlybptfg,lpionwfdrd
0.1185,skywvzfpbz,959
0.0985,-332,214
-0.1365,-0.4165,-0.162
ssriutmcan,DOG,grurerjomx
Cat,dog,-413
caT,tojvvfsmjd,CAT
250,640,525
883,jsdcnuoiwz,qkwsonttow
dOG,ujkidinpjk,vigtqrosxn
dog,433,CAT
311,cat,-0.4955
DOg,mejmefeylj,roybyxeeue
507,mairopgmwg,dvlhahrqqi
0.3415,kdcwkmzbft,90
-522,654,cAT
-0.1125,cwgjdnkboy,0.2345
CaT,192,oesglmjbyu
cAt,ctunlxoztz,tkzgmimekk
-399,DOG,-767
hococlgzwm,0.102,CAT
0.3115,-0.3285,cat
nbkzwvwgym,273,-0.2845
-0.23,-0.1525,-0.1655
doG,0.3905,cat
izaqjjojmc,oignkmvojd,0.219
-0.1285,-939,dOG
dOG,458,-545
jfoxkvbrfc,-563,dOG
38,pdkgscwyfx,-0.214
0.068,CAT,763
DOg,xwwrkclxlo,117
CAT,-0.295,0.1825
vcroqbnkyb,-0.1345,471
0.104,cAT,rhaxbprtxr
qhrnizpciv,jydcdawpls,rhehxrqsom
vcmgjaqpyt,0.3555,0.386
-0.218,htznkkbgdq,0.495
zqzsrfixuu,805,0.186
-0.2135,uolinmfcci,DoG
-0.2885,0.167,DoG
727,hxtapehwqy,-0.2775
-0.2145,eekyctdnnt,-502
apbxvyomsp,-947,Cat
-0.051,166,ampewydwrl
gzfccuivco,-239,uzbnnbczvc
0.09,0.493,-364
tutnmyonyl,-0.2765,0.399
lirybobtqg,-693,-529
cAt,DOg,wofppwxnqz
xkivihugaw,byyfkolrdb,-0.0505
0.3025,0.459,969
lfrkptlyjd,qojnehdver,gvalmedgtd
sepqhfkkuj,CAt,-0.3305
85,uesottbskl,184
-0.0395,dog,0.2645
cAT,dog,0.0145
0.489,rmoqapqlja,mjzjnnwzlp
-0.1185,441,ydbatmvhmy
-0.209,39,wjihufaypm
-901,bmxtvjkfjo,0.4525
0.001,cAT,376
-0.405,bfyszgkoxj,0.432
-0.312,0.174,Cat
0.2415,0.1445,-0.058
0.4735,182,wdivkmztjn
