snhtmdjwqv,kqhnowobpd,vwkdwnusyq,sbnueepatg,tgkkyxller
Dog,0.3355,dxnacnbucv,bzvcdyhgnn,-188
-0.091,pkprczygll,-118,Dog,-0.468
aplhdpafox,0.471,0.4405,-351,-20
mordktlgli,ukeajzmwul,-406,bnpcasayle,Cat
0.2115,jrwtwbclte,vetvxscyxv,dog,569
-0.205,gnzwddtulq,-0.015,-0.138,0.4605
rycqioanok,Dog,0.255,qigdgdmous,wbjhvmyauo
dOG,tjzxmdctfz,-0.055,Dog,-905
-589,797,dog,-0.0465,mbzbfgfaet
Cat,0.399,0.1705,CAT,-387
-899,0.418,-758,0.4595,vrnhctdgsh
ysjnejhpvw,0.1765,693,0.0235,896
-65,-0.3745,Dog,jmaqdtnkcc,csftxbqron
-0.031,ypqkofacjq,0.008,dog,0.48
DOG,lprbhdozfz,vvxxqdpufo,-478,-946
0.4935,pwnhkugrok,ktmzhzrvkp,rrznqjucfj,CAt
0.418,-0.473,hlavnzeyoa,693,-0.419
dog,jbsszargzd,cAt,vdwvbwylkn,371
0.1885,DOG,519,-891,-546
0.364,pxmjndmceg,ymwyvzpwjb,fjouyaiktc,mgtnmhqlom
-0.2835,ieubesuhrb,0.0095,243,wwwqkmyujz
-496,0.4745,-0.3955,-99,CAT
-612,ckygjjqjla,-780,0.4485,hmkrpfbxxt
-90,-0.4105,574,-524,-0.4955
0.378,394,540,CAt,-467
-740,dOG,-735,jtffflyljw,217
0.2305,-845,ydavyiknzk,evmxdobqco,ypuuvnawai
Dog,jtefvmtjyj,etpflklqdi,0.305,-0.2245
caT,oettrblqiy,-0.3505,wjjfssvwdn,-822
-0.2655,dOg,-0.3645,cAt,ibmcbhqhaf
980,hhvdvaajoz,jjxagvobnw,tmygeqkzgi,ugqdsfuwrq
caqynbxaxn,458,0.016,peouutryqg,cwsnpphwow
-728,-0.2445,-541,avubbpxxou,-0.2575
wjynlqbkej,101,-0.1165,qhkkbwhpuy,-0.2975
rutvgfhvxd,0.455,ypxbowokqy,-676,ffhrgnnrmd
-446,dOG,bqedlgmjsq,856,-0.111
gkzggkhutw,0.378,-0.1195,hqziebguum,0.3055
-0.206,-0.0185,jwnuvvovbc,dOG,-616
cat,0.068,0.4075,sdzbypancn,CAT
yfsrlisrfz,jpxbygtofm,-804,-0.4935,-0.2545
DOg,0.3535,sxkywvieiw,yhvyabvcau,DOg
-0.1365,muauqjtunp,DOG,-286,-842
pvrwemayhb,zbqtdixdng,0.3795,0.327,0.2495
560,-0.093,-0.0405,175,stexjlgetl
Cat,ilcnrayara,774,aifyjboakf,xttkefpppw
-0.1225,ahppzkxqqm,174,dOg,cbchjwlwvk
866,0.3215,jqobogkbpx,0.2065,ruhexaunlf
-460,-0.457,ppvysirwex,DOg,-0.487
djrhmkznlm,doG,buixtvzzaw,-0.174,41
0.1755,rzrdcjipnw,507,waodeagrwx,0.1965
787,CAT,gtfiavnvwv,0.1525,imqnxwqshd
863,dOG,-0.472,-0.0865,kxmqdvyxki
0.041,-896,-0.074,CAt,imeptmkdbn
-0.4435,cdkmyuxqst,hwkfprzlec,-0.0775,djxqorjunw
damfesyjhr,-0.021,-903,jnhvdacczu,dOG
331,vmsyfumjli,dOg,-695,DOG
-0.3275,0.2375,eurijnkvnq,Cat,-0.1785
0.2155,-845,rsnvyedtnn,DOg,-0.3965
-0.154,0.0045,grnmxktbqp,DoG,-41
0.15,-771,doyjioahyh,-0.0275,gflooosrlz
