nddwoetlis,pvciieiemf,mfzkosjcie,Pet,quekuedjvq,tayjieplwy,xcuswljxdk
-0.445,303,doG,DOG,Dog,bjlrjidqby,0.1175
0.1045,eqgrqrqjzv,-0.0135,qxrtvvapaq,gxtpapqzzx,-443,zyeiofwacg
zmjmxstzdi,0.3285,bjtdwvkbth,cAt,relcvbzmdk,cAT,0.4735
-385,0.2695,fwnsgqdjzw,DoG,pcmkuogety,0.4645,wcmqkaehdx
-0.1655,188,-695,cAT,-496,-0.119,879
DoG,0.3375,0.1455,dOg,cat,0.493,338
-0.208,0.3575,307,Dog,730,ozirvskrtt,-213
notuxvgfcq,419,0.1985,Cat,txfwdcnfkz,-181,pbnanoioko
CAt,apsfzlawwj,-480,Dog,0.4375,pqorymkica,dog
caT,snvfwjrbmz,-996,cat,vsshufvahz,mmluijctlx,-59
eeblmudrep,rkdrigilll,bwpdgrvzfo,caT,0.1495,bhoksiwllr,-47
uokhrivfwp,-0.2705,843,-0.051,0.411,-428,-0.135
idocicsvte,-879,jejkmdpmlo,CaT,wokcuhdima,onixwukhtv,CaT
0.079,kvecjvjfhx,0.419,cAt,420,Cat,teqkoazmkb
-486,162,349,DoG,lncsfbucei,-0.341,ooufmwbkil
0.3575,dOG,-9,CaT,-717,917,0.4935
759,-0.0285,753,871,0.208,121,562
0.49,xsyehshacj,sbpegvnxil,Dog,msbpvaguii,dOG,0.3635
kuzftcpjdz,-0.4715,-381,627,ijfdodjitq,785,162
-0.2015,-208,wcjfbrbfft,DOg,-162,Cat,raelrmfcuh
mwivfijant,-688,-0.3255,DOG,fikdrddksf,DOG,fjrcutwwtx
CAT,0.4295,DOg,dog,hmevlvlati,-903,-413
DOG,-0.0845,0.3815,ocwmshjzdr,hzwyzbqyvm,-0.011,466
xsbuqxblfc,rxhmsppesc,-0.1455,CAT,0.147,0.285,775
Dog,cAt,712,lknfmjatyc,dOg,218,wwyoojktjb
-0.0725,-0.3755,-0.2225,CAT,DOG,460,0.3825
DoG,879,-860,-947,858,-891,0.38
-507,-0.317,szlcvwxsco,DoG,0.428,pgygcgptky,0.119
946,hduafwsgpb,-148,Cat,0.1015,kilnbtkthm,-265
-0.451,qdjqurorxf,twjlhiyori,doG,626,-0.0535,kasarqchgv
CaT,-662,-19,dswtwwbvww,zivcqqpuot,ubfarucllc,-0.174
xetwosgflw,0.0195,-0.3405,dOg,-116,0.129,982
afnvztjqia,0.47,0.119,fwjfkrvjti,812,Cat,ktqeskgqxr
eshbcjhnmw,DoG,Cat,cAt,jzjbvmloyz,CAt,-958
vguacwsqiu,0.4775,Cat,-941,-750,ptgzzeqsrs,-26
efbvxkuwqy,cdbvonkexw,msbpiamohd,dOg,-0.2385,xlxlgnxlhp,wvxnzxtwvm
zluwzctnhn,DoG,oytwrgrsor,-462,CAT,dog,CAt
0.2805,Dog,cat,CAT,867,kunnuzijld,239
uyqluxlbsa,0.299,DOG,DOG,0.2665,abvbktcylh,0.1145
uizzbvjlbq,-551,eckchvkdox,-0.0585,-0.48,CAT,dOG
-0.403,821,233,Cat,-522,0.3605,DoG
