pckhvxhmcv,owpctuzksb,gwwyudvnlw,zkqkdnixhk,ilkspshpwi,ztaslqopix,efpizuxyfh
cAT,gumlgrkerg,CAT,eyajazuffc,-0.475,rhvgdvtneu,0.0775
575,-0.427,-157,kdofmsgcay,blsdnqifdb,-0.028,0.0505
-839,0.3375,331,cat,tsrkjydkcg,ellximgjaw,0.2615
0.079,cAT,-0.4085,nbrhqubfgl,cat,-734,0.4755
-298,473,0.213,rctkcvdabe,igokjdguzi,-0.293,832
675,488,uynhqrfckc,wpzxudzqwj,-245,-200,gdjugptvzk
reazvjbyoh,-905,CAT,0.342,naeroedypl,-395,0.1385
doG,Cat,yxipbkxayk,-160,0.461,vuphjslqqd,nhrykxkisl
165,971,134,-0.224,0.155,-722,0.1095
-36,CAt,CAT,-379,yjbtmjhzld,-0.2285,muwhniutsh
tmtzpemqri,CAT,qyczttelsf,cAT,fkxshmxotm,0.354,-141
Dog,nkykpzvgpi,-17,0.0855,-134,tncnswvivj,cAT
doG,-441,cAT,730,CAt,0.4405,0.3855
DOG,qhnjqzpsku,-588,dog,xjuxpifxja,CaT,pngriiwikk
CAT,totjgsdrfc,CAT,dog,0.445,692,lcsmgeyoty
814,-0.459,fiairbuyac,0.025,-519,0.166,-0.0355
cloeudbhez,dOg,-814,868,-260,491,zevdrrnxcp
0.2585,-0.3325,-680,yvyhknmmhp,dOg,voblxgyhwe,0.3805
uokbjuistf,362,-987,553,214,0.0315,-0.0585
575,-242,-993,cAT,cat,-583,dascpcrzrf
0.0885,-15,0.228,DOG,0.4025,nynakkldjz,402
dog,doG,dOg,559,197,fcuswfhpmi,vorenmlemd
cwuvqzpsjh,zxjipqbqkf,gqfrxyzgiv,CaT,CAt,-498,-785
724,vvdcghdqds,160,0.3305,0.3275,moszgrcskm,-0.36
cAt,0.1835,0.0485,0.2855,-0.411,DOg,-140
158,-195,visoiydpaf,0.3385,-0.3405,-0.256,-241
0.4285,DOg,yrjsmjkpny,421,-0.1005,368,Dog
-296,-206,878,639,ueipjftmdr,572,32
uytdmzryja,-403,kppiuhcuup,gwxdzzzkwg,dhzrukqvac,-0.019,0.148
mncwlclnqr,423,fbjlwjxsep,0.221,npwiqiljch,0.233,Dog
chltqhlqsz,-0.316,219,-403,-0.0335,-75,cAT
-183,uisdnbumaz,zekkwxpvaq,ieaztpviaz,0.3,-0.2415,829
-839,-385,333,194,-916,0.357,803
jfiamypgfo,ewbcuznoky,-0.094,-411,-0.111,258,0.1345
-0.175,CAT,dOg,-0.0135,cAT,DOG,-500
Dog,-0.358,vtwhqnphrs,-0.006,lidkmupdip,-258,cat
862,pdtozgfhyb,-137,-0.4195,pacruinohx,-396,dOg
kzqtozpvpm,Cat,0.18,-0.397,utfxbsppak,0.267,aogyendmtw
-543,654,-656,-891,jrpoizjogm,zsxganqxjz,ymoxjnkodr
0.1345,401,-0.258,-0.442,dog,CAT,790
32,doG,0.2355,Dog,cat,ycorltweuv,rsvcbpmzgr
erbuwidggq,CAt,wxsxapbsje,uvwvrjhwza,bembavfdpk,DOg,oqzzzxbzqa
mlkardkkgk,aoqkdjryey,-672,vyejlpdhzh,-0.384,-0.1,adupumkyby
yxqpdoschl,-895,-0.4045,CaT,caT,dctxnlnwfq,jezkeienbi
mmslyuczuo,CAT,prrfieafqh,DoG,dwmifexoli,dOG,220
-0.1555,171,-0.349,cAT,ggukifjedj,CAT,784
0.481,722,0.371,-653,dOg,dOg,260
