PET,fhfqgjadod,wgyottiemp,ktyuzcyfex
DoG,pygaxnjqqt,DoG,743
tzggsfgxgy,0.027,udzqilxepi,595
CAT,-0.292,-103,805
-319,-0.1865,ruyceebesu,0.058
dOG,wilczfoeyn,-715,bemozmwpud
CAt,319,-722,564
cat,0.0455,DOg,-0.2325
CAt,gzpapxanlz,DOg,0.3035
DOG,-745,avlluqqcmv,-535
dog,-392,DoG,0.2285
-218,kohmiblguq,0.0275,-734
DoG,-0.128,ahthiycqbx,-317
CAT,0.1565,CAT,0.0225
0.366,cAt,-0.331,-0.367
cAt,-0.133,-184,dcgppqzyuz
-152,dog,-0.265,475
CaT,0.4445,136,jvsvbfnkcr
dOG,0.0955,-262,-0.0055
dog,-0.4275,CaT,-650
DOg,0.1785,pdstrdlaln,-747
-9,-807,-108,286
-28,-0.442,xrxtinwedo,541
