xhnmfmzqmd,gsthuttcha,ykcdrtelth,crjldrvlny,zfadaznojc,qwfrtzzhoh,znlwyibfem
0.354,rrpowveyqm,0.1775,vajdcsfjlu,cat,997,841
rrjiwdhwud,nkinqdvndl,-881,305,0.2245,0.4225,148
-556,0.48,gytdsjupay,ofpqvhdeav,-900,DoG,0.4845
389,dog,0.3495,wuwihmpdqn,847,478,zrlorkdpwq
-900,DOg,tsaefjvxsm,814,0.3335,awzograsym,-542
-0.266,-185,razixxedng,DOG,894,Cat,-18
-0.125,-167,-0.141,-0.324,DOG,288,-0.0625
-378,0.371,442,-0.2055,0.4895,uvsfwxawbf,-694
-0.452,-256,778,cAt,dOg,dOg,0.418
bbihndeddu,chuttujzmj,awucuspqli,0.06,-0.3885,-0.414,73
qsoybiaxvi,CAT,DoG,cAt,-659,-207,398
cat,0.442,DOG,-0.458,cat,eghthqzpir,-621
dOG,dtvrissura,0.4135,-0.47,-0.2245,-0.1035,-99
-814,dOG,yjvriwxknv,DoG,414,uwcbszared,dog
kmstfynrrs,0.48,dOG,714,cskscgqrre,670,0.1945
hkqhibjhfx,vchuxmaqct,0.166,744,-0.2535,638,hgdeiqcxvq
-0.366,jmigkxbkhi,0.22,CAT,0.0455,vdnfcrabre,iydditrtej
yzcyvjzkjl,yjswsrzodk,-175,cAt,jfmovfojks,-0.43,tsikrhpwwg
0.249,amnrlnwlsq,443,ubqxefxuvw,0.4955,ljqkcgxmda,nogtcsiwqd
gylgiwiugp,hxpqufyqxc,-747,qfdnaciiaf,-0.1685,omqwocfgaa,0.319
920,390,fjbvtdxxfk,0.422,lryypomoer,44,caT
twevdesprh,vezgmmflpf,qblmpvnfzm,-841,CAT,dbmfbxpnxm,0.3535
blyckrxesw,-374,ogocckfvpe,rcnwwimkvg,vcyppccwui,ieamdyeksc,auzimtvyvc
-0.478,933,-0.3685,dgmwukgauo,0.195,-0.219,mvjgoydeqz
-0.484,56,CAT,-917,-0.437,-0.3315,-694
eksjuhjgrm,Dog,-0.208,wuaqabyjwc,eztaurlqau,lbttezztrc,-0.333
fzzxozwpud,dog,CaT,uprhybovuk,cziaunnmjf,0.453,CAt
221,-0.332,lxyhhivxqu,dog,-0.393,tribntuwtl,-299
