pykwsnjmkl,kcbtzhprcb,mioajjzjze,cpyzomzzzw
bmyvnajyov,-860,DoG,jkfunqhmag
edcqgqrook,0.3735,0.37,awwmolibrb
-799,-0.082,hadkuzdbpv,0.487
ftkhobrojh,ymdwtyfzgw,554,-533
-0.03,bdesrfgiug,nlrapnfpry,0.3965
cAt,-705,-0.0455,-698
-0.0305,634,0.4445,0.4375
-775,0.0005,0.3965,571
0.3965,-49,-0.0125,cat
0.0105,-0.1215,167,-0.358
cAt,-0.25,0.1765,849
468,0.0095,ahwvuuymyf,nweqpbysjf
sxvtyncpon,240,hjajqqyyhl,-752
cAT,zuqligbuoz,-80,-0.3785
0.2035,ndvzatpfrf,cAt,lqxdvzeeqh
mnukdqpquc,-0.0525,-596,Cat
-351,drpcdyseim,CAT,iwdutwddjr
0.204,-0.487,-0.2015,bepdqkwhrw
aszykizrsz,-0.2685,-0.2635,pebnsmwigf
-0.442,0.464,-945,-825
-975,-35,0.4,yrgymeagxy
-784,-898,cAT,caT
0.058,0.194,464,CAt
609,709,774,zdffakvgfp
CAt,385,pyvzkihhqp,CAt
zlzeovzppe,Cat,0.102,yqxnvsgitm
0.117,qrdlonhsox,txyznquvph,661
wcsutwdicx,CAT,903,-0.006
-0.1915,0.239,dOG,ghvrmapzcx
dOg,nhobaogczl,fyarzjunku,-0.0975
-0.1405,caT,cAt,-0.225
