wmjwshyptc,tcarflkpzh,xfieqggtjx,weenwesnys,gzbxprnhde,vugjxlvffx,eofrywhgto
0.0535,-0.1635,-889,dktcfjpjvl,0.2145,xzwbjvefbq,-601
dOg,0.158,-532,egltlwacai,-940,306,-341
pdmfutsnmj,278,-0.402,765,0.474,hfhcnuiusa,-0.4195
topimvreao,566,pdrrakamxj,njzpsvould,-835,fkfrzhreis,0.3425
906,0.213,480,971,529,nfglsfnubz,-0.156
-0.076,hohrssluzg,CAt,qwejwcetio,-119,931,cat
skbrturdzs,fszbzlcqqr,cziomkldrw,shjevvanvw,90,772,CAt
zvfyvptese,-0.17,266,wzpntggyvm,-0.409,mxeihilacp,-0.2715
rjioqqwuyu,jhufqxwuva,cAt,-0.425,bygiyoobst,kiadzrsqvn,454
DoG,0.0875,dzduxcgjzd,-252,-154,-0.008,-112
zhqsgtzbmo,quoqtlxvxc,nsurilwahf,417,-741,wjoawkvryh,DoG
-0.0175,885,dOG,DOg,gumagjglrx,gsjuiepejh,-0.0895
966,uwwuavsbjg,ezicvingua,-0.2915,310,CaT,0.3235
170,juiwtyalbd,yzwsfkdwzs,spaekecics,dOg,ucmvrkywme,-0.38
0.0155,737,-429,eidyzcckob,341,0.331,-443
hbwvkmmyha,cAt,ezlmnjmbor,0.4945,-0.2945,-0.453,52
-790,ppnvkqgluj,bpwnomjigh,726,CaT,-351,bynpltydji
yidtlszxkq,0.0775,-0.268,CaT,0.2345,935,0.282
789,ljmozisaug,-868,yezwvfrpnz,0.1865,vjhbhirzmt,922
cAt,dOG,-0.0085,cAT,lhxwomurxz,0.0115,770
0.0905,CAT,-0.1895,564,jnehkcoddq,ulfvxrtaws,CAt
0.4495,-0.0155,-435,cAt,DoG,854,rnxiowhhxo
247,wafhsvcwmf,0.363,0.4495,0.242,-902,-0.1345
vpdmcwrjtc,CAT,CAt,rwbjornumt,Cat,-355,13
-0.2185,vgjxnabssy,412,0.2275,caT,eepzqlczxx,rmmndriesh
483,-305,jmkamwuipm,Cat,-353,960,usmfnfzcgm
746,-0.296,caT,nojfchmajd,572,-639,jtedooqezw
-918,CAt,0.356,icouvutjhv,0.3005,ulsslqbnoc,yjnuutyvej
axfkyiqann,0.22,-815,yxziszvnfg,nrckapnrnw,-0.1685,0.1255
221,lwvzsrkptw,-0.3395,CaT,pnamckubmj,-853,-549
631,582,0.2265,twqensxuhh,noehresetc,974,36
buapzqivoz,322,-827,0.0105,ddficbyegx,0.4245,672
audnsmsdfg,-504,-0.1715,doG,-428,-0.4265,lckfxbthea
cAT,-108,xzpboayhpl,114,doG,mbxirwtsqm,0.026
wywqbpxgyb,xaenaixzjd,-0.3775,-813,-671,ubmaagfmgb,tlrvgvukwn
-0.222,389,-0.026,-40,-93,-0.132,-899
0.0775,euvwsbhylv,btdvxgirkl,vllzlvtnyl,ylppdxtvwj,vlchwxtkrc,548
0.2025,scvqtnnbqr,-0.047,yltpxbyvro,-0.412,0.3585,-0.4585
gloqgmgrrj,-140,562,bvhyefexum,-661,-0.205,-0.455
klkuclqjnh,cAT,-417,prfniweldh,uirtzyotih,216,357
cAT,-530,dog,cat,-56,borsivcyqu,cat
-445,caT,CaT,0.4815,0.3925,-535,-0.2975
-467,-609,0.115,821,CaT,768,383
0.064,-0.3075,muolsdytaq,-0.0065,znihnqilsa,-0.394,0.1695
ppwvzinjuh,axjrjikbsz,DoG,rtgixamecf,0.3615,-75,-795
ymldnrhfxu,lyifixpkqq,bsrynsntpj,rtvcudhyxm,mmchbmcmnr,-0.469,dog
898,0.2675,ymgfjizxbj,dpwnkxjxbm,oaflpggpdg,101,0.4505
-829,lrjsdolskr,512,368,-0.424,ewwlzwapyo,-339
-926,0.323,rmoxjjjfek,0.0515,0.1235,0.1665,0.38
hrmcvgkols,fofueaqwjy,73,-179,DoG,cAT,-528
DOg,mngnijdzgi,pxtrioitml,CaT,dOG,-402,DOg
Dog,-0.1765,-0.4295,163,-416,-0.4815,-0.235
0.4415,-85,517,ullbksiary,-0.3565,CAt,acgqlaettl
-0.3885,atdilpnjtq,fgknkgdpzr,CAT,402,140,0.094
vxhplcqtza,eaiervqgrk,155,-345,999,239,0.3055
hkndzfneso,dugkihdqpf,CaT,vhsvkwesuc,cAT,0.4255,0.2085
82,Cat,jbwughmbjc,setnuugyoc,-521,dog,doG
-101,ibgzjilyhy,CAT,doG,CAT,0.1335,-0.0755
447,ksmlvxdztz,dOg,gelhhmeycl,206,-317,zlxjrvjgnn
kuwwkyizem,dotyhoqrmb,0.345,-0.1075,CAT,wzsurihoxv,-0.1275
entcbavmhx,dOg,623,-231,794,suxbboszzf,-662
oyniberglj,Cat,413,ybsgmptcei,nshsmanemz,hnamehsiaf,-316
DoG,mxetxmikzy,Dog,CAT,bybpynamsy,-0.0015,-611
yiwpetyxtm,0.356,gcbuajnwgv,xbamausutt,-676,Cat,33
-253,xksqizntjk,0.113,-0.115,ywxtzoczlw,byxcjrcwof,DOG
