fxvqnabyeh,dcpzrmtvnt,ciwhaammmb
0.107,liqlkjglsw,caT
670,cenziakzwz,-0.4265
0.11,-457,doG
129,348,-70
0.013,-0.343,-0.2735
DOg,-791,CaT
-0.442,DoG,lbtbvgfzcj
-709,kuesskdkta,565
uvnqqydkho,0.163,cmdjzvzwbp
-96,0.04,cAT
Dog,hfsawrppjw,Dog
0.4295,doG,0.1435
nmxamztkiy,uzacihzhoy,kfkkxqyurl
znbkvhywtz,-987,dsmgogtqat
DoG,0.192,978
ufjwgzhnyc,ahwudbizpp,0.3595
lwrouldvaj,-0.3585,vxfjsuguje
-170,-891,yxqlqsabor
cat,akehygaayt,-539
781,ronsqyocns,969
agqfglmzce,688,dog
qpeahqkpyp,-0.1105,ntywvwmtlp
-0.276,410,-66
949,-805,-0.2665
-0.363,0.2145,340
gkwewdpybw,DOG,Cat
kkyussahzo,0.4485,-0.3655
DOG,0.019,-425
0.055,cat,0.465
-481,0.3695,995
wqdabrpucp,-828,-0.471
xzxnrupyet,-0.0995,cAt
0.0875,Dog,-264
ewogkjxwcb,521,cAT
646,0.0465,CaT
809,-612,djmerqzcxr
gthzxsohme,543,142
brxgokqxsu,nyyprdhurz,Cat
pivqagidhu,yxscrvslxb,0.2835
flskpjjpwo,0.285,doG
991,0.351,0.28
-0.207,-0.356,-0.382
156,qpvzcitjgg,0.3
dOG,ztbykkaamn,781
-0.0605,144,lybmwtlqvv
ovvcsjlxtp,-908,uwcmgmlxcj
-0.3445,ervuekdeut,-0.2005
448,-738,-613
vxuyiqdqvd,281,cAt
ntnbpqaqnx,bmarhkuolt,wcbocqekju
kmkxuleyuw,355,eesxpclxrk
-0.4085,0.49,0.0745
fqhwgntqqr,tnjdggavmr,-0.069
vkqdzxeznd,hjixagbway,544
CaT,-0.001,79
DoG,884,yapapgpepz
zfmzftntjy,slqaglfmfh,urphlxqxfi
-0.412,oyfhgysyvu,-0.107
-675,lrnzurycwn,0.3935
339,737,0.187
457,-0.002,-0.23
cilrhwyfql,-0.4415,obysywzzhm
563,217,416
gwockixuta,doG,dqycbzyqtt
cAt,540,DoG
0.4585,95,-0.3285
vbcevblguo,-324,CAt
zhtoqlvtor,965,47
0.2285,mnpyncisgv,509
-0.373,733,diofihtvkd
-0.3355,cgthqhdkdu,DoG
-599,-806,-293
CAT,0.4175,sznbbpdrmi
-985,DOG,-0.1505
50,vuxzyzoncz,0.0355
736,114,grfrslccvi
Cat,-0.046,0.093
0.223,qzgxjjaylu,vvjvraeiju
