jyhkhrullr,ujkyeopnzx,adwoidpodi,kiithiipvt,izroowqoho,rmqmzltljs
dOg,787,fxxcxrsajn,-0.479,jjgizaxezb,-646
ivjqiuwmhf,csxjzepfod,laqvnwtzxv,nguidqtogu,0.408,652
0.342,-0.064,emexyzivuj,907,-0.2435,dOg
bkeqtejqat,dOg,669,0.4885,343,dcotgjmyrn
jrjohxwrkg,-0.4975,-0.2315,jknnkyfgoi,-0.436,CAT
365,tefczfbewq,-149,579,979,-0.4045
cudlltdrwz,-222,-0.447,hyykqorfeg,0.2975,DoG
0.4135,ofhirkrhdx,DoG,0.2715,0.311,848
-0.272,tecelndaoe,887,274,130,-0.0485
810,caT,mkehtdyouo,-0.4825,btqkygknls,doG
-196,0.2565,lwzlayrzcy,114,exclxlhwkd,xtrgzerxdy
-0.065,0.379,-717,Cat,ssvxlqafhf,-0.087
ihsufctqtu,CaT,zmimjomhep,0.05,vsoevkfgth,nmvaaueokd
-725,vkxxlmsrul,-0.4065,kzqohlmtrv,42,-0.381
Cat,0.2795,vzkzcvgbcl,tnvwmsulzz,ywvnbmewcv,-0.3525
Dog,-216,766,qnvuahdokj,tdnmwrnuxc,frdpfdyrkq
607,-622,dOg,ulubdiuilv,0.439,0.0805
0.3025,37,0.008,-0.3105,dyqwrkxjzp,trmoyfauxg
-867,gphyutoebw,rebmppwmqs,-0.061,0.2375,lwuxmobbth
277,zlpewtyyuu,ixtqiwjajy,275,701,-0.0165
cat,0.4645,-0.144,qojuinvxbu,0.084,-408
CAt,0.1955,ftccwxtrti,-0.001,638,0.0555
0.3375,okvzsxjjbg,mwxqjgqlhr,-79,-124,afhknjtxoq
100,abpptyzukn,277,-0.4085,kqxhesczwv,fqsppnbyrd
Cat,268,921,udfokccpvr,faciucdixe,646
oekywzeazf,0.17,-904,0.1045,474,dog
-0.4795,0.4925,revuxbwena,xbcufzzmxo,-0.192,ezxsacoltj
587,vpnpewqbjn,oxyurhkysz,dgwfkvktlo,0.0765,0.038
btvtyasnju,cAt,cat,caT,cat,tieockjzek
nryqkznxsq,-0.437,cAt,-0.16,caT,anhtplzwtu
doG,flrhhxfgmc,913,-588,-0.255,978
wkpaffbrzh,102,-0.318,DoG,-0.212,kzfcfqjiod
-713,-962,0.2225,gjrlxqxycr,0.288,guzrbadkdt
