PEt,wljgwznqkf,ogarcpkwib,jwslvwkbwk
cAT,xmadpvozbu,0.3585,-526
0.4845,caT,nsmjvpkrhv,344
cAT,270,-0.079,189
DOg,-0.214,0.147,-0.1405
-43,0.4765,-0.376,DoG
cAt,-0.428,-0.156,-790
cAT,-401,-707,0.2025
cAt,0.257,614,0.052
0.0235,0.0595,fyadrdzxtz,doG
DOg,678,-219,0.0165
cat,349,lrxeyxvlpf,753
caT,caT,-727,-391
DOG,429,evttzzxhtw,0.015
csriyyihcf,0.398,0.0245,-0.117
cat,0.278,588,-604
dOG,mcsaguoarc,-494,0.117
DOg,mcxjxmwqix,-0.253,21
-0.143,dog,xsktbryhkc,0.4225
odwjfxqzvd,fyrriitkyo,-54,-626
Cat,doG,-274,cAT
235,CAT,0.1465,-631
-0.122,dOg,-888,CAt
DOG,krllupvica,hbrxbugyon,217
Cat,0.1655,579,734
woaxajsysh,-0.095,-0.424,0.3675
DOG,bfdgcpovcm,cat,-0.154
-0.3935,0.357,67,dyvobmqeta
CaT,0.42,-176,-0.2335
DOg,991,dOg,wfueamzzkb
