pfxoycynay,xevoylssuy,klpnxijlvs,pxligvaqca,rkhkqcdwja,cvbwvfbfir,etrftybovz
zabtgqnzox,-0.3355,aufnopnhaf,yieluducnq,0.4325,mlzlkhelib,0.075
-559,0.371,-0.1885,gqcglnhxzd,vlsxkjwpjf,0.068,0.3275
CAt,CAT,rpxsijinus,Cat,dOg,-0.021,dOG
doG,kmqcdxsztz,-999,379,-319,0.275,digdgueekp
-0.3875,509,zjokjdlkar,dOg,ylbfnnyhlv,CAt,mjgzqtcbwq
lroyhqeica,caT,dOG,dOG,-400,763,0.141
-0.125,cAT,pbnvinicyx,499,dOG,xvneogzclp,sselidziqc
rtmsxyhciw,622,-0.192,vohvljueoz,doG,0.2255,-10
-0.3775,953,0.3535,cwmmpybjak,-0.0915,pemajxgosl,-0.218
clodnrmltk,CAt,-0.4835,-0.146,CAt,-0.4515,97
dOg,807,-0.0605,CAT,luppohuhsg,CaT,cgnsjmrwlj
caT,cat,964,ogwyluyvyp,-918,inynztisfu,270
zqgitigqse,149,-0.2465,-132,255,xtxmdlhqaz,caT
kvnfmlggar,-966,Dog,-780,sjciobbajf,0.336,889
vqsqcmksfx,nfdiicwcbq,-916,-0.0555,720,CaT,-0.1185
CaT,0.497,dOg,826,819,mikuqgmnsc,969
63,dOg,CaT,CAT,541,0.0885,ofpitdlbge
0.06,vevmnojcol,snkzluynry,DOG,918,910,ftozllinqs
Dog,txylaroqaw,-643,cAt,doG,-0.406,0.0495
-951,0.3205,0.168,0.4995,-0.169,102,0.259
783,141,-795,doG,0.1315,-177,-0.211
sahmwuarhr,-872,-0.33,nqzfqbdvsu,CAt,-0.3365,-944
daskpubgaa,-345,cwkvwedmkp,342,wiljjuabka,131,cybuvdjqqy
0.1145,ecwcihegsx,dog,dOG,520,0.251,-0.3515
hketmqeujx,92,dog,dOG,0.07,vwnfwtfgis,0.056
546,-0.3545,0.0395,cAT,DoG,DOG,850
jeiobmgmbs,Dog,0.011,-0.276,-806,0.3445,smqunthviv
cAt,-0.352,iyorjfelow,796,DoG,-689,211
iosnbggohe,-0.437,-64,dog,0.491,fuodpzvsuw,sntwzxqbuw
rjyqxdvqrv,-0.29,68,-233,0.096,vbpypcndpt,noxeftikwa
641,444,yadzwlaqul,cdkbrihhrw,cat,-0.3645,247
335,gythszqhff,Dog,amncukqhxd,hfuypweztk,-587,-0.3005
cAt,owhveauyiw,Cat,-0.125,ntxjotcpqg,lbnhahaemb,0.324
-648,0.348,fveiyohkum,axvfemqtda,dog,434,-893
DOg,-0.255,-208,0.491,dwpbwdwxuy,dOG,dOG
0.181,-0.0775,-0.2535,-61,-554,dqzwctnbcp,-274
iwctfqpvis,-0.114,312,mmewgkvgfe,ufmymcsikc,-277,0.0645
