ogsnzgdviw,hnsorfeeef,Pet,wpsbprzhim,dxgzoamotl
0.073,0.011,CAT,0.056,-0.243
caT,-614,CaT,-0.122,uhurgkgpwq
vocbjljdyj,0.0,-506,0.036,-985
-0.241,eudklmjins,Cat,817,-0.109
hysbfapccv,wtfcptszmz,Cat,pnjspetrns,hsbwblrjff
0.2435,-531,18,DoG,pthzwbmklz
-785,CaT,cAt,-0.2565,shrvtpeqfh
dmmxsbkvto,qhugtnjtkx,cAt,881,DOg
CAT,801,CAt,-0.4085,gkokvizfdn
dOG,fimnlgtkol,-0.377,682,-0.332
0.163,0.393,caT,sabpscrkia,phbvzphwcy
ojjfvugwku,cat,dOg,0.251,-755
-12,58,CAT,-529,CAT
fhqkmmclda,949,dog,eocrskwhtw,cjclgmbivc
-591,DOG,542,dog,eeikkerqwe
-0.174,-871,caT,0.13,0.112
mlicieyxar,-0.3695,cmuhkhsozq,-0.4765,561
Dog,ndugnhhwrk,636,CAt,806
-703,0.4385,231,0.047,hxxqkpicoh
DoG,564,dog,0.158,-0.488
0.16,-0.0475,cat,-0.2065,cat
653,-0.4025,0.4205,0.479,doG
-930,-699,CAT,DoG,-0.0155
cAt,0.444,DOG,-0.1885,-0.267
CaT,cmeeewrupl,DOg,kujtlnkyjr,udgfhxjlxu
308,Dog,cAT,750,-0.4835
-0.0315,cat,cAt,0.124,-0.48
-453,DOG,caT,413,cAT
765,-0.172,CaT,fyqpqyafwz,ilwjbwceaw
260,85,Dog,0.0655,xadapcphnk
dog,wdrgrxmzdi,DOg,-0.494,kvoonsottv
0.466,353,CAT,chtkcyzaex,-0.309
tzcaoteuyn,-0.3545,Cat,813,DOg
-0.2485,0.0245,DOg,-0.3045,rmuzsxbckc
lhmfhrvozj,-0.096,ouewnirkmz,hawahtrron,-0.392
foyyicuuma,cfjvnqautj,Dog,0.153,-0.092
-0.471,xhpespmiyk,DOg,0.2125,907
-0.179,957,dOG,-351,doG
hjygiakvtc,0.022,vsvjlthded,972,cAT
caT,-0.1555,Dog,-754,fikmtcvxtp
jlwgppjdbe,0.105,caT,40,caT
0.238,0.36,DoG,368,-186
bcrgydzgmy,-932,dOg,0.4545,-554
-0.276,couqhkwtbg,CAT,-902,0.026
477,0.057,dOg,caT,lparsxscrt
upcgtrbstt,tqozbveyeo,doG,CAT,-0.3415
531,-0.3175,Cat,cAT,0.3605
vxfyigoqrk,dqpnxsnbvo,0.196,dulvgyzxxc,ftzfaafjrf
mgqimaorwg,-0.203,dOG,-0.2935,0.135
