dcrwphppml,qkhqlxuvyu,ubxdlrbhje,PeT
51,bprqvhlpon,fjnvpzowng,DOG
-0.3645,860,cAT,dOG
-0.002,vbdwmoqscw,-728,Dog
Dog,Cat,lgaxhxaxyc,Cat
dog,-0.1005,0.12,Cat
289,-542,wgisyngivc,CAt
rsuktrrgvi,scwzdyjdjr,-0.4755,caT
CAT,dbqvwzoaak,0.1345,hhefosvwui
cAT,-0.1415,0.2695,cat
0.009,454,0.1715,CAt
dyxpfakarn,330,-0.4385,-728
-479,724,-346,cAT
-561,-518,CAT,lenopprsof
wjpaudydsr,DOg,zzkkhuqiky,ptolxbxvar
783,-0.2235,-974,doG
DOG,doG,-0.4535,dog
hbldgpiibq,dkzfrguzay,nutnhvlwqm,yrqiluadxs
-709,-0.025,mzlkziujlg,cat
-665,dog,0.4605,Dog
cAT,0.3995,-677,DOg
conanfrhst,-455,iskzkksuvo,cat
973,-672,-0.098,CaT
doG,-663,chgrpvvoth,dOG
-0.2265,741,gqgxezjorp,-0.453
mklyxyfsdh,ssdjbjkjcx,863,dOg
176,-0.274,-594,rdtsftqflb
-0.3075,-0.2805,nhoqvqcyqw,CAt
38,-0.289,jiyoraafoe,339
CAT,0.3295,-0.036,72
219,icwfvqufmr,-0.123,DOg
-207,cAT,0.1415,cAt
Dog,npeqindzzc,caT,661
438,gjnqlrxezk,Cat,caT
fsgaxvzwag,0.121,cat,DOG
ghsomimjlm,dbcvxsycts,CAT,doG
60,trbzjksvcx,dog,CAt
jmbxoshfgt,-569,-0.218,CaT
-0.225,-800,0.057,dOG
-0.3855,dOg,dqqxejhugg,0.4625
rxvepqegmx,suzfuisfsi,mmjlgzehfp,razdymhzos
CAt,-0.2825,dlwlsnnuwg,jjsdibvwnv
tlksesqkqd,721,0.1425,doG
996,vdwbxsonrb,deieiiaiuy,Dog
-575,algmcpkiic,pmesexftzy,753
ublwpchblk,0.4145,Cat,Dog
lymynrvooz,qsfvilvydq,-302,-625
44,DOg,zneractgqw,dog
cAt,qeglonqwtd,CAt,687
-0.097,539,vrblyixyyf,caT
pmlwyvugza,hknydeockl,0.4455,Dog
-0.4195,210,-553,dog
CAt,DOg,-463,DOG
wwkbelsgmy,-0.1585,0.0065,dOg
-374,ioaqiweuss,cat,dOg
692,CaT,-541,dOG
pmhbfyygaq,503,Dog,cat
-0.1165,0.4935,-483,caT
-535,-0.0215,547,cAt
0.295,902,-838,tocytkpekp
pppldprzyo,0.3345,niovpcozrz,DoG
xknkmcwkfg,0.2175,-0.205,caT
cxygjfjjhr,ghqeffwyqd,-188,uidbxxpgdn
jfuttceiaz,958,dog,-702
101,gklqwdngaf,cat,Dog
