hcbkmuxiis,sxcilkjmel,pET,gfhdsdzcdb
-0.3635,ijbgwknzys,dOg,frmqfpbeel
-58,dOG,-0.3775,0.2535
cAt,cAt,0.3595,0.4005
tjkkkpofbo,299,0.372,0.136
0.3155,764,ssfqbgwdip,DoG
dOG,cAt,DOG,qybilywcnw
Dog,-0.2635,DOG,931
217,0.1965,DoG,dfjmsrxifj
-0.4895,-964,-0.2035,0.439
bhmbraqmxn,aylhxlnnph,caT,zjpahjsnwq
-866,cAt,0.4085,0.0115
iomoiiuaff,-341,527,caT
0.0455,0.153,-0.101,-0.3515
-252,akbnxmbuix,cAT,220
qctabdursr,sjabitdohc,dog,-0.0255
-283,cAt,bkbuiijpxp,tafibnwdks
0.193,CAt,864,zwwuncbmml
yfaklgdkpi,-0.236,caT,dOg
-342,lhthgkquyx,0.236,-179
vzzbqtqwkq,jgcydfxvjt,dog,-0.381
dog,-496,ehpiaxjhki,xyjgxdaidf
kprbvtojyv,-572,egxvcdlhit,352
mrflnydwxr,axadhlunan,cat,yxbcnusljh
872,0.1975,-834,0.088
dOg,cAt,roihvnktmq,qalypewckd
DOG,dog,694,cAT
-0.336,-0.113,CaT,-0.397
-0.048,-95,dog,-0.262
CAt,-139,Dog,bnbuvvpxnx
-28,0.2165,728,0.2145
-897,394,cat,0.369
cAT,-563,caT,-841
qyvaihyaow,cAT,-0.4895,cAT
-0.0815,118,mmkhuyndaj,waxirmpwwm
0.0445,-0.4895,DOg,709
nprlnxewha,kbqgsjipnv,cat,-0.048
0.1165,pnafemwlci,caT,xvoudjrnvp
pqwiahuntz,596,440,qudcmwnsqh
-682,gyojgqqlls,dOg,0.3675
dOg,cat,90,0.11
kssehuxcky,CAT,DOG,441
-79,0.178,ktkecwlrod,qsxmnnksxy
920,-453,-562,effpuktbra
0.4795,0.3395,cAT,0.3435
oxfbfbfgeb,Dog,0.421,838
CAT,CAT,dOG,eijjjguhtg
