mrhvydcmil,lezpnegchy,ddiprakgkd,ktzqqhdfaf,msedoljytf,hsrijvsuct,pET
745,0.203,uldyiebqxy,qjbdnnkqdw,-207,-0.123,CAT
0.4365,-526,lcvbxedebg,-0.375,xuwnatmazt,-501,dOg
-74,doG,-639,vhguvqqmji,cAt,DoG,wezmeybzcf
315,CAT,-553,757,owvklfbpqq,0.0115,dOG
-0.0165,-218,bvchdrwyob,doG,-127,dOG,Cat
cslwpnbtqs,-0.109,-0.3975,-0.0675,307,vbkoyvlsgj,DOg
883,CAT,jayalrvjaf,-144,DOG,dqyjwpflsm,DoG
-762,624,-0.358,-319,dOG,0.065,auizmermoi
dog,cAt,0.404,-193,-400,1,-0.343
-0.1235,DOg,-0.1835,-818,0.432,-0.021,DOg
-0.31,0.4225,mucnfbayye,0.01,0.0745,189,dOG
-0.4225,hessjqbifx,olpnuwvvdq,752,tknhkhfbbb,-0.0775,caT
942,-0.0005,uvihwaqood,rumcqorhrc,dopwifcbnm,-0.031,DOg
55,-0.023,cat,fanvitaqbi,ibkaggdybp,xdhjbpxgzy,-0.0765
vrkeqrcfnh,dvnaanalzz,-808,-0.3285,-41,0.483,caT
cAT,0.3445,gynsdtgodf,0.0185,877,tosivfpsut,DOG
oafptrwevi,534,0.371,pnkebsjifv,-0.3685,0.0235,DOg
Dog,-0.264,-119,ssdyrruxsf,DOG,wjladnxaup,0.068
-313,cat,-0.488,471,799,0.168,dog
0.475,-0.2315,-0.316,-861,DOg,910,CAt
yynbnmqmfc,-60,-519,nbbngpioix,CAT,dOg,-0.222
zsmskitwjb,xpbiwcfhzp,-777,618,crsaogmxtj,-0.2575,89
CAT,0.405,-332,0.447,-623,CAT,cAt
-550,dog,0.476,rkfpljacfv,-390,xfvorgzdwe,-0.1875
-63,0.32,dog,DOg,Dog,0.0465,CaT
faefaecwne,rmzfmqlxjv,-0.4405,-706,-516,qrbtbyjxpx,dog
yfhcfidaqe,taocvrzmav,-0.004,cat,wwhhefmiiu,-778,Dog
771,305,755,qukkzosmuf,woqlymzzou,Dog,dOg
168,0.4085,0.4915,-0.4815,CaT,-0.314,DOg
caT,pedpnqephf,jtixnkniff,-555,sygucvwiyg,-0.2505,doG
-0.1005,caT,-785,DOG,-532,179,Dog
458,tpkshqjxlv,cat,-0.1365,-0.17,-575,cat
82,-0.3745,brprlmjiam,-408,vwqrfomlyw,CaT,Dog
jvuklwszjk,mchflhswvf,zdmsfsbusw,0.2335,-927,-0.267,DOG
353,iemdlbmang,0.2535,0.419,xqordorunm,0.4435,DOg
cAT,pyasetgtam,-0.2675,0.2905,cat,-484,0.2835
uxzpkdjpdn,0.355,-0.3975,cat,26,810,cAt
cat,-657,bwbvhppsjl,cat,-957,-0.205,581
hzjvhlbqvy,hdbqgsncuu,-0.1805,-0.1525,bqejtzfrtr,-492,DoG
ysvlbnueid,-200,134,0.1555,xqjjmhgjvn,-961,cAt
viuplcjrcn,0.279,cat,-618,-0.2685,kyxofafyil,-298
-708,awgbetnxew,qtfdzkpcbl,doG,651,-114,385
DoG,108,dytxqliypj,DOG,-268,cAt,DOG
782,0.2745,caT,176,-0.446,0.4415,doG
-0.095,803,dOg,doG,0.274,585,132
-0.369,-0.489,qjhnebzkal,0.1195,caT,677,-340
0.15,930,-696,-0.44,dzkrzovcwm,392,cAT
132,rbzhebptll,0.2935,vkozvnzswl,-562,0.2905,dOG
cAT,-94,-537,csqctqskwg,-0.017,gatjwpclsa,cAT
0.4335,-148,-969,-605,dOg,CaT,dog
hdqiqpthxq,Dog,97,0.0535,603,CAt,DoG
-64,DOg,590,vasrwkhbfq,gzqwaueooj,obndfimngn,520
DOg,Dog,cAT,cAT,demuwkowla,-851,-579
0.02,-0.496,iqkpuvjktl,0.4995,dog,yvgmkizeho,zzneewictc
dOG,mrgekgnrem,DOg,-0.1245,-0.2565,nhzuimszsg,dOG
-0.4755,dOG,qzygyxdelo,gpiuuhtzlx,-723,794,dwhwivkuzd
74,CAT,osogubumqq,-0.3055,55,-0.016,DOG
